"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
4.227499943E-3,6.521955687E0,7.289869934E-2,1.417593466E1,1.560443347E1
1.426450000E-2,6.828159753E0,-1.836611606E0,2.118793789E1,2.233664299E1
2.430249995E-2,5.646723983E0,-4.345830767E0,2.335021018E1,2.441319422E1
3.433950001E-2,3.528729157E0,-5.180466422E0,2.101171217E1,2.192672365E1
4.437649995E-2,1.374187333E0,-4.660768234E0,1.717029965E1,1.784461659E1
5.441450002E-2,-2.170264256E-1,-3.813013473E0,1.293572970E1,1.348774537E1
6.445149996E-2,-1.394429955E0,-2.796540813E0,8.578229059E0,9.129681769E0
7.448850002E-2,-2.145200751E0,-1.569837216E0,4.201948916E0,4.972187631E0
8.452649997E-2,-2.420405510E0,-3.049972552E-1,-1.071315157E-1,2.441897484E0
9.456349991E-2,-2.136190776E0,7.854015148E-1,-4.164719694E0,4.746056964E0
1.046005000E-1,-1.811485389E0,1.689845616E0,-7.077147644E0,7.498204872E0
1.146384999E-1,-1.736152202E0,2.067428982E0,-8.828123853E0,9.231698534E0
1.246755000E-1,-1.964733749E0,2.101287284E0,-9.905110810E0,1.031439805E1
1.347124999E-1,-2.276210833E0,1.980228285E0,-1.056870664E1,1.099090532E1
1.447505000E-1,-2.552383307E0,1.598864402E0,-1.119774308E1,1.159570947E1
1.547874999E-1,-2.735555524E0,1.332927187E0,-1.179916195E1,1.218524443E1
1.648245000E-1,-2.689715107E0,1.138502297E0,-1.221557960E1,1.255990206E1
1.748614999E-1,-2.568301182E0,8.248031967E-1,-1.238034245E1,1.267080701E1
1.848995000E-1,-2.299026815E0,6.541004600E-1,-1.222568125E1,1.245715272E1
1.949364999E-1,-1.590635908E0,5.948366636E-1,-1.206247728E1,1.218143306E1
2.049735000E-1,-9.043294957E-1,5.316146676E-1,-1.267482928E1,1.271816509E1
2.150114999E-1,-7.734443973E-1,6.397299774E-1,-1.342140996E1,1.345888985E1
2.250485000E-1,-6.714969499E-1,4.742471963E-1,-1.375195423E1,1.377650404E1
2.350854999E-1,-7.423972902E-1,1.156738593E-1,-1.343023808E1,1.345123894E1
2.451235000E-1,-9.114484808E-1,-3.188602178E-1,-1.249730079E1,1.253454974E1
2.551604999E-1,-1.055872661E0,-8.852064693E-1,-1.125602462E1,1.134004179E1
2.651975000E-1,-1.065052936E0,-1.132784597E0,-1.027496591E1,1.039194222E1
2.752355000E-1,-8.070954888E-1,-1.189956332E0,-9.602360694E0,9.709414509E0
2.852725000E-1,-3.679224502E-1,-1.139932525E0,-8.798079690E0,8.879246551E0
2.953095000E-1,1.265911956E-1,-8.739086254E-1,-7.428134950E0,7.480436515E0
3.053474999E-1,7.305596021E-1,-6.564360572E-1,-5.159288977E0,5.251941391E0
3.153845000E-1,1.165193009E0,-6.112954062E-1,-2.202451424E0,2.565569936E0
3.254214999E-1,1.310500484E0,-7.017554869E-1,1.033593600E0,1.810576707E0
3.354595000E-1,9.371174651E-1,-8.654846880E-1,4.320152135E0,4.504549629E0
3.454964999E-1,3.849293327E-1,-1.173019872E0,6.974677529E0,7.083097687E0
