"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
3.219125094E-3,-1.434830707E-1,-1.145466623E0,-2.656394164E0,2.896396231E0
1.325912506E-2,8.361354661E-1,-5.735732639E-1,-3.414888546E0,3.562242635E0
2.329812502E-2,1.507852491E0,-1.033539805E0,8.389216644E-1,2.011370981E0
3.333712509E-2,6.730086744E-1,-2.680112225E-1,3.264144403E0,3.343562378E0
4.337712505E-2,5.013116187E-1,5.457884645E-1,9.989617109E-1,1.243833947E0
5.341612501E-2,1.321003545E0,1.012793884E0,-4.481516576E-1,1.723845041E0
6.345612509E-2,1.699545854E0,1.195180235E0,-1.544723278E-1,2.083452328E0
7.349512505E-2,1.707381123E0,1.653315428E0,6.601155182E-2,2.377595367E0
8.353512501E-2,5.130615985E-1,2.234977146E0,9.066704285E-1,2.465847990E0
9.357412509E-2,3.574473095E-1,2.725174962E0,9.622213161E-1,2.912081217E0
1.036141251E-1,9.629428625E-1,2.789532341E0,1.038697050E0,3.128520608E0
1.136531250E-1,1.480029684E0,2.440175824E0,6.204942459E-1,2.920609359E0
1.236931251E-1,1.353221118E0,1.767385250E0,-3.814314187E-2,2.226277817E0
1.337321250E-1,3.278218067E-1,1.660187661E0,-8.146411014E-1,1.878118828E0
1.437721250E-1,-1.292282606E0,2.663050050E-1,-5.296864021E-1,1.421787739E0
1.538111251E-1,-3.681574205E0,-1.923494799E0,-2.402644483E-1,4.160714827E0
1.638511250E-1,-4.404349117E0,-3.694418784E0,6.659627795E-1,5.787100113E0
1.738901250E-1,-1.625779721E0,-1.254746990E0,4.582714337E-1,2.104177373E0
1.839291251E-1,-1.929563624E-1,-6.022550261E-1,1.675812591E0,1.791170319E0
1.939691250E-1,2.366169954E0,-2.263854790E0,-1.566048074E-1,3.278463638E0
2.040081250E-1,-5.962610453E-1,-2.653925470E0,-7.855365855E-1,2.831239191E0
2.140481251E-1,-1.235030179E0,-3.508329391E-5,3.467550910E-1,1.282785499E0
2.240871250E-1,1.189382136E-1,2.031983453E-1,2.983611953E-1,3.800727155E-1
2.341271250E-1,6.658224463E-2,-2.552824187E-1,3.802689922E-1,4.628248211E-1
2.441661251E-1,8.599324644E-2,-4.612336332E-1,5.084890759E-1,6.918760316E-1
2.542061250E-1,-8.550968170E-3,-7.555362761E-1,5.804203169E-1,9.527832533E-1
2.642451250E-1,1.175746429E-1,-9.310521483E-1,5.664443020E-1,1.096148278E0
2.742851251E-1,8.798714697E-2,-1.074177954E0,6.464506209E-1,1.256780976E0
2.843241250E-1,-1.780015236E-1,-1.140252076E0,6.206959748E-1,1.310390336E0
2.943641250E-1,-2.192583078E-1,-1.370572146E0,4.820995684E-1,1.469340739E0
3.044031251E-1,-4.071954203E-1,-1.646109320E0,5.250987498E-1,1.775165542E0
3.144431250E-1,-3.629267353E-1,-1.853518830E0,4.100381903E-1,1.932712908E0
3.244821250E-1,-2.420706350E-1,-1.926956350E0,1.457664084E-1,1.947564329E0
3.345211251E-1,6.468891621E-2,-1.487624048E0,4.116208123E-1,1.544875936E0
3.445611250E-1,5.777306342E-1,-9.420782429E-1,1.646534120E0,1.983017577E0
3.546001250E-1,-1.319389129E-1,-4.819737071E-1,-2.545661348E0,2.594243287E0
3.646401251E-1,-9.508870733E-1,6.807556504E-1,-2.978640651E0,3.199986657E0
3.746791250E-1,-5.569373506E-1,9.350586605E-1,-1.323577197E-1,1.096372417E0
3.847191250E-1,5.535611683E-1,8.055527741E-1,-7.165996671E-2,9.800410143E-1
3.947581251E-1,1.228557896E0,7.570764327E-1,-1.714016982E-1,1.453236998E0
4.047981250E-1,1.275862455E-1,9.776445168E-1,2.846529830E-1,1.026203865E0
4.148371251E-1,-3.474003312E-1,7.548661852E-1,-6.822904714E-1,1.075188465E0
4.248771251E-1,-1.202976912E-1,1.048372437E0,6.753651023E-2,1.057410744E0
4.349161250E-1,4.136501616E-1,1.815723013E0,8.479128548E-1,2.046194694E0
4.449561250E-1,1.249938825E-1,2.249882868E0,7.488787095E-1,2.374534841E0
4.549951251E-1,-1.103661954E-3,2.240357169E0,4.421325338E-1,2.283567963E0
4.650351250E-1,1.836724457E-1,1.844971370E0,2.331004214E-1,1.868686900E0
4.750741251E-1,1.028724623E0,2.053911681E0,6.366063217E-1,2.383714570E0
4.851141251E-1,1.008636222E0,1.638579860E0,5.728574185E-1,2.007599713E0
4.951531250E-1,5.704949972E-1,1.115071042E0,5.269101441E-1,1.358853292E0
5.051921251E-1,-1.419747815E0,8.868729258E-1,1.269868913E0,2.101141237E0
5.152321251E-1,-1.079223809E0,-7.463339281E-1,1.562364182E0,2.040274540E0
5.252711250E-1,-1.741373911E0,-3.078083078E0,1.061268471E0,3.692325731E0
5.353111251E-1,-8.880903161E-1,-2.104305325E0,1.339299775E0,2.647740394E0
5.453501251E-1,-2.945610899E-1,-1.280130338E0,1.177236300E0,1.763911909E0
5.553901250E-1,-4.570671996E-1,-1.369995026E0,1.028174985E0,1.772834058E0
5.654291251E-1,-2.507515867E0,-4.129271534E0,3.991806418E-2,4.831160593E0
5.754691251E-1,1.222337043E0,2.000923628E0,-1.249875090E0,2.657064349E0
5.855081250E-1,9.006355172E0,1.294619855E1,1.620475127E0,1.585384591E1
5.955481251E-1,-4.944434792E0,-1.762519782E0,-4.868112548E0,7.159080330E0
6.055871251E-1,3.368630639E-1,-4.173039113E0,-1.825917048E0,4.567461574E0
6.156271250E-1,1.680661979E0,-6.075569304E0,1.542958589E0,6.489829602E0
6.256661251E-1,-2.581908530E0,-5.001588986E0,-2.758950233E-1,5.635446931E0
6.357061251E-1,-1.944459990E0,-3.862232704E0,-1.213002841E0,4.491006792E0
6.457451250E-1,-1.115407549E0,-1.923160923E0,-1.342891135E0,2.597313715E0
6.557851251E-1,-7.290206149E-1,8.714573264E-2,-1.336824649E0,1.525177228E0
6.658241251E-1,-1.339991793E0,1.698412664E0,-3.117513192E-1,2.185720126E0
6.758631250E-1,-1.313066242E0,1.460601141E0,-6.044468549E-1,2.054958552E0
6.859031251E-1,-1.238858351E-1,1.812207082E0,-1.285078690E0,2.225054932E0
6.959421251E-1,2.487497047E0,3.226865480E0,-1.479635582E0,4.334699971E0
7.059821250E-1,1.190583154E0,3.158285242E0,-8.947628662E-2,3.376427094E0
7.160211251E-1,-4.532770345E-1,1.921267594E0,9.270634702E-1,2.180865864E0
7.260611251E-1,-1.449340573E-1,1.274831007E0,1.086873721E0,1.681515525E0
7.361001250E-1,5.828872937E-1,4.209428090E-1,8.267530239E-1,1.095660079E0
7.461401251E-1,6.539742333E-1,-7.125457925E-1,2.723619895E-1,1.004781000E0
7.561791250E-1,4.297542706E-1,-7.811587751E-1,-2.541480589E-1,9.270862963E-1
7.662191250E-1,1.952777070E-1,-3.311558890E-1,-7.006858850E-1,7.992235701E-1
7.762581251E-1,3.286576661E-1,-4.625849247E-2,-1.141401127E0,1.188676677E0
7.862981251E-1,4.210579991E-3,5.015449226E-2,-1.043958374E0,1.045170938E0
7.963371250E-1,-1.261314583E-1,2.755091071E-2,-6.276798892E-1,6.408199753E-1
8.063771251E-1,3.889342734E-1,-2.650227106E-1,-3.750415814E-1,6.017998786E-1
8.164161250E-1,5.665101197E-1,-2.421074724E-1,-7.722300768E-2,6.208970421E-1
8.264551250E-1,3.992464229E-1,-3.676091856E-1,2.948791601E-1,6.176470988E-1
8.364951251E-1,2.343947026E-1,-1.834259856E-1,2.417905168E-1,3.834691941E-1
8.465341250E-1,3.131008565E-2,-1.501950896E-1,4.269127431E-1,4.536445487E-1
8.565741250E-1,-1.853736931E-1,1.702387601E-1,5.526536074E-1,6.072648938E-1
8.666131251E-1,-4.529229856E-1,8.307776624E-1,6.777279621E-1,1.163892583E0
8.766531250E-1,-5.621156448E-1,1.337562275E0,8.836141994E-1,1.698770406E0
