"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
4.262499977E-3,6.601734513E-1,5.480373037E-1,-8.815028429E-1,1.230130535E0
1.430249994E-2,5.665343857E-1,-6.096950233E-2,-1.523373632E-1,5.898179063E-1
2.434250002E-2,5.561678571E-1,-8.242814058E-1,-1.060123587E-1,1.000000571E0
3.438349999E-2,1.978978443E-1,-7.894331700E-1,-8.216383182E-2,8.179970549E-1
4.442349996E-2,-1.475340217E-1,-6.521370381E-1,-1.666502508E-1,6.890727902E-1
5.446350004E-2,-9.816247165E-2,-1.044863523E0,3.940328993E-2,1.050203919E0
6.450450001E-2,-4.240698999E-1,-4.947592288E-1,2.197688428E-1,6.876920232E-1
7.454449998E-2,-2.132409382E-1,2.255610216E-1,2.109406435E-1,3.752937879E-1
8.458449994E-2,6.637583792E-2,2.506169254E-1,1.799515700E-1,3.155901816E-1
9.462550003E-2,3.039675057E-2,5.780498922E-1,3.727354395E-1,6.884746533E-1
1.046655000E-1,-1.220898628E-1,6.536187226E-1,4.423161729E-1,7.986031342E-1
1.147055000E-1,-1.394473225E-1,8.589793682E-1,1.524871616E-1,8.834836983E-1
1.247464999E-1,-1.021783394E-1,1.366605395E0,-4.381903410E-2,1.371120282E0
1.347865000E-1,-3.079079443E-1,1.675706171E0,-3.198543541E-1,1.733523949E0
1.448265000E-1,-5.138498032E-1,1.544032137E0,-4.555495183E-1,1.689852723E0
1.548675000E-1,-7.237654299E-1,1.669625652E0,-6.713888495E-1,1.939651825E0
1.649075000E-1,-3.190556610E-1,1.250700717E0,2.140303123E-1,1.308379827E0
1.749475000E-1,4.609120363E-1,1.561275576E0,3.996584324E-1,1.676230352E0
1.849875000E-1,-3.223768795E-1,1.299643081E0,3.035336423E-1,1.373000970E0
1.950284999E-1,-1.344947308E-1,2.693707001E-1,2.494854891E-1,3.910145982E-1
2.050685000E-1,4.127590460E-1,-6.992340213E-1,2.558741570E-3,8.119758578E-1
2.151085000E-1,6.593060169E-1,-2.613986063E-1,-2.037981234E-2,7.095273018E-1
2.251495000E-1,8.976201081E-1,9.097560042E-1,-2.715353394E-1,1.306563924E0
2.351895000E-1,-5.203147772E-1,1.791652949E0,1.151948261E-1,1.869229148E0
2.452295000E-1,-1.017641811E0,6.003505880E-1,9.184876513E-1,1.496541095E0
2.552705000E-1,-5.185398549E-2,6.790628815E-1,4.804715574E-1,8.334675460E-1
2.653104999E-1,3.331682083E-1,6.050418091E-1,-2.762190322E-1,7.438908519E-1
2.753505000E-1,9.782713383E-2,-1.213355720E-1,-1.372318125E-1,2.076656917E-1
2.853915000E-1,5.369650161E-1,-6.230208278E-1,-5.158915778E-1,9.708916008E-1
2.954315000E-1,8.228807053E-1,-2.021598798E0,-9.792625145E-1,2.392268678E0
3.054715000E-1,1.194083882E0,-2.909704902E0,-2.738580727E-1,3.157089985E0
3.155125000E-1,1.245774730E0,-3.326106178E0,4.689949349E-2,3.552060888E0
3.255525000E-1,1.355018553E0,-2.693912238E0,-2.045564342E-1,3.022429778E0
3.355924999E-1,1.183289337E0,3.873768675E-1,-1.585740034E-1,1.255141509E0
3.456325000E-1,2.171604438E0,8.068245435E-1,-1.738681269E-1,2.323157723E0
3.556735000E-1,2.284305426E0,1.081254255E0,5.148286271E-1,2.579187965E0
3.657135000E-1,9.264047813E-1,2.432746936E0,1.025856564E0,2.798010930E0
3.757535000E-1,7.537718788E-1,2.195134218E0,1.614779938E0,2.827419412E0
3.857945000E-1,1.758076483E-1,1.422363274E0,1.347528123E0,1.967195378E0
3.958345000E-1,-5.468994355E-1,9.571874481E-1,3.338255815E-1,1.151844747E0
4.058744999E-1,-6.803442988E-1,3.503639925E-1,2.542275810E-1,8.063838757E-1
4.159152916E-1,-9.140501994E-1,-8.259016693E-2,-1.181665273E-1,9.253497884E-1
4.259552916E-1,-5.676029643E-1,-2.611442524E-1,4.807288349E-1,7.883334690E-1
4.359952917E-1,-1.197181737E0,-1.022545871E0,6.225565588E-1,1.693050749E0
4.460362917E-1,-1.562146811E0,-2.087167135E0,-1.187464249E-1,2.609726044E0
4.560762916E-1,-9.634632647E-1,-2.478293238E0,-9.884741449E-1,2.836772809E0
4.661162917E-1,-1.701925086E0,-9.020996600E-1,9.211005528E-2,1.928423465E0
4.761572917E-1,-1.966520365E0,-2.885951757E-2,7.251484425E-1,2.096157314E0
4.861972916E-1,-8.046520105E-1,-1.178810370E-1,1.310607342E-1,8.237340062E-1
4.962372916E-1,-2.640260527E-1,-1.778804862E-1,-1.026689208E-1,3.345028119E-1
5.062782917E-1,-2.242296106E-1,2.085787193E0,-5.181458987E-2,2.098445111E0
5.163182917E-1,-1.235595605E-1,4.571127495E0,6.541623674E-2,4.573265007E0
5.263582916E-1,-3.465118468E-2,5.947110069E0,2.861620031E-2,5.947279863E0
5.363982917E-1,-7.960928562E-1,3.699190112E0,2.326699933E-1,3.791029760E0
5.464392917E-1,-7.392248833E-1,-1.067191701E0,8.266045777E-1,1.539034334E0
5.564792916E-1,-2.309875301E-1,-2.935138535E0,1.086695600E0,3.138359570E0
5.665192916E-1,3.239807707E-1,-1.804274749E0,7.461304450E-1,1.979161830E0
5.765602917E-1,3.203037491E-1,-9.051460594E-1,3.099725962E-1,1.008943453E0
5.866002917E-1,3.740674353E-1,-1.754778069E0,4.354562195E-1,1.846292132E0
5.966402916E-1,8.025163150E-1,-1.909299513E0,1.162941392E-1,2.074362889E0
6.066812917E-1,8.672756901E-1,-9.064429718E-1,-8.520925176E-1,1.516531451E0
6.167212917E-1,8.950645825E-1,2.165317512E-1,-9.265462840E-1,1.306336336E0
6.267612916E-1,3.107648939E-2,8.863285500E-1,9.592380667E-1,1.306400289E0
6.368022916E-1,-9.056348866E-1,-1.469820446E-1,1.299170042E0,1.590478251E0
6.468422917E-1,-6.908230940E-1,-1.037398968E0,4.628971660E-1,1.329551410E0
6.568822917E-1,2.915918738E-2,-1.380672626E0,-8.123975247E-1,1.602216246E0
6.669232916E-1,3.027007064E-1,-1.719214718E0,-1.233751393E0,2.137631742E0
6.769632917E-1,3.145170522E-1,-1.631401818E0,-4.502268344E-1,1.721364886E0
6.870032917E-1,3.297274143E-1,-4.711288762E-1,6.617352426E-2,5.788449888E-1
6.970442916E-1,3.993578124E-1,1.308510969E0,1.951110431E-1,1.381939194E0
7.070842916E-1,4.926515999E-1,2.757404814E0,2.126737400E-1,2.809131010E0
7.171242917E-1,5.510310781E-1,3.296483014E0,1.771858188E-1,3.346913552E0
7.271642917E-1,6.012443349E-1,3.119266772E0,2.240881262E-1,3.184577748E0
7.372052916E-1,7.721181026E-1,2.956350480E0,-1.467826363E-1,3.059039010E0
7.472452917E-1,6.695170096E-1,3.213989326E0,-6.531889522E-1,3.347332703E0
7.572852917E-1,2.353334731E-1,3.064133375E0,-7.404779416E-1,3.161107839E0
7.673262917E-1,-4.203095555E-1,1.843666856E0,-4.258380979E-1,1.938325485E0
7.773662916E-1,-5.621445885E-1,3.977194226E-1,3.300022334E-1,7.636024827E-1
7.874062917E-1,-9.310910323E-1,-1.328738242E0,4.450818694E-1,1.682430889E0
7.974472917E-1,-8.617766762E-1,-1.814075852E0,2.708254691E-1,2.026543035E0
8.074872916E-1,-2.557118967E-1,-1.837289298E0,5.096579343E-1,1.923739002E0
8.175272917E-1,2.723425475E-1,-1.895232282E0,4.968630570E-1,1.978117479E0
8.275682917E-1,6.474768072E-1,-1.225343097E0,-5.287987947E-2,1.386898772E0
8.376082917E-1,4.995135999E-1,-1.597549363E0,-6.791014731E-1,1.806337902E0
8.476482916E-1,1.037956792E-1,-2.921675906E0,-7.183210874E-1,3.010473190E0
8.576892917E-1,1.147340655E-1,-3.127542921E0,-4.712528372E-1,3.164927782E0
8.677292917E-1,6.023178837E-1,-2.449720234E-1,-1.083062214E-1,6.591876537E-1
8.777692916E-1,8.306218341E-1,5.586868376E-1,5.807413656E-1,1.157291730E0
8.878092916E-1,9.484315351E-1,1.094095910E-1,9.438610590E-1,1.342522452E0
8.978502917E-1,6.183336997E-1,-2.550116926E-1,7.090602672E-1,9.747481675E-1
9.078902917E-1,5.558278415E-1,-9.000969887E-2,3.238000917E-1,6.495327818E-1
9.179302916E-1,6.279643562E-1,4.346118450E-2,-1.616287351E-1,6.498861095E-1
9.279712917E-1,1.995672244E-1,1.062503403E-1,-4.463261569E-1,5.003231457E-1
9.380112917E-1,-1.714193130E-1,2.785479051E-1,-3.278147900E-1,4.630724056E-1
9.480512916E-1,-2.176234263E-1,7.121166068E-1,-9.118150373E-3,7.446832602E-1
9.580922916E-1,-1.037278515E-1,1.318398610E0,1.507529140E-1,1.331037492E0
9.681322917E-1,1.434681603E-1,1.948377625E0,2.040222180E-1,1.964276851E0
9.781722917E-1,-5.928521186E-2,3.051340837E0,4.123982728E-1,3.079653873E0
9.882132916E-1,-1.773221941E0,4.221926513E0,-1.511902948E-1,4.581685066E0
9.982532917E-1,-3.423264098E0,2.660141644E0,-2.032236053E0,4.788013579E0
1.008293292E0,-1.776736410E0,-9.991476524E-1,-1.677105410E0,2.639653549E0
1.018334292E0,6.639834970E-2,-9.025001943E-1,-1.022444494E-1,9.106971335E-1
1.028374292E0,5.231217331E-1,-1.700077951E-2,5.766348660E-1,7.787510146E-1
1.038414292E0,1.180827659E-1,-3.173108518E-1,1.023716483E0,1.078250970E0
1.048454292E0,-6.834371835E-2,-1.390486593E0,1.431639297E0,1.996926365E0
1.058495292E0,-6.860041112E-1,-1.738880659E0,1.243926133E0,2.245364071E0
1.068535292E0,-9.452775469E-1,-1.591454226E0,1.057711025E0,2.131907317E0
1.078575292E0,-7.620044661E-1,-1.572470071E0,7.406597900E-1,1.897864551E0
1.088616292E0,-5.281409830E-1,-7.516449541E-1,3.267785903E-1,9.750319390E-1
1.098656292E0,1.986679226E-2,4.349620932E-1,4.412367404E-1,6.199004541E-1
1.108696292E0,5.107551643E-1,6.538169432E-1,4.112942819E-1,9.260185848E-1
1.118737292E0,5.556676278E-1,3.418773437E-1,-1.603352944E-1,6.718288750E-1
1.128777292E0,1.040874114E0,-3.418691576E-2,-9.725322962E-1,1.424923413E0
1.138817292E0,9.421412466E-1,-4.532942837E-1,-1.646908050E0,1.950746514E0
1.148858292E0,5.748910801E-1,-4.197657645E-1,-1.143014885E0,1.346545981E0
1.158898292E0,2.955187176E-1,-1.239902079E-1,-2.632194293E-1,4.147159896E-1
1.168938292E0,-1.823253934E-1,3.443887228E-1,4.549683781E-1,5.990345287E-1
1.178979292E0,-2.379284674E-1,1.019915793E0,7.868212918E-1,1.309933558E0
1.189019292E0,-8.499512672E-2,1.805366424E0,7.963990311E-1,1.975050256E0
1.199059292E0,3.921712920E-2,2.288489694E0,4.762428510E-1,2.337847368E0
1.209100292E0,1.800818168E-1,2.364295921E0,-1.797561999E-1,2.377948056E0
1.219140292E0,4.917230621E-2,1.830546289E0,-5.465509415E-1,1.911029975E0
1.229180292E0,1.629604384E-2,1.220448977E0,-3.945209956E-1,1.282734611E0
1.239221292E0,-1.364947709E-1,6.290469682E-1,1.541526313E-1,6.618866553E-1
1.249261292E0,-4.821073160E-2,-4.060891271E-3,6.229038835E-1,6.247799721E-1
1.259301292E0,2.188776541E-1,-3.993648291E-2,1.408559167E-1,2.633300959E-1
1.269341292E0,-1.582282868E-1,-1.889141822E-1,6.111369467E-1,6.589485007E-1
1.279382292E0,-7.846733902E-1,-1.152485036E0,1.928244492E0,2.379508543E0
1.289422292E0,-8.240362613E-1,-1.468957397E0,1.849242761E0,2.501313731E0
1.299462292E0,-3.777941582E-1,-1.200286608E0,1.085998758E0,1.662170169E0
1.309503292E0,8.847641274E-2,-1.199515945E0,-2.325074407E-1,1.225041342E0
1.319543292E0,5.532283887E-1,-1.079514708E0,-7.401288629E-1,1.420987118E0
1.329583292E0,7.483107986E-1,-9.588737851E-1,-6.842376673E-1,1.395560523E0
1.339624292E0,6.921982860E-1,-4.113878739E-1,-6.107907184E-1,1.010665005E0
1.349664292E0,4.900892039E-1,6.820180643E-1,-3.914616593E-1,9.265950024E-1
1.359704292E0,2.535196294E-1,1.242109403E0,-1.598873612E-1,1.277760517E0
1.369745292E0,-1.038855802E-1,1.004008443E0,2.267211092E-1,1.034518066E0
1.379785292E0,-6.417816192E-2,4.214298820E-1,1.966278291E-1,4.694512596E-1
1.389825292E0,-9.457030781E-2,2.543813628E-1,1.928341556E-1,3.329240640E-1
1.399865292E0,1.023367989E-1,3.661543983E-1,5.558838286E-2,3.842290100E-1
1.409906292E0,3.920075700E-1,-1.008118451E-2,-2.690640137E-2,3.930591808E-1
1.419946375E0,2.723036635E-1,4.042127556E-1,-2.145453058E-2,4.878499091E-1
1.429986375E0,2.301274046E-2,7.060360873E-1,4.226449335E-1,8.231921298E-1
1.440027375E0,-4.555874155E-1,-7.775311625E-1,1.795374410E-1,9.188842662E-1
1.450067375E0,-9.243518239E-1,-5.180161783E0,-3.611661386E-1,5.274366632E0
1.460107375E0,-5.114432354E-1,-8.259219591E0,-1.067989261E0,8.343673262E0
1.470148375E0,7.359929810E-1,-5.906666633E0,3.660007627E-1,5.963585577E0
1.480188375E0,2.218338601E-1,-1.866009652E0,2.576525291E0,3.188994334E0
1.490228375E0,-1.427245992E0,-2.087116849E0,3.308751057E0,4.164243199E0
1.500269375E0,-1.368369646E0,-1.781859448E0,3.038373467E0,3.778779155E0
1.510309375E0,-3.931816909E-1,-6.196048844E-1,1.828215004E0,1.969992933E0
1.520349375E0,-7.895290643E-2,5.613794804E-2,6.938538520E-1,7.005841838E-1
1.530390375E0,-4.319285578E-1,1.644564486E-1,6.006844640E-2,4.660648246E-1
1.540430375E0,-1.151704871E0,-2.840822947E-1,-1.965120542E-1,1.202390888E0
1.550470375E0,-1.632859383E0,-8.031554157E-1,-8.403267503E-2,1.821633848E0
1.560511375E0,-1.622088081E0,-1.164575908E0,2.019547156E-1,2.007035748E0
1.570551375E0,-1.501113282E0,-1.580532796E0,5.697994709E-1,2.253019406E0
1.580591375E0,-5.004946165E-1,-7.072944081E-1,6.906579832E-1,1.108047242E0
1.590632375E0,-1.601362333E-2,-2.842015779E-1,8.005926541E-1,8.496914563E-1
1.600672375E0,-1.894648437E-1,3.228908497E-1,6.188015500E-1,7.232363280E-1
1.610712375E0,-1.753524426E-1,9.407737291E-1,6.736701407E-2,9.593445695E-1
1.620752375E0,1.112013240E-1,1.211172370E0,-4.426434343E-1,1.294309644E0
1.630793375E0,5.025649694E-1,1.115955141E0,-7.786807251E-1,1.450610594E0
1.640833375E0,5.291059197E-1,8.653651124E-1,-7.303523183E-1,1.249889740E0
1.650873375E0,1.103808135E-3,5.691995466E-1,-3.741924195E-1,6.811822877E-1
1.660914375E0,-4.718042296E-1,3.173266393E-1,1.505891919E-2,5.687901178E-1
1.670954375E0,-6.982170443E-1,1.145124561E-1,3.680575208E-1,7.975503007E-1
1.680994375E0,-7.544435777E-1,1.729547918E-1,6.694861655E-1,1.023381746E0
1.691035375E0,-7.677932096E-1,9.968391716E-2,7.078298669E-1,1.049031180E0
1.701075375E0,-9.272804019E-1,-8.877008915E-2,5.625055079E-1,1.088182668E0
1.711115375E0,-1.100273639E0,-2.075083280E-1,4.797277915E-1,1.218113517E0
1.721156375E0,-1.041018979E0,-2.855528694E-1,4.185694972E-1,1.157782959E0
1.731196375E0,-9.222968200E-1,-3.958693635E-1,3.776716590E-1,1.072371139E0
1.741236375E0,-8.023704270E-1,-4.730643046E-1,4.392416704E-1,1.029816189E0
1.751277375E0,-6.731598249E-1,-4.287669683E-1,5.233620536E-1,9.544071993E-1
1.761317375E0,-5.827992931E-1,-3.982790011E-1,5.967327695E-1,9.243220093E-1
1.771357375E0,-6.666062656E-1,-3.805759710E-1,7.141240291E-1,1.048415524E0
1.781397375E0,-7.696020457E-1,-2.627721173E-1,8.244657393E-1,1.158050193E0
1.791438375E0,-8.337967260E-1,-2.336670166E-1,8.371775130E-1,1.204443209E0
1.801478375E0,-8.014687863E-1,-2.185022628E-1,7.751525883E-1,1.136202882E0
1.811518375E0,-6.615734209E-1,-1.923459131E-1,6.131940702E-1,9.223249478E-1
1.821559375E0,-5.322967453E-1,-2.082099938E-1,4.124018542E-1,7.048166541E-1
1.831599375E0,-3.911892521E-1,-2.443071949E-1,1.553874171E-1,4.866829418E-1
1.841639375E0,-2.549008879E-1,-2.394475740E-1,-5.312670507E-2,3.537400884E-1
1.851680375E0,-1.213368876E-1,-1.747212356E-1,-2.963088957E-1,3.647589782E-1
1.861720375E0,2.664956242E-2,-5.032581568E-2,-5.312698281E-1,5.343131265E-1
1.871760375E0,1.274959061E-1,6.790196121E-2,-6.885330319E-1,7.035222942E-1
1.881801375E0,2.408430120E-1,1.321581835E-1,-7.660554171E-1,8.138255611E-1
1.891841375E0,4.044880132E-1,1.281271130E-1,-9.159125376E-1,1.009417102E0
1.901881375E0,6.203970359E-1,1.811882561E-1,-1.089823934E0,1.267058749E0
1.911922375E0,8.566688409E-1,2.578674728E-1,-1.239078791E0,1.528297545E0
1.921962375E0,1.114230066E0,3.481069672E-1,-1.366549262E0,1.797260133E0
1.932002375E0,1.240488116E0,4.053903848E-1,-1.496235827E0,1.985415267E0
1.942043375E0,1.307690458E0,4.322279352E-1,-1.484729676E0,2.025166051E0
1.952083375E0,1.341019003E0,3.896426636E-1,-1.369845922E0,1.956177707E0
1.962123375E0,1.328673484E0,2.939494711E-1,-1.302150367E0,1.883447663E0
1.972163375E0,1.248865568E0,2.016236901E-1,-1.264721171E0,1.788808810E0
1.982204375E0,1.227519138E0,1.546851665E-1,-1.278439908E0,1.779083847E0
1.992244375E0,1.206481002E0,1.453454089E-1,-1.274861412E0,1.761247659E0
2.002284375E0,9.959914716E-1,1.790680557E-1,-1.332224936E0,1.672987645E0
2.012325375E0,8.447523616E-1,2.906264985E-1,-1.307729781E0,1.583738455E0
2.022365375E0,8.571373491E-1,4.706768864E-1,-1.237402979E0,1.577145301E0
2.032405375E0,7.125338057E-1,5.539207721E-1,-1.190006618E0,1.493535536E0
2.042446375E0,5.134584783E-1,5.315768069E-1,-1.101139466E0,1.326168026E0
2.052486375E0,3.524691363E-1,5.511597168E-1,-9.353112602E-1,1.141410828E0
2.062526375E0,5.393793315E-2,4.484808558E-1,-6.608616686E-1,8.004889279E-1
2.072567375E0,-2.410764621E-1,2.141425788E-1,-2.458169460E-1,4.054637784E-1
2.082607375E0,-5.647365130E-1,-1.284259057E-1,1.244533074E-1,5.923758673E-1
2.092647375E0,-8.387712447E-1,-4.554788035E-1,5.007450235E-1,1.077842159E0
2.102688375E0,-1.014958377E0,-7.146671623E-1,8.602552307E-1,1.510274386E0
2.112728375E0,-1.124501139E0,-7.817370647E-1,1.057364870E0,1.730212738E0
2.122768375E0,-1.237554422E0,-7.595661771E-1,1.003419701E0,1.765030544E0
2.132809375E0,-1.241772750E0,-8.116239381E-1,8.135160971E-1,1.691904672E0
2.142849375E0,-1.209909956E0,-8.432778400E-1,5.698531922E-1,1.581054167E0
2.152889375E0,-1.068053581E0,-8.065456313E-1,3.082160926E-1,1.373408703E0
2.162929375E0,-7.809263483E-1,-7.269223416E-1,1.133764151E-1,1.072900864E0
2.172970375E0,-4.034983720E-1,-5.336280102E-1,-9.040891752E-3,6.690676551E-1
2.183010375E0,-1.354317471E-2,-2.649414343E-1,-6.311367631E-2,2.726916158E-1
2.193050375E0,3.913781172E-1,1.004154038E-1,-1.842551208E-1,4.440833632E-1
2.203091375E0,7.450614278E-1,4.913421160E-1,-3.727798784E-1,9.672116851E-1
2.213131375E0,1.030709461E0,7.279128599E-1,-5.794836295E-1,1.388531743E0
2.223171375E0,1.266066176E0,7.459667230E-1,-7.885215890E-1,1.667679889E0
2.233212375E0,1.378744215E0,5.611976320E-1,-9.662278283E-1,1.774675916E0
