Time (s),Linear Acceleration x (m/s^2),Linear Acceleration y (m/s^2),Linear Acceleration z (m/s^2),Absolute acceleration (m/s^2),Predicted Label
0.004262499977,0.6601734513,0.5480373037,-0.8815028429,1.230130535,0.0
0.01430249994,0.5665343857,-0.06096950233,-0.1523373632,0.5898179063,0.0
0.02434250002,0.5561678571,-0.8242814058,-0.1060123587,1.000000571,0.0
0.03438349999,0.1978978443,-0.78943317,-0.08216383182,0.8179970549,0.0
0.04442349996,-0.1475340217,-0.6521370381,-0.1666502508,0.6890727902,0.0
0.05446350004,-0.09816247165,-1.044863523,0.03940328993,1.050203919,0.0
0.06450450001,-0.4240698999,-0.4947592288,0.2197688428,0.6876920232,0.0
0.07454449998,-0.2132409382,0.2255610216,0.2109406435,0.3752937879,0.0
0.08458449994,0.06637583792,0.2506169254,0.17995157,0.3155901816,0.0
0.09462550003,0.03039675057,0.5780498922,0.3727354395,0.6884746533,0.0
0.1046655,-0.1220898628,0.6536187226,0.4423161729,0.7986031342,0.0
0.1147055,-0.1394473225,0.8589793682,0.1524871616,0.8834836983,0.0
0.1247464999,-0.1021783394,1.366605395,-0.0438190341,1.371120282,0.0
0.1347865,-0.3079079443,1.675706171,-0.3198543541,1.733523949,0.0
0.1448265,-0.5138498032,1.544032137,-0.4555495183,1.689852723,0.0
0.1548675,-0.7237654299,1.669625652,-0.6713888495,1.939651825,0.0
0.1649075,-0.319055661,1.250700717,0.2140303123,1.308379827,0.0
0.1749475,0.4609120363,1.561275576,0.3996584324,1.676230352,0.0
0.1849875,-0.3223768795,1.299643081,0.3035336423,1.37300097,0.0
0.1950284999,-0.1344947308,0.2693707001,0.2494854891,0.3910145982,0.0
0.2050685,0.412759046,-0.6992340213,0.00255874157,0.8119758578,0.0
0.2151085,0.6593060169,-0.2613986063,-0.02037981234,0.7095273018,0.0
0.2251495,0.8976201081,0.9097560042,-0.2715353394,1.306563924,0.0
0.2351895,-0.5203147772,1.791652949,0.1151948261,1.869229148,0.0
0.2452295,-1.017641811,0.600350588,0.9184876513,1.496541095,0.0
0.2552705,-0.05185398549,0.6790628815,0.4804715574,0.833467546,0.0
0.2653104999,0.3331682083,0.6050418091,-0.2762190322,0.7438908519,0.0
0.2753505,0.09782713383,-0.121335572,-0.1372318125,0.2076656917,0.0
0.2853915,0.5369650161,-0.6230208278,-0.5158915778,0.9708916008,0.0
0.2954315,0.8228807053,-2.021598798,-0.9792625145,2.392268678,0.0
0.3054715,1.194083882,-2.909704902,-0.2738580727,3.157089985,0.0
0.3155125,1.24577473,-3.326106178,0.04689949349,3.552060888,0.0
0.3255525,1.355018553,-2.693912238,-0.2045564342,3.022429778,0.0
0.3355924999,1.183289337,0.3873768675,-0.1585740034,1.255141509,0.0
0.3456325,2.171604438,0.8068245435,-0.1738681269,2.323157723,0.0
0.3556735,2.284305426,1.081254255,0.5148286271,2.579187965,0.0
0.3657135,0.9264047813,2.432746936,1.025856564,2.79801093,0.0
0.3757535,0.7537718788,2.195134218,1.614779938,2.827419412,0.0
0.3857945,0.1758076483,1.422363274,1.347528123,1.967195378,0.0
0.3958345,-0.5468994355,0.9571874481,0.3338255815,1.151844747,0.0
0.4058744999,-0.6803442988,0.3503639925,0.254227581,0.8063838757,0.0
0.4159152916,-0.9140501994,-0.08259016693,-0.1181665273,0.9253497884,0.0
0.4259552916,-0.5676029643,-0.2611442524,0.4807288349,0.788333469,0.0
0.4359952917,-1.197181737,-1.022545871,0.6225565588,1.693050749,0.0
0.4460362917,-1.562146811,-2.087167135,-0.1187464249,2.609726044,0.0
0.4560762916,-0.9634632647,-2.478293238,-0.9884741449,2.836772809,0.0
0.4661162917,-1.701925086,-0.90209966,0.09211005528,1.928423465,0.0
0.4761572917,-1.966520365,-0.02885951757,0.7251484425,2.096157314,0.0
0.4861972916,-0.8046520105,-0.117881037,0.1310607342,0.8237340062,0.0
0.4962372916,-0.2640260527,-0.1778804862,-0.1026689208,0.3345028119,0.0
0.5062782917,-0.2242296106,2.085787193,-0.05181458987,2.098445111,0.0
0.5163182917,-0.1235595605,4.571127495,0.06541623674,4.573265007,0.0
0.5263582916,-0.03465118468,5.947110069,0.02861620031,5.947279863,0.0
0.5363982917,-0.7960928562,3.699190112,0.2326699933,3.79102976,0.0
0.5464392917,-0.7392248833,-1.067191701,0.8266045777,1.539034334,0.0
0.5564792916,-0.2309875301,-2.935138535,1.0866956,3.13835957,0.0
0.5665192916,0.3239807707,-1.804274749,0.746130445,1.97916183,0.0
0.5765602917,0.3203037491,-0.9051460594,0.3099725962,1.008943453,0.0
0.5866002917,0.3740674353,-1.754778069,0.4354562195,1.846292132,0.0
0.5966402916,0.802516315,-1.909299513,0.1162941392,2.074362889,0.0
0.6066812917,0.8672756901,-0.9064429718,-0.8520925176,1.516531451,0.0
0.6167212917,0.8950645825,0.2165317512,-0.926546284,1.306336336,0.0
0.6267612916,0.03107648939,0.88632855,0.9592380667,1.306400289,0.0
0.6368022916,-0.9056348866,-0.1469820446,1.299170042,1.590478251,0.0
0.6468422917,-0.690823094,-1.037398968,0.462897166,1.32955141,0.0
0.6568822917,0.02915918738,-1.380672626,-0.8123975247,1.602216246,0.0
0.6669232916,0.3027007064,-1.719214718,-1.233751393,2.137631742,0.0
