"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.754050003E-2,-1.088926971E-2,-1.994251370E-2,5.459340602E-1,5.464066967E-1
2.757949999E-2,-4.637229390E-1,2.217948300E-1,6.749581361E-1,8.484105116E-1
3.761850006E-2,-7.288535307E-1,6.752452344E-1,5.138404477E-1,1.118577490E0
4.765850003E-2,-6.194702522E-1,1.338386148E0,2.112908918E-1,1.489853924E0
5.769749999E-2,-5.763949840E-1,1.851350098E0,-2.246032476E-2,1.939131978E0
6.773650006E-2,-1.292646157E0,1.208069252E0,1.923323914E-1,1.779707042E0
7.777550002E-2,-1.111129434E0,-3.956103319E-1,6.690307405E-1,1.355993468E0
8.781450009E-2,-6.018983459E-1,-4.381032175E-1,2.165919409E-1,7.753245236E-1
9.785450005E-2,-1.628015842E0,-8.115970409E-1,7.072739428E-1,1.951758635E0
1.078935000E-1,-1.856718134E0,-1.103572492E0,1.472454616E0,2.614076715E0
1.179325001E-1,-1.248437552E0,-8.250187397E-1,1.795863529E0,2.337600920E0
1.279715000E-1,-9.029188550E-1,-7.073441094E-1,1.359384668E0,1.778630042E0
1.380105000E-1,-4.076338153E-1,-5.083452344E-1,9.400340563E-1,1.143785046E0
1.480505001E-1,1.626929283E-2,-2.494650239E-1,9.761365199E-1,1.007640806E0
1.580895000E-1,2.826067498E-1,-7.136000454E-2,1.322216842E0,1.353963147E0
1.681285000E-1,5.394486210E-1,1.762362492E-1,1.616615379E0,1.713332809E0
1.781675001E-1,5.493482494E-1,3.466983730E-1,1.935589764E0,2.041688271E0
1.882065000E-1,3.011425696E-1,4.176174974E-1,2.297793199E0,2.354770648E0
1.982465000E-1,2.327104121E-2,4.397030157E-1,2.610597602E0,2.647470514E0
2.082855001E-1,-1.373461255E-1,5.251027697E-1,2.974592623E0,3.023706029E0
2.183245000E-1,-5.377887426E-1,7.553094041E-1,2.933681409E0,3.076718323E0
2.283635001E-1,-7.925327790E-1,1.167024722E0,2.350949798E0,2.741718414E0
2.384025001E-1,-9.968628529E-1,1.657064078E0,2.338827350E0,3.034750448E0
2.484425000E-1,-1.304494955E0,2.050554795E0,2.446114256E0,3.448181696E0
2.584815001E-1,-1.308907118E0,2.475188951E0,1.696928056E0,3.274043832E0
2.685205000E-1,-6.899379717E-1,2.860957249E0,1.548019646E-1,2.947041641E0
2.785595000E-1,-1.958720765E-1,3.268316392E0,-1.474325141E0,3.590806668E0
2.885985001E-1,-9.775747888E-1,3.297984579E0,-1.779057755E0,3.872647834E0
2.986385000E-1,-2.348100888E0,2.669054555E0,-2.006287864E0,4.081987383E0
3.086775000E-1,-3.216104557E0,2.075169818E0,-2.554768971E0,4.601793432E0
3.187165001E-1,-3.153632028E0,1.562380700E0,-2.437635501E0,4.281179189E0
3.287555000E-1,-2.200657060E0,7.740707803E-1,-1.207152994E0,2.626650989E0
3.387945000E-1,-1.418671927E0,-1.245889628E-1,-3.325065958E-1,1.462433958E0
3.488345001E-1,-8.902472808E-1,-1.203595548E0,2.981407553E-2,1.497354782E0
3.588735000E-1,3.423493601E-2,-1.927981952E0,1.015304386E0,2.179249741E0
3.689125000E-1,9.719872626E-1,-2.425264839E0,1.071429763E0,2.823938830E0
3.789515001E-1,8.811071326E-1,-3.117466999E0,-3.109104896E-1,3.254476240E0
3.889905000E-1,6.916184615E-1,-3.982363164E0,-1.641498206E0,4.362575940E0
3.990305001E-1,1.137885123E0,-4.716894488E0,-1.065284339E0,4.967766790E0
4.090695000E-1,2.150136093E0,-5.239092945E0,7.974251443E-1,5.719009265E0
4.191085000E-1,2.379835920E0,-5.772821528E0,1.178447258E0,6.354354833E0
4.291475001E-1,1.895199391E0,-6.633489572E0,3.446845919E-1,6.907515624E0
4.391865000E-1,1.408793056E0,-7.574117705E0,-1.013357556E-1,7.704688561E0
4.492265000E-1,1.241912059E0,-8.136575997E0,-4.405774668E-1,8.242592009E0
