"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
5.002916674E-3,6.190632860E-1,-2.736157787E-1,2.315782743E0,2.412665467E0
1.504291676E-2,6.963991815E-2,1.282313688E0,-2.253634588E-1,1.303827750E0
2.508291672E-2,-2.229178974E-1,2.274310781E0,-2.124803324E0,3.120412005E0
3.512291668E-2,-9.929107929E-1,2.724825298E0,-3.991691812E0,4.933978949E0
4.516291677E-2,-1.310497706E0,4.104232587E0,-5.839700811E0,7.257012810E0
5.520291673E-2,-3.884634629E-1,4.230907837E0,-6.629687127E0,7.874276881E0
6.524391670E-2,-1.452983069E-2,2.979138833E0,-5.869194167E0,6.582014849E0
7.528391667E-2,6.561458161E-1,1.532699064E0,-4.436926879E0,4.739832685E0
8.532391675E-2,1.266000834E0,1.055538200E0,-3.134933801E0,3.541853885E0
9.536391671E-2,9.746888955E-1,7.220738304E-1,-2.276798186E0,2.579771122E0
1.054039167E-1,1.073593836E-1,5.192485374E-1,-1.409749660E0,1.506167051E0
1.154449168E-1,-4.997281927E-1,6.948310679E-1,-7.694175661E-1,1.150878738E0
1.254849167E-1,-1.038721754E0,1.148821755E0,-3.425579596E-1,1.586215705E0
1.355249167E-1,-4.646333505E-1,2.335989550E0,-4.479528522E-1,2.423508425E0
1.455649167E-1,5.102221906E-1,2.458609756E0,-1.121963739E0,2.750252942E0
1.556049167E-1,1.244819149E0,1.279039832E0,-1.457759979E0,2.304469953E0
1.656459167E-1,1.662065787E0,1.322248417E-1,-1.451598183E0,2.210674868E0
1.756859167E-1,1.813507941E0,-1.199583773E0,-1.194960380E0,2.481076901E0
1.857259168E-1,8.567680974E-1,-3.204444332E0,-5.323398685E-1,3.359449476E0
1.957659167E-1,-2.110467340E-1,-4.308968166E0,1.354592875E0,4.521799336E0
2.058059167E-1,1.689591701E-1,-3.497631326E0,3.512523015E0,4.959817539E0
2.158459167E-1,-3.487802010E-1,-2.837547922E0,4.535755348E0,5.361567160E0
2.258869167E-1,-9.277113417E-1,-1.927465058E0,4.863102361E0,5.312770883E0
2.359269167E-1,-1.313092993E0,-7.621886533E-1,4.047957230E0,4.323320770E0
2.459669167E-1,-9.121542397E-1,5.453814983E-2,2.518884609E0,2.679511045E0
2.560069168E-1,-8.994512368E-1,-2.380290395E-1,6.105358529E-1,1.112845173E0
2.660469167E-1,-1.131873747E0,-3.366896939E-1,-9.786935073E-1,1.533733715E0
2.760879167E-1,-1.305510762E0,3.146135312E-1,-2.165171916E0,2.547804830E0
2.861279167E-1,-1.298970944E0,1.391982311E0,-2.477575784E0,3.124631504E0
2.961679167E-1,-9.607642630E-1,1.860528472E0,-2.336137485E0,3.137223695E0
3.062079167E-1,-4.632520189E-1,2.115094022E0,-2.489423413E0,3.299311153E0
3.162479167E-1,1.445445962E-1,2.113328163E0,-2.297032476E0,3.124645142E0
3.262879167E-1,6.079820449E-1,1.208520657E0,-2.331037543E0,2.695162402E0
3.363289167E-1,1.181202831E0,6.148861814E-1,-2.256411869E0,2.620061004E0
3.463689167E-1,9.863511671E-1,-2.958293509E-1,-1.779615287E0,2.056072518E0
3.564089168E-1,9.867943130E-1,-1.037300150E0,-1.413144554E0,2.011649111E0
3.664489167E-1,5.870015408E-1,-1.856428989E0,-7.790315580E-1,2.097090739E0
3.764889167E-1,6.665154328E-2,-2.369521578E0,-1.889235560E-1,2.377975409E0
3.865299167E-1,-9.233987278E-1,-2.760702644E0,1.959075069E-1,2.917623014E0
3.965699167E-1,-1.723133815E0,-2.682138285E0,1.007505662E0,3.343370094E0
4.066099167E-1,-2.173640292E0,-2.201054524E0,1.889137144E0,3.624664438E0
4.166499167E-1,-2.569818827E0,-1.599479529E0,2.598531872E0,3.989319674E0
4.266899168E-1,-3.010286951E0,-1.100492179E0,3.041429222E0,4.418506792E0
4.367309167E-1,-3.227508381E0,-5.220639718E-1,3.338294699E0,4.672640864E0
4.467709167E-1,-2.942583795E0,1.387292844E-1,3.373228304E0,4.478472329E0
4.568109167E-1,-2.201040199E0,6.981364989E-1,2.961449836E0,3.755283965E0
4.668509167E-1,-1.462868545E0,1.010115860E0,2.150639831E0,2.790263448E0
4.768909167E-1,-1.087885289E0,1.095089352E0,1.297943881E0,2.016773018E0
4.869309167E-1,-6.567849167E-1,1.209665542E0,5.601832862E-1,1.486089656E0
4.969719168E-1,3.134435765E-1,1.078028346E0,2.616020894E-1,1.152747866E0
5.070119167E-1,3.684474205E-1,9.976262069E-1,-1.579987105E-1,1.075162845E0
5.170519167E-1,4.139245057E-1,9.439382422E-1,-4.964379644E-1,1.144029525E0
5.270919167E-1,5.969088803E-1,1.050251732E0,-5.036544884E-1,1.308815020E0
5.371319167E-1,7.847121280E-1,1.478260902E0,-4.796459305E-1,1.741002193E0
5.471729167E-1,9.011952420E-1,1.861005020E0,-3.554475252E-1,2.098055169E0
5.572129167E-1,7.548337331E-1,2.203795114E0,-1.569556038E-1,2.334763785E0
5.672529167E-1,4.502657549E-1,2.401626300E0,1.616428780E-1,2.448811254E0
5.772929167E-1,-6.756340742E-2,2.630150691E0,1.535748533E-1,2.635496671E0
5.873329167E-1,-7.022494304E-1,2.978259412E0,2.113019284E-1,3.067218918E0
5.973739167E-1,-1.325885385E0,3.506423784E0,3.782131112E-1,3.767761267E0
6.074139167E-1,-1.695386437E0,4.231203121E0,7.018425373E-1,4.611940803E0
6.174539167E-1,-1.656506254E0,5.053313456E0,8.938813984E-1,5.392496064E0
6.274939167E-1,-1.533938674E0,5.816679153E0,7.582540619E-1,6.063140560E0
6.375339167E-1,-1.385216205E0,6.418418455E0,1.557674130E-1,6.568042546E0
6.475739167E-1,-1.554761193E0,7.290439453E0,-4.201785779E-1,7.466213219E0
6.576149167E-1,-1.294363777E0,7.791738208E0,-1.723657433E0,8.084402070E0
6.676549168E-1,1.444711405E-1,6.611218112E0,-3.116831406E0,7.310520833E0
6.776949167E-1,-4.133045912E-2,5.196536325E0,-4.446988767E0,6.839693493E0
6.877349167E-1,1.051207752E0,4.301057467E0,-5.502284893E0,7.062525902E0
6.977749167E-1,2.053838883E0,3.042579369E0,-5.267579995E0,6.420509511E0
7.078159167E-1,2.784597583E0,7.589416945E-1,-3.645571729E0,4.649749394E0
7.178559167E-1,3.613112081E0,-1.202163565E0,-1.402486249E0,4.057923585E0
7.278959167E-1,4.108066022E0,-2.792880456E0,-3.069615725E-1,4.977008448E0
7.379359168E-1,3.798108921E0,-4.304924816E0,3.189188361E-2,5.740995222E0
7.479759167E-1,2.550520384E0,-5.711651466E0,-4.642583978E-1,6.272451878E0
7.580169167E-1,7.527319515E-1,-7.606808903E0,-1.059946855E0,7.717100130E0
