"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
6.109999958E-3,2.367180938E-1,-2.688333995E0,4.708544956E-1,2.739503437E0
1.614799991E-2,-4.976623714E-1,-7.561888254E-1,1.910274098E0,2.113914971E0
2.618499997E-2,7.321883440E-2,6.596495408E-1,2.473143595E0,2.560651822E0
3.622199991E-2,1.860659450E0,1.471847091E0,3.389253184E0,4.137079234E0
4.625899997E-2,1.409188620E0,2.030202391E0,2.619365794E0,3.601195840E0
5.629599991E-2,-2.365541671E0,3.154212656E0,-3.375591749E-1,3.957119037E0
6.633399997E-2,-4.225359121E0,3.281168572E0,-1.586036927E0,5.579896059E0
7.637099992E-2,-3.923291961E0,4.116475487E0,-1.000341215E0,5.773930446E0
8.640799997E-2,-1.270317833E0,3.769743785E0,-1.096512418E0,4.126380385E0
9.644499992E-2,-1.214536858E-1,2.032359429E0,-1.769289104E0,2.697335682E0
1.064830000E-1,-6.462988856E-1,-2.647683567E-1,-2.051292567E0,2.166934639E0
1.165199999E-1,-2.451921418E0,-1.594176105E0,7.678195220E-1,3.023716738E0
1.265570000E-1,-9.809052166E-1,-1.641884122E0,3.234945747E0,3.758035724E0
1.365939999E-1,1.677912911E0,-2.250675750E0,2.245582679E0,3.594937362E0
1.466320000E-1,2.968922286E0,-2.653927808E0,2.285835204E0,4.591609188E0
1.566689999E-1,3.264835837E0,-2.704428456E0,2.180551262E0,4.767377699E0
1.667060000E-1,3.209187885E0,-2.508146197E0,2.208409737E0,4.633223262E0
1.767429999E-1,3.267609171E0,-2.104674869E0,2.161083104E0,4.447157090E0
1.867810000E-1,2.881497641E0,-1.320932209E0,2.170124508E0,3.841527162E0
1.968179999E-1,1.216545961E0,-8.371423566E-1,2.455692580E0,2.865522194E0
2.068550000E-1,4.213269711E-1,-1.294744284E0,1.889566476E0,2.329021392E0
2.168919999E-1,6.802761787E-1,-1.748120429E0,3.970224345E-1,1.917375166E0
2.269299999E-1,-2.280004799E-2,-2.942929366E0,-1.771902371E0,3.435257065E0
2.369669999E-1,-9.296558332E-1,-3.848757210E0,-2.768912719E0,4.831570105E0
2.470039999E-1,-9.950820833E-1,-4.018884873E0,-1.043676977E0,4.269764116E0
2.570409999E-1,-2.234355587E-1,-3.470006740E0,1.198253531E0,3.677863748E0
2.670789999E-1,8.338796103E-1,-1.901026872E0,6.492865205E-1,2.175047439E0
2.771160000E-1,2.501760453E-1,-1.032681434E0,-1.082772630E0,1.517041716E0
2.871529999E-1,-1.007641903E0,-5.248010534E-1,-1.833467412E0,2.156933263E0
2.971900000E-1,-1.318946494E0,-5.010911787E-1,-1.036997849E0,1.751021634E0
3.072279999E-1,-1.679702159E0,-6.457331675E-1,1.797048175E-1,1.808497854E0
3.172650000E-1,-2.040512787E0,-3.629951477E-1,9.295219320E-1,2.271446440E0
3.273019999E-1,-1.288798251E0,-2.769182861E-1,-4.617601749E-1,1.396748770E0
3.373390000E-1,-1.635992467E-2,5.766173244E-2,-2.663844686E0,2.664518912E0
3.473759999E-1,3.353325552E-1,1.056394233E0,-4.439265765E0,4.575532453E0
3.574140000E-1,-4.571569544E-1,2.251803094E0,-4.645992320E0,5.183131707E0
3.674509999E-1,-1.565114858E0,3.375274830E0,-3.313437016E0,4.982060774E0
3.774880000E-1,-2.179553728E0,4.290520785E0,-1.536219673E0,5.051632799E0
3.875249999E-1,-2.127581921E0,4.951771878E0,-3.969984609E-1,5.404096348E0
3.975630000E-1,-2.047731174E0,4.989813863E0,-3.819366181E-1,5.407154606E0
4.075999999E-1,-1.884441538E0,4.674975214E0,-2.967105994E-1,5.049212844E0
4.176370000E-1,-2.035196790E0,4.384559215E0,2.425734955E-1,4.839961507E0
4.276739999E-1,-2.685069787E0,4.159189398E0,4.798979455E-1,4.973807218E0
4.377120000E-1,-3.249404742E0,4.185121799E0,3.179065369E-2,5.298573987E0
4.477489999E-1,-3.499799766E0,4.104341930E0,-4.835098437E-1,5.415533478E0
4.577860000E-1,-4.221190934E0,3.538460678E0,-1.264710646E0,5.651429013E0
4.678229999E-1,-4.634124811E0,3.231655519E0,-2.367447571E0,6.125644306E0
4.778610000E-1,-4.585369265E0,3.102669450E0,-3.109870881E0,6.350076056E0
4.878979999E-1,-3.866671325E0,3.428586819E0,-2.874713994E0,5.913572123E0
4.979350000E-1,-3.146664193E0,4.108836100E0,-2.713361832E0,5.843488861E0
5.079718332E-1,-2.737213502E0,4.019926847E0,-2.431978612E0,5.437524214E0
5.180098333E-1,-2.440292183E0,4.050658643E0,-1.591068310E0,4.989424791E0
5.280468332E-1,-2.091376692E0,4.400044397E0,-1.454288487E0,5.084211066E0
5.380838333E-1,-2.216772717E0,5.551523711E0,-1.191899947E0,6.095418138E0
5.481208332E-1,-1.686396343E0,5.973196253E0,-9.386102593E-1,6.277260176E0
5.581588333E-1,-1.064727246E0,5.826204852E0,-1.890367398E0,6.217056859E0
5.681958332E-1,-6.486139445E-1,5.447853747E0,-2.291095798E0,5.945496653E0
5.782328333E-1,-4.898180027E-1,-8.236859838E0,2.291179998E0,8.563602481E0
5.882698332E-1,-6.727101740E0,-4.164325241E1,1.388574203E1,4.440977596E1
5.983068333E-1,-4.593026487E0,-3.994498242E1,1.042944116E1,4.153878616E1
6.083448333E-1,8.571981894E0,-1.155089386E1,-4.656832181E-2,1.438416459E1
6.183818333E-1,1.143422202E1,3.077764989E0,-4.395219859E0,1.263059888E1
6.284188333E-1,3.452102566E0,7.498747680E0,-4.872270795E0,9.585783828E0
6.384558333E-1,-9.151725724E-1,4.523744583E0,-4.914529792E0,6.741988502E0
6.484938333E-1,-3.194930327E0,-4.383985019E-1,-4.829059871E0,5.806857350E0
6.585308333E-1,-2.922981589E0,-2.998181460E0,-3.202917624E0,5.271773397E0
6.685678333E-1,-3.939187324E-1,-7.922445112E-1,-1.500221143E0,1.741690791E0
6.786048333E-1,1.446194479E0,9.740309376E-1,1.806307241E-1,1.752952423E0
6.886428333E-1,1.651315388E0,9.519220304E-1,2.106105390E0,2.840541846E0
6.986798333E-1,1.138922711E0,7.451849502E-1,3.185951343E0,3.464495852E0
7.087168333E-1,1.075697646E0,-2.119615674E-3,3.914587795E0,4.059695497E0
7.187538333E-1,1.506189689E0,-1.052683005E0,4.267619580E0,4.646431509E0
7.287918333E-1,2.334908546E0,-1.319237686E0,3.791111265E0,4.643781931E0
7.388288333E-1,2.949027427E0,-1.183433179E0,2.758362004E0,4.207830533E0
7.488658333E-1,3.103657922E0,-1.969829305E0,2.118336449E0,4.242672424E0
7.589028333E-1,3.132847222E0,-3.281522328E0,1.873470114E0,4.908463179E0
7.689398333E-1,3.570113411E0,-4.149021674E0,1.738760937E0,5.743115898E0
7.789778332E-1,4.255279031E0,-4.970550796E0,9.852315715E-1,6.616982401E0
7.890148333E-1,4.854447020E0,-5.193081205E0,-9.502558663E-2,7.109344424E0
7.990518332E-1,5.132811030E0,-5.131483712E0,-5.228102227E-1,7.276757842E0
8.090888333E-1,4.105182175E0,-4.713536432E0,-1.422276735E-1,6.252213616E0
8.191268332E-1,3.231150320E0,-1.648335355E0,1.799420683E-1,3.631765546E0
8.291638333E-1,2.591399731E0,8.840095443E-1,7.153493862E-1,2.829938194E0
8.392008332E-1,2.378581254E0,2.418525338E0,1.534967784E0,3.723310313E0
8.492378333E-1,2.285185432E0,1.994203423E0,2.031261760E0,3.650334792E0
8.592758332E-1,1.872012404E0,1.515537486E0,2.929364995E0,3.792421863E0
8.693128333E-1,7.646848297E-1,9.621967578E-1,1.110269425E1,1.117051409E1
8.793498332E-1,-7.468375196E-1,-1.188803262E0,1.541816043E1,1.548194724E1
8.893868333E-1,-1.833618709E0,-3.281236399E0,2.084104364E0,4.297925183E0
8.994248332E-1,-3.276703638E0,-5.019995436E0,-4.881777198E0,7.731034182E0
9.094618333E-1,-6.273865929E0,-6.369874286E0,-6.094066971E0,1.082008985E1
9.194988332E-1,-8.399476168E0,-7.249097300E0,-7.056166665E0,1.314876799E1
9.295358333E-1,-1.004655028E1,-7.555939296E0,-5.482863951E0,1.371448826E1
9.395728332E-1,-9.597244381E0,-6.963084839E0,8.851807415E-1,1.189013016E1
9.496108333E-1,-6.411413491E0,-5.321938051E0,3.731579593E0,9.129837558E0
9.596478333E-1,-4.062285832E0,-3.234760975E0,1.224381815E0,5.335255905E0
9.696848333E-1,-3.275778608E0,-1.167311236E0,-1.169609776E0,3.668968253E0
9.797218333E-1,-2.415912071E0,2.982419121E-1,-1.893594477E0,3.084036222E0
9.897598333E-1,-1.701508911E0,2.555408657E-2,-3.613804976E0,3.994417603E0
9.997968333E-1,5.681499714E-1,-8.626397252E-1,-3.778418714E0,3.917063909E0
1.009833833E0,2.346543628E0,-1.312000002E0,-3.003533417E-1,2.705147526E0
1.019870833E0,3.170691279E0,-2.014114947E0,-6.059946129E-1,3.804887867E0
1.029908833E0,3.374297175E0,-1.768089840E0,-1.718791672E0,4.179266434E0
1.039945833E0,3.948404875E0,-8.695066953E-1,-2.189277647E0,4.597703727E0
1.049982833E0,4.174019983E0,-2.284466225E-1,-2.675227461E0,4.963010442E0
1.060019833E0,3.072710948E0,5.708531392E-1,-3.014290247E0,4.342046934E0
1.070057833E0,1.100133891E0,1.704375654E0,-2.586611738E0,3.287210251E0
1.080094833E0,-3.415729961E-1,3.058266279E0,-2.223030407E0,3.796251959E0
1.090131833E0,-1.006315023E0,4.076662381E0,-2.559684141E0,4.917705663E0
1.100168833E0,-1.141899529E0,4.954576787E0,-2.890139826E0,5.848476202E0
1.110205833E0,-1.064496061E0,5.730705788E0,-2.792325848E0,6.463066171E0
1.120243833E0,-8.557593066E-1,5.905222371E0,-3.145751443E0,6.745348573E0
1.130280833E0,-4.445864640E-1,5.833254256E0,-3.746012861E0,6.946734822E0
1.140317833E0,-2.023958150E-1,5.676489235E0,-4.274685355E0,7.108897874E0
1.150354833E0,-2.687564501E-1,5.331341543E0,-4.444925577E0,6.946423257E0
1.160392833E0,-3.011930019E-1,5.307189619E0,-4.318731261E0,6.848972082E0
1.170429833E0,-4.563088158E-1,5.287457020E0,-4.268486722E0,6.810682666E0
1.180466833E0,-2.840532048E-1,5.149277374E0,-3.825677665E0,6.421180055E0
1.190503833E0,-6.602471262E-2,4.856178673E0,-3.119343955E0,5.772099902E0
1.200541833E0,5.436907759E-1,5.136145113E0,-2.389450058E0,5.690787104E0
1.210578833E0,7.382812889E-1,5.314247208E0,-1.457566144E0,5.559746551E0
1.220615833E0,7.207742867E-1,5.412515514E0,-9.205476254E-2,5.461072591E0
1.230652833E0,6.639424203E-1,4.984137386E0,1.087641168E0,5.144454134E0
1.240689833E0,8.498932336E-1,3.094569302E0,2.799764091E0,4.258797558E0
1.250727833E0,8.400924231E-1,6.776414233E-1,2.902337117E0,3.096532564E0
1.260764833E0,2.733462220E-1,-1.812814023E0,3.986959368E0,4.388263648E0
1.270801833E0,-4.957610030E-1,-4.694703720E0,7.176325777E0,8.589858768E0
1.280838833E0,-1.015091109E0,-8.746713654E0,9.588920869E0,1.301855649E1
1.290876833E0,3.951203352E-1,-1.230510515E1,1.091792224E1,1.645517423E1
1.300913833E0,3.053417768E0,-1.368876688E1,9.785522386E0,1.710152470E1
1.310950833E0,4.577111535E0,-1.161832161E1,4.775339162E0,1.336933847E1
1.320987833E0,3.498733526E0,-6.239172644E0,1.023256307E0,7.226026919E0
1.331025833E0,1.266805411E0,-5.428823984E-1,1.286827154E0,1.885587805E0
1.341062833E0,-1.251164109E0,3.156064469E0,3.003175860E0,4.532683510E0
1.351099833E0,-3.142638385E0,4.714487189E0,3.663298440E0,6.747023117E0
1.361136833E0,-3.753256391E0,3.948458669E0,1.435380053E0,5.633611213E0
1.371174833E0,-3.530226045E0,2.094104857E0,-1.849380171E0,4.501997123E0
1.381211833E0,-3.441750948E0,5.125026047E-2,-4.223793529E0,5.448734528E0
1.391248833E0,-3.539597962E0,-2.198115714E0,-4.636295005E0,6.233433869E0
1.401285833E0,-3.111183581E0,-4.332617229E0,-2.782384120E0,6.016036629E0
1.411322833E0,-2.606716805E0,-5.772415146E0,6.159933516E-1,6.363583655E0
1.421360833E0,-3.214649769E0,-4.257029103E0,1.607844556E0,5.571484007E0
1.431397833E0,-4.437596970E0,8.524304867E-2,-9.561828965E-1,4.540244374E0
1.441434833E0,-5.286297517E0,3.627581601E0,-4.174416717E0,7.650493098E0
1.451471833E0,-5.744540884E0,5.642496446E0,-5.177083808E0,9.572863358E0
1.461509833E0,-5.616787409E0,5.421836561E0,-4.882561895E0,9.207824018E0
1.471546833E0,-3.728695162E0,3.334178844E0,-3.521239751E0,6.117110884E0
1.481583833E0,-8.113612519E-1,1.206929045E0,-2.541603673E0,2.928264679E0
1.491620833E0,1.353734212E-1,-8.291351795E-4,-4.291245547E0,4.293380370E0
1.501659000E0,1.763624029E-1,-3.775968146E-1,-5.984543359E0,5.999036779E0
1.511696000E0,4.510755578E-1,1.537607217E-1,-5.902879976E0,5.922086079E0
1.521733000E0,7.693608481E-1,7.514900029E-1,-5.428199501E0,5.533715132E0
1.531770000E0,1.227499696E0,6.369950885E-1,-4.780972078E0,4.976968179E0
1.541807000E0,1.633610166E0,-9.265562242E-1,-3.433933805E0,3.913960908E0
1.551845000E0,1.979484520E0,-3.521060534E0,-2.225819529E0,4.611995102E0
1.561882000E0,3.601088159E0,-5.392144400E0,-4.005437739E-1,6.496421513E0
1.571919000E0,4.512573477E0,-4.535096952E0,2.502059246E0,6.869550510E0
1.581956000E0,2.940570891E0,-2.679356180E0,3.105633988E0,5.046867263E0
1.591994000E0,1.741961557E0,-1.163385415E0,8.041418409E-1,2.243778017E0
1.602031000E0,1.545654740E0,-3.143708718E-1,-4.257316786E-1,1.633745721E0
1.612068000E0,1.105169220E0,3.399886930E-1,-2.298037612E-1,1.178898251E0
1.622105000E0,2.735549676E-1,8.749457753E-1,-1.307926832E0,1.597195989E0
1.632143000E0,6.940206438E-2,5.800607497E-1,-1.209868514E0,1.343528541E0
1.642180000E0,5.891949776E-1,7.984250182E-1,-8.997813852E-1,1.339492356E0
1.652217000E0,9.902531603E-1,9.288430703E-1,-7.240355712E-1,1.538693692E0
1.662254000E0,2.250277555E-1,7.855541271E-1,-5.578256158E-1,9.893948630E-1
1.672291000E0,-3.137174454E-1,8.075232857E-1,-2.230712771E-2,8.666083894E-1
1.682329000E0,-2.419621691E-1,6.548150629E-1,5.723500995E-1,9.027253703E-1
1.692366000E0,-2.901784556E-1,6.056306237E-1,2.145267044E-1,7.049919824E-1
1.702403000E0,6.119052708E-2,1.314288602E0,-1.726354973E-1,1.326989761E0
1.712440000E0,1.748605455E-1,1.536596818E0,1.089119344E0,1.891530316E0
1.722478000E0,2.526080485E-1,1.959952773E0,1.375370956E0,2.407669198E0
1.732515000E0,4.819465175E-1,2.287952920E0,1.126833301E0,2.595525823E0
1.742552000E0,2.243494785E-1,2.230627402E0,5.658876836E-1,2.312198124E0
1.752589000E0,-2.192208856E-2,2.485042094E0,3.074150606E-1,2.504080431E0
1.762626000E0,-5.518587515E-2,2.974048247E0,2.380296242E-1,2.984068793E0
1.772664000E0,-2.029100776E-1,3.109847492E0,3.266746560E-1,3.133534786E0
1.782701000E0,-4.568330187E-1,2.896135853E0,6.911841595E-1,3.012313866E0
1.792738000E0,-9.464988841E-1,2.108737514E0,8.979368810E-1,2.479702539E0
1.802775000E0,-1.283720821E0,1.264289061E0,1.146302190E0,2.135503380E0
1.812813000E0,-1.508938026E0,1.888574642E-1,2.120116342E0,2.609109889E0
1.822850000E0,-1.677478024E0,-9.229438144E-1,4.008486185E0,4.442265109E0
1.832887000E0,-1.543086496E0,-1.355037848E0,5.724824073E0,6.082010702E0
1.842924000E0,-9.423505770E-1,-2.030810502E0,6.610200112E0,6.979037285E0
1.852962000E0,4.755344608E-1,-2.739150977E0,6.593903922E0,7.156021941E0
1.862999000E0,1.945203464E0,-2.999262026E0,4.935982057E0,6.094530998E0
1.873036000E0,2.854601618E0,-3.002954543E0,3.236744936E0,5.257661473E0
1.883073000E0,3.362758865E0,-2.917271199E0,2.428007329E0,5.070881385E0
1.893110000E0,3.941202275E0,-2.725987725E0,1.522087537E0,5.028005063E0
1.903148000E0,4.236667929E0,-2.554000647E0,6.358051801E-1,4.987636983E0
1.913185000E0,3.665399637E0,-2.754039157E0,8.836780071E-2,4.585596477E0
1.923222000E0,2.693064392E0,-2.757279099E0,-5.290414542E-3,3.854245950E0
1.933259000E0,1.002338770E0,-2.815720266E0,1.393596435E0,3.297737808E0
1.943297000E0,-1.080234500E0,-3.637083326E0,3.902830214E0,5.443102551E0
1.953334000E0,-2.129181280E0,-4.251650834E0,5.362116609E0,7.166745584E0
1.963371000E0,-2.363538561E0,-3.909734899E0,5.245838878E0,6.956375999E0
1.973408000E0,-1.922524161E0,-3.070491638E0,4.049118487E0,5.433173894E0
1.983446000E0,-9.050460720E-1,-2.323715075E0,3.042128256E0,3.933612140E0
1.993483000E0,-3.836011742E-1,-2.127252722E0,2.777117532E0,3.519195333E0
2.003520000E0,-1.745114668E-1,-2.361207422E0,2.992790912E0,3.816091218E0
2.013557000E0,4.195008856E-1,-2.537552429E0,3.222601690E0,4.123143822E0
2.023594000E0,5.794093698E-1,-1.868174291E0,3.459951868E0,3.974551211E0
2.033632000E0,4.568723412E-1,-7.677897012E-1,2.943869598E0,3.076459259E0
2.043669000E0,2.262730663E-1,-9.540492475E-2,1.201905702E0,1.226735064E0
2.053706000E0,2.708649561E-2,3.373744029E-1,-1.148903031E0,1.197720060E0
2.063743000E0,-8.269059286E-2,-1.503073561E-1,-3.475353434E0,3.479584965E0
