Time (s),Linear Acceleration x (m/s^2),Linear Acceleration y (m/s^2),Linear Acceleration z (m/s^2),Absolute acceleration (m/s^2),Predicted Label
0.006109999958,0.2367180938,-2.688333995,0.4708544956,2.739503437,1.0
0.01614799991,-0.4976623714,-0.7561888254,1.910274098,2.113914971,1.0
0.02618499997,0.0732188344,0.6596495408,2.473143595,2.560651822,1.0
0.03622199991,1.86065945,1.471847091,3.389253184,4.137079234,1.0
0.04625899997,1.40918862,2.030202391,2.619365794,3.60119584,1.0
0.05629599991,-2.365541671,3.154212656,-0.3375591749,3.957119037,1.0
0.06633399997,-4.225359121,3.281168572,-1.586036927,5.579896059,1.0
0.07637099992,-3.923291961,4.116475487,-1.000341215,5.773930446,1.0
0.08640799997,-1.270317833,3.769743785,-1.096512418,4.126380385,1.0
0.09644499992,-0.1214536858,2.032359429,-1.769289104,2.697335682,1.0
0.106483,-0.6462988856,-0.2647683567,-2.051292567,2.166934639,1.0
0.1165199999,-2.451921418,-1.594176105,0.767819522,3.023716738,1.0
0.126557,-0.9809052166,-1.641884122,3.234945747,3.758035724,1.0
0.1365939999,1.677912911,-2.25067575,2.245582679,3.594937362,1.0
0.146632,2.968922286,-2.653927808,2.285835204,4.591609188,1.0
0.1566689999,3.264835837,-2.704428456,2.180551262,4.767377699,1.0
0.166706,3.209187885,-2.508146197,2.208409737,4.633223262,1.0
0.1767429999,3.267609171,-2.104674869,2.161083104,4.44715709,1.0
0.186781,2.881497641,-1.320932209,2.170124508,3.841527162,1.0
0.1968179999,1.216545961,-0.8371423566,2.45569258,2.865522194,1.0
0.206855,0.4213269711,-1.294744284,1.889566476,2.329021392,1.0
0.2168919999,0.6802761787,-1.748120429,0.3970224345,1.917375166,1.0
0.2269299999,-0.02280004799,-2.942929366,-1.771902371,3.435257065,1.0
0.2369669999,-0.9296558332,-3.84875721,-2.768912719,4.831570105,1.0
0.2470039999,-0.9950820833,-4.018884873,-1.043676977,4.269764116,1.0
0.2570409999,-0.2234355587,-3.47000674,1.198253531,3.677863748,1.0
0.2670789999,0.8338796103,-1.901026872,0.6492865205,2.175047439,1.0
0.277116,0.2501760453,-1.032681434,-1.08277263,1.517041716,1.0
0.2871529999,-1.007641903,-0.5248010534,-1.833467412,2.156933263,1.0
0.29719,-1.318946494,-0.5010911787,-1.036997849,1.751021634,1.0
0.3072279999,-1.679702159,-0.6457331675,0.1797048175,1.808497854,1.0
0.317265,-2.040512787,-0.3629951477,0.929521932,2.27144644,1.0
0.3273019999,-1.288798251,-0.2769182861,-0.4617601749,1.39674877,1.0
0.337339,-0.01635992467,0.05766173244,-2.663844686,2.664518912,1.0
0.3473759999,0.3353325552,1.056394233,-4.439265765,4.575532453,1.0
0.357414,-0.4571569544,2.251803094,-4.64599232,5.183131707,1.0
0.3674509999,-1.565114858,3.37527483,-3.313437016,4.982060774,1.0
0.377488,-2.179553728,4.290520785,-1.536219673,5.051632799,1.0
0.3875249999,-2.127581921,4.951771878,-0.3969984609,5.404096348,1.0
0.397563,-2.047731174,4.989813863,-0.3819366181,5.407154606,1.0
0.4075999999,-1.884441538,4.674975214,-0.2967105994,5.049212844,1.0
0.417637,-2.03519679,4.384559215,0.2425734955,4.839961507,1.0
0.4276739999,-2.685069787,4.159189398,0.4798979455,4.973807218,1.0
0.437712,-3.249404742,4.185121799,0.03179065369,5.298573987,1.0
0.4477489999,-3.499799766,4.10434193,-0.4835098437,5.415533478,1.0
0.457786,-4.221190934,3.538460678,-1.264710646,5.651429013,1.0
0.4678229999,-4.634124811,3.231655519,-2.367447571,6.125644306,1.0
0.477861,-4.585369265,3.10266945,-3.109870881,6.350076056,1.0
0.4878979999,-3.866671325,3.428586819,-2.874713994,5.913572123,1.0
0.497935,-3.146664193,4.1088361,-2.713361832,5.843488861,1.0
0.5079718332,-2.737213502,4.019926847,-2.431978612,5.437524214,1.0
0.5180098333,-2.440292183,4.050658643,-1.59106831,4.989424791,1.0
0.5280468332,-2.091376692,4.400044397,-1.454288487,5.084211066,1.0
0.5380838333,-2.216772717,5.551523711,-1.191899947,6.095418138,1.0
0.5481208332,-1.686396343,5.973196253,-0.9386102593,6.277260176,1.0
0.5581588333,-1.064727246,5.826204852,-1.890367398,6.217056859,1.0
0.5681958332,-0.6486139445,5.447853747,-2.291095798,5.945496653,1.0
0.5782328333,-0.4898180027,-8.236859838,2.291179998,8.563602481,1.0
0.5882698332,-6.72710174,-41.64325241,13.88574203,44.40977596,1.0
0.5983068333,-4.593026487,-39.94498242,10.42944116,41.53878616,1.0
0.6083448333,8.571981894,-11.55089386,-0.04656832181,14.38416459,1.0
0.6183818333,11.43422202,3.077764989,-4.395219859,12.63059888,1.0
0.6284188333,3.452102566,7.49874768,-4.872270795,9.585783828,1.0
0.6384558333,-0.9151725724,4.523744583,-4.914529792,6.741988502,1.0
0.6484938333,-3.194930327,-0.4383985019,-4.829059871,5.80685735,1.0
0.6585308333,-2.922981589,-2.99818146,-3.202917624,5.271773397,1.0
0.6685678333,-0.3939187324,-0.7922445112,-1.500221143,1.741690791,1.0
0.6786048333,1.446194479,0.9740309376,0.1806307241,1.752952423,1.0
0.6886428333,1.651315388,0.9519220304,2.10610539,2.840541846,1.0
0.6986798333,1.138922711,0.7451849502,3.185951343,3.464495852,1.0
0.7087168333,1.075697646,-0.002119615674,3.914587795,4.059695497,1.0
0.7187538333,1.506189689,-1.052683005,4.26761958,4.646431509,1.0
0.7287918333,2.334908546,-1.319237686,3.791111265,4.643781931,1.0
0.7388288333,2.949027427,-1.183433179,2.758362004,4.207830533,1.0
0.7488658333,3.103657922,-1.969829305,2.118336449,4.242672424,1.0
0.7589028333,3.132847222,-3.281522328,1.873470114,4.908463179,1.0
0.7689398333,3.570113411,-4.149021674,1.738760937,5.743115898,1.0
0.7789778332,4.255279031,-4.970550796,0.9852315715,6.616982401,1.0
0.7890148333,4.85444702,-5.193081205,-0.09502558663,7.109344424,1.0
0.7990518332,5.13281103,-5.131483712,-0.5228102227,7.276757842,1.0
0.8090888333,4.105182175,-4.713536432,-0.1422276735,6.252213616,1.0
0.8191268332,3.23115032,-1.648335355,0.1799420683,3.631765546,1.0
0.8291638333,2.591399731,0.8840095443,0.7153493862,2.829938194,1.0
0.8392008332,2.378581254,2.418525338,1.534967784,3.723310313,1.0
0.8492378333,2.285185432,1.994203423,2.03126176,3.650334792,1.0
0.8592758332,1.872012404,1.515537486,2.929364995,3.792421863,1.0
0.8693128333,0.7646848297,0.9621967578,11.10269425,11.17051409,1.0
0.8793498332,-0.7468375196,-1.188803262,15.41816043,15.48194724,1.0
0.8893868333,-1.833618709,-3.281236399,2.084104364,4.297925183,1.0
0.8994248332,-3.276703638,-5.019995436,-4.881777198,7.731034182,1.0
0.9094618333,-6.273865929,-6.369874286,-6.094066971,10.82008985,1.0
0.9194988332,-8.399476168,-7.2490973,-7.056166665,13.14876799,1.0
0.9295358333,-10.04655028,-7.555939296,-5.482863951,13.71448826,1.0
0.9395728332,-9.597244381,-6.963084839,0.8851807415,11.89013016,1.0
0.9496108333,-6.411413491,-5.321938051,3.731579593,9.129837558,1.0
0.9596478333,-4.062285832,-3.234760975,1.224381815,5.335255905,1.0
0.9696848333,-3.275778608,-1.167311236,-1.169609776,3.668968253,1.0
0.9797218333,-2.415912071,0.2982419121,-1.893594477,3.084036222,1.0
0.9897598333,-1.701508911,0.02555408657,-3.613804976,3.994417603,1.0
0.9997968333,0.5681499714,-0.8626397252,-3.778418714,3.917063909,1.0
1.009833833,2.346543628,-1.312000002,-0.3003533417,2.705147526,1.0
1.019870833,3.170691279,-2.014114947,-0.6059946129,3.804887867,1.0
1.029908833,3.374297175,-1.76808984,-1.718791672,4.179266434,1.0
1.039945833,3.948404875,-0.8695066953,-2.189277647,4.597703727,1.0
1.049982833,4.174019983,-0.2284466225,-2.675227461,4.963010442,1.0
1.060019833,3.072710948,0.5708531392,-3.014290247,4.342046934,1.0
1.070057833,1.100133891,1.704375654,-2.586611738,3.287210251,1.0
1.080094833,-0.3415729961,3.058266279,-2.223030407,3.796251959,1.0
1.090131833,-1.006315023,4.076662381,-2.559684141,4.917705663,1.0
1.100168833,-1.141899529,4.954576787,-2.890139826,5.848476202,1.0
1.110205833,-1.064496061,5.730705788,-2.792325848,6.463066171,1.0
1.120243833,-0.8557593066,5.905222371,-3.145751443,6.745348573,1.0
1.130280833,-0.444586464,5.833254256,-3.746012861,6.946734822,1.0
1.140317833,-0.202395815,5.676489235,-4.274685355,7.108897874,1.0
1.150354833,-0.2687564501,5.331341543,-4.444925577,6.946423257,1.0
1.160392833,-0.3011930019,5.307189619,-4.318731261,6.848972082,1.0
1.170429833,-0.4563088158,5.28745702,-4.268486722,6.810682666,1.0
1.180466833,-0.2840532048,5.149277374,-3.825677665,6.421180055,1.0
1.190503833,-0.06602471262,4.856178673,-3.119343955,5.772099902,1.0
1.200541833,0.5436907759,5.136145113,-2.389450058,5.690787104,1.0
1.210578833,0.7382812889,5.314247208,-1.457566144,5.559746551,1.0
1.220615833,0.7207742867,5.412515514,-0.09205476254,5.461072591,1.0
1.230652833,0.6639424203,4.984137386,1.087641168,5.144454134,1.0
1.240689833,0.8498932336,3.094569302,2.799764091,4.258797558,1.0
1.250727833,0.8400924231,0.6776414233,2.902337117,3.096532564,1.0
1.260764833,0.273346222,-1.812814023,3.986959368,4.388263648,1.0
1.270801833,-0.495761003,-4.69470372,7.176325777,8.589858768,1.0
1.280838833,-1.015091109,-8.746713654,9.588920869,13.01855649,1.0
1.290876833,0.3951203352,-12.30510515,10.91792224,16.45517423,1.0
1.300913833,3.053417768,-13.68876688,9.785522386,17.1015247,1.0
1.310950833,4.577111535,-11.61832161,4.775339162,13.36933847,1.0
1.320987833,3.498733526,-6.239172644,1.023256307,7.226026919,1.0
1.331025833,1.266805411,-0.5428823984,1.286827154,1.885587805,1.0
1.341062833,-1.251164109,3.156064469,3.00317586,4.53268351,1.0
1.351099833,-3.142638385,4.714487189,3.66329844,6.747023117,1.0
1.361136833,-3.753256391,3.948458669,1.435380053,5.633611213,1.0
1.371174833,-3.530226045,2.094104857,-1.849380171,4.501997123,1.0
1.381211833,-3.441750948,0.05125026047,-4.223793529,5.448734528,1.0
1.391248833,-3.539597962,-2.198115714,-4.636295005,6.233433869,1.0
1.401285833,-3.111183581,-4.332617229,-2.78238412,6.016036629,1.0
1.411322833,-2.606716805,-5.772415146,0.6159933516,6.363583655,1.0
1.421360833,-3.214649769,-4.257029103,1.607844556,5.571484007,1.0
1.431397833,-4.43759697,0.08524304867,-0.9561828965,4.540244374,1.0
1.441434833,-5.286297517,3.627581601,-4.174416717,7.650493098,1.0
1.451471833,-5.744540884,5.642496446,-5.177083808,9.572863358,1.0
1.461509833,-5.616787409,5.421836561,-4.882561895,9.207824018,1.0
1.471546833,-3.728695162,3.334178844,-3.521239751,6.117110884,1.0
1.481583833,-0.8113612519,1.206929045,-2.541603673,2.928264679,1.0
1.491620833,0.1353734212,-0.0008291351795,-4.291245547,4.29338037,1.0
1.501659,0.1763624029,-0.3775968146,-5.984543359,5.999036779,1.0
1.511696,0.4510755578,0.1537607217,-5.902879976,5.922086079,1.0
1.521733,0.7693608481,0.7514900029,-5.428199501,5.533715132,1.0
1.53177,1.227499696,0.6369950885,-4.780972078,4.976968179,1.0
1.541807,1.633610166,-0.9265562242,-3.433933805,3.913960908,1.0
1.551845,1.97948452,-3.521060534,-2.225819529,4.611995102,1.0
1.561882,3.601088159,-5.3921444,-0.4005437739,6.496421513,1.0
1.571919,4.512573477,-4.535096952,2.502059246,6.86955051,1.0
1.581956,2.940570891,-2.67935618,3.105633988,5.046867263,1.0
1.591994,1.741961557,-1.163385415,0.8041418409,2.243778017,1.0
1.602031,1.54565474,-0.3143708718,-0.4257316786,1.633745721,1.0
1.612068,1.10516922,0.339988693,-0.2298037612,1.178898251,1.0
1.622105,0.2735549676,0.8749457753,-1.307926832,1.597195989,1.0
1.632143,0.06940206438,0.5800607497,-1.209868514,1.343528541,1.0
1.64218,0.5891949776,0.7984250182,-0.8997813852,1.339492356,1.0
1.652217,0.9902531603,0.9288430703,-0.7240355712,1.538693692,1.0
1.662254,0.2250277555,0.7855541271,-0.5578256158,0.989394863,1.0
1.672291,-0.3137174454,0.8075232857,-0.02230712771,0.8666083894,1.0
1.682329,-0.2419621691,0.6548150629,0.5723500995,0.9027253703,1.0
1.692366,-0.2901784556,0.6056306237,0.2145267044,0.7049919824,1.0
1.702403,0.06119052708,1.314288602,-0.1726354973,1.326989761,1.0
1.71244,0.1748605455,1.536596818,1.089119344,1.891530316,1.0
1.722478,0.2526080485,1.959952773,1.375370956,2.407669198,1.0
1.732515,0.4819465175,2.28795292,1.126833301,2.595525823,1.0
1.742552,0.2243494785,2.230627402,0.5658876836,2.312198124,1.0
1.752589,-0.02192208856,2.485042094,0.3074150606,2.504080431,1.0
1.762626,-0.05518587515,2.974048247,0.2380296242,2.984068793,1.0
1.772664,-0.2029100776,3.109847492,0.326674656,3.133534786,1.0
1.782701,-0.4568330187,2.896135853,0.6911841595,3.012313866,1.0
1.792738,-0.9464988841,2.108737514,0.897936881,2.479702539,1.0
1.802775,-1.283720821,1.264289061,1.14630219,2.13550338,1.0
1.812813,-1.508938026,0.1888574642,2.120116342,2.609109889,1.0
1.82285,-1.677478024,-0.9229438144,4.008486185,4.442265109,1.0
1.832887,-1.543086496,-1.355037848,5.724824073,6.082010702,1.0
1.842924,-0.942350577,-2.030810502,6.610200112,6.979037285,1.0
1.852962,0.4755344608,-2.739150977,6.593903922,7.156021941,1.0
1.862999,1.945203464,-2.999262026,4.935982057,6.094530998,1.0
1.873036,2.854601618,-3.002954543,3.236744936,5.257661473,1.0
1.883073,3.362758865,-2.917271199,2.428007329,5.070881385,1.0
1.89311,3.941202275,-2.725987725,1.522087537,5.028005063,1.0
1.903148,4.236667929,-2.554000647,0.6358051801,4.987636983,1.0
1.913185,3.665399637,-2.754039157,0.08836780071,4.585596477,1.0
1.923222,2.693064392,-2.757279099,-0.005290414542,3.85424595,1.0
1.933259,1.00233877,-2.815720266,1.393596435,3.297737808,1.0
1.943297,-1.0802345,-3.637083326,3.902830214,5.443102551,1.0
1.953334,-2.12918128,-4.251650834,5.362116609,7.166745584,1.0
1.963371,-2.363538561,-3.909734899,5.245838878,6.956375999,1.0
1.973408,-1.922524161,-3.070491638,4.049118487,5.433173894,1.0
1.983446,-0.905046072,-2.323715075,3.042128256,3.93361214,1.0
1.993483,-0.3836011742,-2.127252722,2.777117532,3.519195333,1.0
2.00352,-0.1745114668,-2.361207422,2.992790912,3.816091218,1.0
2.013557,0.4195008856,-2.537552429,3.22260169,4.123143822,1.0
2.023594,0.5794093698,-1.868174291,3.459951868,3.974551211,1.0
2.033632,0.4568723412,-0.7677897012,2.943869598,3.076459259,1.0
2.043669,0.2262730663,-0.09540492475,1.201905702,1.226735064,1.0
2.053706,0.02708649561,0.3373744029,-1.148903031,1.19772006,1.0
2.063743,-0.08269059286,-0.1503073561,-3.475353434,3.479584965,1.0
2.073781,-1.051427461,-3.660772151,-2.774283972,4.712048812,1.0
2.083818,-2.506402557,-6.622333669,-0.385847309,7.091278809,1.0
2.093855,-2.918627168,-6.391245859,-1.107481356,7.112870246,1.0
2.103892,-3.553082811,-5.622382609,-2.522578295,7.113296347,1.0
2.11393,-4.230700845,-4.808257232,-2.560391654,6.897374332,1.0
2.123967,-4.696166108,-3.965678719,-1.761682461,6.39406826,1.0
2.134004,-4.751181976,-3.313625296,-1.116221774,5.899135006,1.0
2.144041,-3.946662989,-2.954975215,-0.5826045808,4.964620365,1.0
2.154078,-2.281253911,-1.983580202,-0.6638023795,3.095051441,1.0
2.164116,-1.457242208,-0.9888144529,-2.427422754,2.998948166,1.0
2.174153,-0.6338025087,-0.7712728876,-2.194542188,2.410929883,1.0
2.18419,0.7203301907,-0.8535098827,-2.779994655,2.995951432,1.0
2.194227,1.443854131,-1.102974322,-2.724449907,3.274735776,1.0
2.204265,2.312348965,-0.9842448539,-3.434723179,4.25593926,1.0
2.214302,3.10227067,-0.9725714725,-4.069329388,5.208591004,1.0
2.224339,3.696110968,-0.6480767316,-3.166338612,4.909881866,1.0
2.234376,3.217597935,-0.1240966272,-3.299308681,4.610181582,1.0
2.244414,2.182618984,0.5428701192,-4.984132708,5.468099528,1.0
2.254451,0.9351196177,2.104072605,-5.441424733,5.908525481,1.0
2.264488,-0.1966469787,3.873554083,-5.097822461,6.405535505,1.0
2.274525,-1.227104424,5.08154966,-5.321895951,7.459926858,1.0
2.284562,-1.813654414,6.108070468,-5.74217744,8.577322946,1.0
2.2946,-2.053865927,6.816173546,-5.985366647,9.300709702,1.0
2.304637,-2.201704442,7.184169817,-6.214438337,9.750848284,1.0
2.314674,-1.872440274,7.454966068,-6.320279957,9.951305964,1.0
2.324711,-1.55660409,7.298365354,-6.330148888,9.785700694,1.0
2.334749,-1.127774848,6.977906361,-6.247919494,9.433957351,1.0
2.344786,-0.7010928512,6.524368833,-5.645720601,8.656389603,1.0
2.354823,-0.5426504101,6.435398769,-4.51457381,7.879733718,1.0
2.36486,-0.6005917856,6.604536499,-3.456389744,7.478451907,1.0
2.374898,0.1275283581,6.793910857,-2.681294532,7.304986556,1.0
2.384935,0.934808692,6.398851917,-1.619374388,6.666449322,1.0
2.394972,1.855358803,5.125588549,0.277755315,5.458128093,1.0
2.405009,2.255479677,3.46948166,1.696927764,4.472589339,1.0
2.415046,1.096646465,0.8895655686,3.668519127,3.930902308,1.0
2.425084,0.5710890743,-2.524245921,8.145416987,8.546682286,1.0
2.435121,1.316174183,-7.021911337,12.64155043,14.52061812,1.0
2.445158,2.81671897,-12.41863586,13.42979603,18.50718358,1.0
2.455195,3.851592818,-17.56137079,9.201744561,20.19674761,1.0
2.465233,3.285520654,-16.72099024,3.859674547,17.47235669,1.0
2.47527,2.309592003,-9.391112487,3.151466219,10.17147719,1.0
2.485307,0.9280979888,-1.954658119,4.037204785,4.58051053,1.0
2.495344,-1.584560359,3.786568564,5.065178041,6.519582932,1.0
2.505381333,-4.799395485,7.582385668,5.496271031,10.52310623,1.0
2.515418333,-6.098334854,7.100150006,3.256780712,9.910017089,0.0
2.525455333,-5.47927376,3.855658679,-2.045379424,7.005149661,0.0
2.535492333,-4.460570388,1.5997409,-6.776599005,8.269108368,0.0
