"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.005425002E-2,1.448196565E0,-6.833453822E-1,3.252999026E0,3.625773967E0
3.009024996E-2,-9.058317185E-1,3.403126287E0,2.826753377E0,4.515787227E0
4.012725002E-2,-2.049594389E0,-8.095668876E-1,1.837943602E-1,2.211338073E0
5.016424996E-2,-1.074426680E0,-8.198940645E0,-7.038998070E-1,8.298945435E0
6.020125002E-2,-3.485748176E-1,-9.363413642E0,1.658479397E0,9.515543776E0
7.023724995E-2,7.344862998E-2,-1.024737875E1,2.462151707E0,1.053927687E1
8.027425001E-2,1.123011780E0,-9.557087458E0,2.478398488E0,9.936877538E0
9.031124995E-2,1.386544693E0,-4.535693952E0,2.048287829E0,5.166285788E0
1.003482500E-1,1.438338452E0,1.692879444E0,2.433046314E0,3.294597499E0
1.103842499E-1,1.092625773E0,3.058731133E0,3.615417930E0,4.860135187E0
1.204212500E-1,9.404459926E-1,3.459013390E0,5.426900250E0,6.503880274E0
1.304582499E-1,1.823685605E0,3.747001625E0,5.779749309E0,7.125401914E0
1.404952500E-1,2.247805060E0,3.481825717E0,4.385683050E0,6.034066102E0
1.505312499E-1,1.460298547E0,2.376895502E0,3.810940051E0,4.722855931E0
1.605682500E-1,2.002785382E-1,1.732960938E0,3.180007356E0,3.627080353E0
1.706052499E-1,-7.985298295E-1,1.463021888E0,1.648787345E0,2.344479183E0
1.806422500E-1,-2.054427552E0,1.555296798E0,8.789733374E-1,2.722538305E0
1.906782499E-1,-3.221920782E0,1.780152061E0,5.081736186E-1,3.715905719E0
2.007152500E-1,-3.849380524E0,2.287908481E0,6.057072222E-2,4.478384133E0
2.107522499E-1,-3.917912815E0,3.051189394E0,-6.468189955E-1,5.007811134E0
2.207892500E-1,-3.496328566E0,3.649943107E0,-1.239731340E0,5.204164863E0
2.308252499E-1,-2.462139135E0,3.670833455E0,-8.250476834E-1,4.496426476E0
2.408622500E-1,-1.223908117E0,3.644836149E0,-4.392296836E-1,3.869845520E0
2.508992499E-1,-9.078328550E-2,3.250422742E0,-3.881589326E-1,3.274775865E0
2.609362500E-1,1.122777891E0,3.234742849E0,-4.549303347E-1,3.454150127E0
2.709722499E-1,3.744233260E0,2.865788804E0,4.212035363E0,6.322441781E0
2.810092500E-1,6.599313766E0,2.109678916E0,5.847686938E0,9.066263278E0
2.910462499E-1,4.193993195E0,-2.424887109E-1,2.322918684E0,4.800451115E0
3.010832500E-1,5.185388609E0,-2.106061828E0,-2.254584468E0,6.033813269E0
3.111192500E-1,5.988482044E0,-2.757007204E0,-5.975233423E0,8.897551369E0
3.211562500E-1,4.792541671E0,-3.235674310E0,-8.337257116E0,1.014632446E1
3.311932500E-1,2.066816194E0,-4.072390990E0,-8.933614640E0,1.003322322E1
3.412302500E-1,-1.481462837E0,-4.387645376E0,-6.549154011E0,8.021071147E0
3.512662500E-1,-2.789681445E0,-3.646616042E0,-3.531829059E0,5.792576941E0
3.613032500E-1,-2.476223908E0,-1.962389892E0,-2.032425503E0,3.756782181E0
3.713402500E-1,-1.230613485E0,-8.909706545E-1,-1.921984755E0,2.449951766E0
3.813772500E-1,9.935009231E-1,-1.083929356E0,-2.152308334E0,2.606602788E0
3.914132500E-1,2.253315476E0,-1.783701906E0,-2.025169839E0,3.515726952E0
4.014502499E-1,1.244315557E0,-2.425461305E0,-3.620166162E-1,2.749952687E0
4.114872500E-1,-5.110780037E-1,-3.013483624E0,1.501775772E0,3.405527088E0
4.215242499E-1,-1.603357695E0,-3.801715776E0,2.112839628E0,4.635503212E0
4.315602500E-1,-2.074792381E0,-5.530329309E0,2.421466926E0,6.383792584E0
4.415972499E-1,-2.337433813E0,-7.052690495E0,3.673763202E0,8.288581068E0
4.516342500E-1,-2.390141492E0,-5.696507762E0,5.530231075E0,8.291346862E0
4.616712499E-1,-2.469017799E0,-1.994003448E0,5.195524757E0,6.088150470E0
4.717072500E-1,-1.837124407E0,2.898786396E-1,3.537999626E0,3.997061053E0
4.817442499E-1,-1.465642025E0,1.383384565E0,2.920526051E0,3.548426668E0
4.917812500E-1,-7.566120176E-1,1.419601049E0,2.555353693E0,3.019529993E0
5.018182499E-1,-3.449411385E-1,8.235867566E-1,2.048013156E0,2.234197266E0
5.118542500E-1,-5.020600623E-1,5.701672608E-1,1.364977676E0,1.562152063E0
5.218912499E-1,-8.876181534E-1,-2.827391893E-1,8.727603784E-1,1.276525798E0
5.319282500E-1,-1.361926161E0,-1.802197818E0,3.802703078E-1,2.290712848E0
5.419652499E-1,-1.420745934E0,-3.407423406E0,1.454554097E-1,3.694619135E0
5.520012500E-1,-1.229271549E0,-4.144753207E0,-5.571988674E-1,4.358962980E0
5.620382499E-1,-1.780841155E0,-3.316592758E0,-8.834509890E-1,3.866738729E0
5.720752500E-1,-2.835896083E0,-1.168917466E0,-8.993087109E-1,3.196471616E0
5.821122499E-1,-3.237049868E0,3.765349603E-1,-1.090227319E0,3.436403066E0
5.921482500E-1,-3.309424364E0,9.867924857E-1,-1.435520679E0,3.739888856E0
6.021852500E-1,-3.340996405E0,1.474169605E0,-1.845578896E0,4.091649357E0
6.122222500E-1,-3.082002466E0,1.661518487E0,-2.116645288E0,4.091401980E0
6.222592500E-1,-2.537914080E0,1.708392692E0,-2.209722437E0,3.773921927E0
6.322952500E-1,-1.901539527E0,2.018401541E0,-1.923892994E0,3.375079496E0
6.423322500E-1,-1.425343308E0,2.198168923E0,-1.388207349E0,2.964906373E0
6.523692500E-1,-9.945498405E-1,2.363274413E0,-1.182474162E0,2.823551041E0
6.624052500E-1,-2.876393753E-1,2.545468390E0,-1.129216626E0,2.799513515E0
6.724422500E-1,3.432223129E-1,2.498877191E0,-1.196644378E0,2.791799874E0
6.824792500E-1,7.519403847E-1,2.115334927E0,-1.639558100E0,2.779965280E0
6.925162500E-1,1.734127457E0,2.171825463E0,-2.179822115E0,3.532088381E0
7.025522500E-1,2.758818379E0,2.308025826E0,-2.781842083E0,4.547164769E0
7.125892499E-1,2.899558228E0,2.249643717E0,-2.607142482E0,4.501724857E0
7.226262500E-1,2.608637615E0,2.279109591E0,-1.152666080E0,3.650749214E0
7.326632499E-1,2.097460720E0,2.119568312E0,9.987523806E-1,3.144744444E0
7.426992500E-1,1.236499292E0,1.921361734E0,3.098563535E0,3.849890569E0
7.527362499E-1,6.933422206E-1,1.644710666E0,4.267407034E0,4.625641512E0
7.627732500E-1,5.680594857E-1,1.478173193E0,4.504328903E0,4.774585473E0
7.728102499E-1,2.446412171E-1,9.308369708E-1,4.349141461E0,4.454361709E0
7.828462500E-1,5.588917094E-1,3.992174792E-1,3.671095995E0,3.734793213E0
7.928832499E-1,1.446527478E0,1.031595021E-1,2.559547316E0,2.941830398E0
8.029202500E-1,1.973970303E0,1.328019619E-2,9.078574133E-1,2.172772469E0
8.129572499E-1,1.645418179E0,2.129070622E-1,-2.841090457E-1,1.683284988E0
8.229932500E-1,2.158142101E0,1.087741156E0,-7.256054755E-1,2.523343309E0
8.330302499E-1,2.762725488E0,2.170616258E0,-9.853844762E-1,3.649001183E0
8.430672500E-1,2.503126655E0,2.453284696E0,-3.734037763E0,5.121258328E0
8.531042499E-1,1.029098114E0,2.110510975E0,-5.020121151E0,5.542103921E0
8.631402500E-1,3.456742697E-1,2.339142369E0,-4.034071262E0,4.675982107E0
8.731772499E-1,-1.625231252E0,1.726643021E0,-3.346090207E0,4.101096490E0
8.832142500E-1,-3.713963394E0,5.943911058E-1,-4.534794651E0,5.891620100E0
8.932512499E-1,-4.796668636E0,-6.920413613E-1,-6.186319662E0,7.858594162E0
9.032872500E-1,-3.595358765E0,-2.205639326E0,-6.040906425E0,7.367767635E0
9.133242500E-1,-1.405220992E0,-3.042463594E0,-4.724256717E0,5.792221705E0
9.233612500E-1,4.387659994E-1,-2.776574911E0,-3.603579365E0,4.570302843E0
9.333982500E-1,2.341058794E0,-1.646030967E0,-3.987818617E0,4.908428622E0
9.434342500E-1,2.309711286E0,-5.126903003E-1,-4.377496364E0,4.975951365E0
9.534712500E-1,3.499840111E0,1.229751313E-1,-3.539427223E0,4.979111242E0
9.635082500E-1,5.214888396E0,5.314429057E-1,-3.728674697E0,6.432768264E0
9.735452500E-1,5.192064375E0,6.288855851E-1,-4.630631100E0,6.985397192E0
9.835812500E-1,4.535031755E0,5.328029680E-1,-3.943080400E0,6.033098297E0
9.936182500E-1,4.245322393E0,2.021476007E-1,-2.128344398E0,4.753259486E0
1.003655292E0,3.526423600E0,-4.247768283E-1,-3.762226824E-1,3.571784186E0
1.013691292E0,2.344115426E0,-1.501058026E0,1.411973941E-1,2.787111234E0
1.023728292E0,1.345612137E0,-2.476273025E0,7.364802003E-1,2.912902882E0
1.033765292E0,4.927681605E-2,-3.182189829E0,1.423194748E0,3.486293677E0
1.043802292E0,-1.490708162E0,-3.449451438E0,2.012689980E0,4.262844943E0
1.053838292E0,-3.177816696E0,-3.348233212E0,2.395987684E0,5.200955833E0
1.063875292E0,-4.870869218E0,-3.512048221E0,2.629011068E0,6.555268784E0
1.073912292E0,-6.198249736E0,-3.978337941E0,2.484255059E0,7.772837047E0
1.083949292E0,-8.055336537E0,-4.835340366E0,2.088133242E0,9.624409780E0
1.093985292E0,-9.683187926E0,-5.967739631E0,1.800360184E0,1.151604713E1
1.104022292E0,-7.965995175E0,-6.944194824E0,5.153152616E-1,1.058038141E1
1.114059292E0,-3.431976157E0,-6.503742780E0,-1.156172144E0,7.444048933E0
1.124096292E0,-3.830520110E-2,-6.362893295E0,6.968685302E-1,6.401054923E0
1.134132292E0,1.878859055E0,-5.936892645E0,1.754015007E0,6.469418387E0
1.144169292E0,4.353467816E0,-4.312175948E0,1.870155913E0,6.406639257E0
1.154206292E0,7.667195438E0,-2.316296128E0,3.575622950E0,8.771327899E0
1.164243292E0,8.390404798E0,-1.379372790E0,5.577602878E0,1.016913053E1
1.174279292E0,8.206512204E0,4.865561700E-1,8.542225413E0,1.185551325E1
1.184316292E0,6.949166712E0,2.421383457E0,1.013158283E1,1.252209992E1
1.194353292E0,4.155510330E0,2.995788780E0,9.992299812E0,1.122893904E1
1.204390292E0,2.308841220E0,3.794760513E0,8.666628435E0,9.738655120E0
1.214426292E0,1.963043319E0,4.375110700E0,5.288583194E0,7.138924632E0
1.224463292E0,6.512585671E-1,3.557959973E0,-1.111929917E-1,3.618781670E0
1.234500292E0,-7.591519019E-1,3.617016851E0,-5.043097200E0,6.252355707E0
1.244537292E0,-2.069554883E0,3.924910762E0,-7.857191355E0,9.023493664E0
1.254573292E0,-3.859158530E0,3.824739772E0,-5.909342319E0,8.027581549E0
1.264610292E0,-5.039660207E0,4.266983403E0,-2.891558360E0,7.208774661E0
1.274647292E0,-5.673493121E0,4.050902472E0,-9.086628672E-1,7.030220711E0
1.284683292E0,-5.008888650E0,3.178365750E0,5.467962322E-1,5.957345085E0
1.294720292E0,-3.958816719E0,2.166571155E0,2.480732696E0,5.149785927E0
1.304757292E0,-3.009226266E0,1.564914883E0,4.117270124E0,5.334446043E0
1.314794292E0,-2.321665626E0,1.629117896E0,4.808094680E0,5.582287242E0
1.324830292E0,-2.032526075E0,2.108791893E0,4.354928158E0,5.248196333E0
1.334867292E0,-1.737265365E0,2.443422782E0,3.517121265E0,4.621530897E0
1.344904292E0,-1.719226120E0,2.569479396E0,2.559220164E0,4.013423809E0
1.354941292E0,-1.622837986E0,2.891841073E0,1.202806466E0,3.527476622E0
1.364977292E0,-8.531474284E-1,3.674273372E0,-5.932541147E-1,3.818389162E0
1.375014292E0,1.189445505E0,3.982889414E0,-2.464257874E0,4.832261951E0
1.385051292E0,1.150367393E0,2.958625631E0,-3.419217533E0,4.665603852E0
1.395088292E0,-8.865577608E-1,9.793559968E-1,-8.181427065E-1,1.553859813E0
1.405124292E0,6.571551186E-1,1.598099586E0,9.399942952E-1,1.967070007E0
1.415161292E0,5.630845869E0,2.812486171E0,-1.223478420E0,6.411973417E0
1.425198292E0,9.161201137E0,-3.758490819E-1,-4.117056408E0,1.005082197E1
1.435235292E0,1.017720047E1,-2.111303857E0,-4.031774183E0,1.114846251E1
1.445271292E0,7.795392718E0,-3.700664195E0,-2.491701488E0,8.981739220E0
1.455308292E0,4.643165776E0,-5.207781106E0,-1.231118099E0,7.084887031E0
1.465345292E0,1.616776470E0,-5.491969820E0,-5.978164047E-2,5.725318550E0
1.475381292E0,-1.095354815E0,-5.038700679E0,9.608176920E-1,5.245138448E0
1.485418292E0,-8.509550880E-1,-3.161417010E0,-1.497398546E0,3.600122843E0
1.495455292E0,1.411368316E0,-1.748257254E0,-5.185007955E0,5.650900056E0
1.505492292E0,3.335440966E0,-9.476646727E-1,-7.587143548E0,8.341941140E0
1.515528292E0,3.477921824E0,-8.565714848E-1,-6.517451577E0,7.436856189E0
1.525565292E0,2.048259178E0,-1.478829251E0,-1.230195409E0,2.809925685E0
1.535602292E0,-6.428781914E-1,-3.380694614E0,3.877892132E0,5.184634590E0
1.545639292E0,-2.065495892E0,-4.953754669E0,5.773340760E0,7.882729358E0
1.555675292E0,-1.803247832E0,-5.102582679E0,5.505442389E0,7.719970767E0
1.565712292E0,-1.264795430E0,-3.850151771E0,3.329349629E0,5.244801721E0
1.575749292E0,-5.729019304E-1,-2.280350370E0,1.434073054E0,2.754047922E0
1.585786292E0,3.210248570E-1,-1.004205494E0,4.766059631E-1,1.156995625E0
1.595822292E0,-1.132919960E-2,-8.291878045E-2,6.552916110E-1,6.606140858E-1
1.605859292E0,-4.837072603E-1,8.686389685E-2,1.884571638E0,1.947595520E0
1.615896292E0,-9.459681762E-1,-6.547045505E-1,2.889784023E0,3.110360998E0
1.625932292E0,-2.020940548E0,-2.425536150E0,3.327938988E0,4.587221841E0
1.635969292E0,-2.536076885E0,-4.094633213E0,3.040749483E0,5.695951592E0
1.646006292E0,-2.660545687E0,-5.100246132E0,2.212473259E0,6.163282557E0
1.656043292E0,-2.556289832E0,-4.684385138E0,1.417226057E0,5.521468240E0
1.666079292E0,-2.612341534E0,-3.084461805E0,9.221173105E-1,4.145905601E0
1.676116292E0,-3.010105395E0,-1.348023528E0,7.606713009E-1,3.384748551E0
1.686153292E0,-3.075062991E0,2.425664788E-1,2.672259414E-1,3.096168697E0
1.696190292E0,-3.234912126E0,1.315722924E0,-3.665688197E-1,3.511432183E0
1.706226292E0,-3.001254465E0,1.801413122E0,-1.180728257E-1,3.502364742E0
1.716263292E0,-2.804324042E0,2.154593133E0,-7.192659974E-2,3.537185087E0
1.726300292E0,-2.682770661E0,1.872528128E0,-6.370247631E-1,3.333079741E0
1.736337292E0,-2.557230649E0,1.330940888E0,-5.277018571E-1,2.930751011E0
1.746373292E0,-2.925163770E0,6.162456590E-1,-6.620392978E-1,3.061803035E0
1.756410292E0,-3.045394219E0,-2.174170196E-2,5.207974648E-1,3.089680994E0
1.766447292E0,-2.512911093E0,1.089903456E-1,2.110559360E0,3.283452736E0
1.776483292E0,-2.061442603E0,9.811008060E-1,1.732280760E0,2.865815944E0
1.786520292E0,-1.339936098E0,1.401491053E0,1.577017450E0,2.499317899E0
1.796557292E0,-1.943349896E-1,1.464890074E0,1.465820804E0,2.081417701E0
1.806594292E0,8.054552718E-1,1.743566617E0,6.205392694E-1,2.018378490E0
1.816630292E0,1.796668983E0,2.626393855E0,-7.760927474E-1,3.275405939E0
1.826667292E0,2.446732453E0,2.581742177E0,-1.744144907E0,3.961556994E0
1.836704292E0,2.918825389E0,2.472311536E0,-1.628324283E0,4.157319563E0
1.846741292E0,2.724048788E0,2.628201814E0,-1.856651183E0,4.216045563E0
1.856777292E0,2.058859887E0,2.837709889E0,-2.017387633E0,4.044917096E0
1.866814292E0,1.426266875E0,2.579561166E0,-2.099738649E0,3.619015806E0
1.876851292E0,8.520883515E-1,2.172253479E0,-1.509638815E0,2.779163379E0
1.886888292E0,1.955796609E-1,1.536472857E0,-3.260261267E-3,1.548874066E0
1.896924292E0,-3.787990753E-1,9.319239682E-1,1.872195421E0,2.125343906E0
1.906961292E0,-1.358384064E0,2.223526543E-1,3.337591864E0,3.610286335E0
