"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
-1.901958254E-3,1.095708338E1,-3.093569545E1,3.412222216E0,3.299572987E1
8.136041695E-3,3.456678012E-1,-2.667305887E1,9.311258233E-1,2.669154456E1
1.817404164E-2,-9.795877220E0,-1.028762396E1,-6.164298463E-1,1.421880456E1
2.821204171E-2,-1.008073661E1,-4.338975492E0,-2.251034331E0,1.120335282E1
3.825004166E-2,-4.254571518E0,-3.087979490E0,-3.013561392E0,6.059583187E0
4.828804173E-2,2.079780640E0,1.648756354E0,-1.990572887E0,3.317569208E0
5.832604168E-2,1.538801803E0,4.845620940E0,-2.963244055E0,5.884621365E0
6.836504175E-2,2.546359506E0,6.973482358E0,-3.066143648E0,8.032100584E0
7.840304170E-2,3.501145795E0,8.922662221E0,-3.032125717E0,1.005314425E1
8.844104165E-2,2.864850910E0,1.080586970E1,-2.713625541E0,1.150382347E1
9.847904171E-2,2.732947958E0,8.795629706E0,-2.694914744E0,9.596596894E0
1.085170417E-1,3.095557482E0,4.652233053E0,-2.573888782E0,6.152288352E0
1.185550417E-1,2.144810888E0,3.553431889E0,-2.080979612E0,4.643012824E0
1.285930417E-1,7.956478831E-1,4.049496801E0,-1.798638910E0,4.501842048E0
1.386310417E-1,2.900608169E-2,4.745654018E0,-1.912291826E0,5.116535296E0
1.486690417E-1,-6.487254070E-1,5.048773093E0,-1.926781226E0,5.442741982E0
1.587070416E-1,-1.123013899E0,5.292726531E0,-1.451550236E0,5.601884722E0
1.687462917E-1,-9.010904306E-1,5.459860420E0,-9.384500456E-1,5.612729127E0
1.787842917E-1,-9.467924874E-1,5.428636288E0,-5.655713493E-1,5.539528763E0
1.888222917E-1,-1.094967291E0,5.461702877E0,1.883239058E-1,5.573564172E0
1.988602917E-1,-1.090484158E0,5.632488937E0,9.518846083E-1,5.815511296E0
2.088982917E-1,-1.311658817E0,4.729343795E0,1.253796525E0,5.065485891E0
2.189362916E-1,-1.700725530E0,2.839101527E0,1.168044184E0,3.509599981E0
2.289742917E-1,-2.094593099E0,9.298949844E-1,6.147633898E-1,2.372753455E0
2.390122917E-1,-2.374495220E0,-1.302974825E0,7.790508538E-1,2.818313534E0
2.490502917E-1,-2.900088863E0,-3.681738512E0,2.135661018E0,5.150413757E0
2.590882917E-1,-2.978064115E0,-5.628581827E0,2.083526367E0,6.700065774E0
2.691262917E-1,-4.015280650E0,-7.654799926E0,1.839747175E0,8.837596408E0
2.791652917E-1,-4.503908781E0,-7.892469361E0,2.995142370E0,9.568027213E0
2.892032916E-1,-3.703166803E0,-6.111125638E0,3.558957216E0,7.982823899E0
2.992412917E-1,-2.981843171E0,-3.772272121E0,4.190975447E0,6.378534381E0
3.092792917E-1,-2.524166106E0,-1.453952272E0,4.280090814E0,5.177312924E0
3.193172917E-1,-2.297404944E0,1.069419490E0,3.791191372E0,4.560138106E0
3.293552917E-1,-1.674920890E0,3.411931610E0,2.921069258E0,4.793671130E0
3.393932917E-1,-1.011160391E0,5.328949447E0,2.327247671E0,5.902222401E0
3.494312917E-1,9.841430392E-1,5.159618175E0,2.654205844E0,5.885151306E0
3.594692916E-1,3.500912198E0,1.589725204E0,-8.980624500E-1,3.948433691E0
3.695072917E-1,5.291868160E0,-2.742478042E0,-4.170561647E0,7.274519839E0
3.795462917E-1,7.914612182E0,-5.762954936E0,-4.290022017E0,1.068910775E1
3.895842917E-1,1.212593009E1,-8.167401933E0,-2.643738450E0,1.485711910E1
3.996222917E-1,1.292644432E1,-1.144529314E1,2.262688855E0,1.741285326E1
4.096602917E-1,6.299308333E0,-1.076293360E1,1.801039485E0,1.260022890E1
4.196982917E-1,2.268250142E0,-4.194552773E0,-2.687496089E0,5.473743408E0
4.297362916E-1,2.257134439E0,3.147012395E-1,-2.250769891E0,3.203070065E0
4.397742917E-1,1.818077102E0,1.610522581E0,-1.900417300E0,3.083954158E0
4.498122917E-1,1.793774758E0,1.671141250E0,-5.236489180E0,5.781968514E0
4.598502917E-1,1.164285594E0,7.705700523E-1,-5.789082634E0,5.955066490E0
4.698882917E-1,-2.621233687E-1,1.678957808E-1,-4.923529826E0,4.933360275E0
4.799262917E-1,-1.013962012E0,-3.266237122E-1,-4.660497508E0,4.780694409E0
4.899652917E-1,-1.163225786E0,-7.599643725E-1,-5.327219256E0,5.505443223E0
5.000032916E-1,-1.217541888E0,-1.345965893E0,-5.929018784E0,6.200588374E0
5.100412917E-1,-1.298929283E0,-2.034553304E0,-6.311179935E0,6.757042001E0
5.200792917E-1,-1.271259235E0,-2.336826287E0,-5.841196529E0,6.418444829E0
5.301172917E-1,-5.738091990E-1,-1.549229727E0,-4.847040060E0,5.120856089E0
5.401552917E-1,5.226131715E-1,-7.356265068E-1,-3.347256142E0,3.466755625E0
5.501932917E-1,1.695207220E0,-5.154262125E-1,-9.226438522E-1,1.997664481E0
5.602312917E-1,2.830388591E0,-4.272262269E-1,1.715397802E0,3.337096259E0
5.702692916E-1,3.279673731E0,2.832800567E-1,2.369924890E0,4.056236107E0
5.803072917E-1,2.463038437E0,8.381854999E-1,1.129813042E0,2.836475063E0
5.903452917E-1,1.430716022E0,9.165118772E-1,7.515835583E-1,1.857907479E0
6.003842917E-1,6.612411529E-1,9.368350446E-1,6.319485028E-1,1.309297015E0
6.104222917E-1,-5.779712471E-1,8.868442744E-1,-8.306338209E-1,1.345546757E0
6.204602917E-1,-1.577490782E0,7.356808859E-1,-2.255065840E0,2.848688378E0
6.304982917E-1,-2.184743278E0,8.251684284E-1,-2.188070197E0,3.200258944E0
6.405362916E-1,-2.423964272E0,9.950072390E-1,-8.151755369E-1,2.744112489E0
6.505742917E-1,-2.433566423E0,1.137362967E0,4.598466736E-1,2.725307142E0
6.606122917E-1,-1.979502792E0,1.359599846E0,1.170569304E0,2.671549277E0
6.706502917E-1,-9.396490172E-1,1.489076496E0,1.621735786E0,2.393807855E0
6.806882917E-1,5.983588801E-1,2.741605638E0,2.333495311E-1,2.815827911E0
6.907262917E-1,2.047421564E0,3.265466459E0,-9.551046699E-1,3.970822482E0
7.007642917E-1,3.268689444E0,3.699287760E0,-1.404807594E0,5.132498903E0
7.108032916E-1,3.442519272E0,4.169911437E0,-1.132212739E0,5.524581976E0
7.208412917E-1,2.531674808E0,4.186611085E0,2.346920335E-1,4.898180281E0
7.308792917E-1,7.270267144E-1,2.779791464E0,2.131741630E0,3.577727044E0
7.409172917E-1,-1.653468479E0,1.368915630E0,4.853967841E0,5.307437405E0
7.509552917E-1,-3.520517328E0,-3.216354525E-1,7.678377653E0,8.453104460E0
7.609932917E-1,-4.666225148E0,-1.737832838E0,7.440961987E0,8.953303044E0
