"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.354641677E-2,-2.449698307E-1,5.949619402E-1,3.122559339E0,3.188160403E0
2.358641673E-2,-3.499406906E-1,3.475304317E-1,3.426422179E0,3.461734369E0
3.362641670E-2,-5.208695318E-1,3.111600195E-1,3.572725362E0,3.623878053E0
4.366641666E-2,-6.688192905E-1,7.029873490E-1,3.498812463E0,3.630867542E0
5.370641674E-2,-3.320632673E-1,1.013270725E0,2.976616344E0,3.161839407E0
6.374641671E-2,1.608389955E-1,1.102748473E0,2.602098089E0,2.830695646E0
7.378641667E-2,4.812275293E-1,1.271030609E0,2.633882384E0,2.963854780E0
8.382641675E-2,7.323912424E-1,1.304474490E0,2.775555741E0,3.153055708E0
9.386641672E-2,9.404310092E-1,1.029408748E0,3.117576342E0,3.415168385E0
1.039064167E-1,1.061241647E0,6.929014868E-1,3.721344627E0,3.931253253E0
1.139454168E-1,1.083753062E0,4.342615968E-1,4.430768006E0,4.582009271E0
1.239854167E-1,1.009869838E0,1.720652841E-1,4.920433141E0,5.025943279E0
1.340254167E-1,8.552893366E-1,-2.045594309E-1,5.009817188E0,5.086416486E0
1.440654168E-1,6.047513486E-1,-5.852291036E-1,4.695776684E0,4.770590735E0
1.541054167E-1,3.631376370E-1,-8.730765666E-1,4.110332987E0,4.217697109E0
1.641454167E-1,3.057126072E-1,-1.086918452E0,3.354100308E0,3.539045181E0
1.741854167E-1,4.990410718E-1,-1.332131527E0,2.439189983E0,2.823696898E0
1.842254167E-1,8.002473029E-1,-1.575583421E0,1.492339243E0,2.312992710E0
1.942654167E-1,1.035722279E0,-1.708221076E0,6.738547665E-1,2.108274206E0
2.043054167E-1,1.257045531E0,-1.728579327E0,4.320156813E-2,2.137759652E0
2.143454168E-1,1.611588382E0,-1.686969955E0,-4.300247043E-1,2.372341879E0
2.243854167E-1,2.025028482E0,-1.606183362E0,-7.379648083E-1,2.687965291E0
2.344254167E-1,2.201506952E0,-1.380656547E0,-8.061526984E-1,2.720795386E0
2.444654168E-1,2.166132906E0,-1.149299180E0,-6.958426362E-1,2.548963975E0
2.545054167E-1,1.920213633E0,-1.066505823E0,-5.653737134E-1,2.268105488E0
2.645454167E-1,1.507110333E0,-1.077806152E0,-5.473490864E-1,1.932003799E0
2.745854167E-1,1.048096449E0,-1.072523192E0,-6.814801204E-1,1.647187700E0
2.846254167E-1,6.452327920E-1,-9.906224120E-1,-9.271853846E-1,1.502441632E0
2.946654167E-1,3.040213732E-1,-8.305879202E-1,-1.320404790E0,1.589268416E0
3.047054167E-1,-7.523301747E-3,-6.314226919E-1,-1.732225943E0,1.843734778E0
3.147454167E-1,-2.511502645E-1,-3.909805065E-1,-2.147522095E0,2.197224013E0
3.247844167E-1,-4.105062599E-1,-2.123369586E-1,-2.597541354E0,2.638337252E0
3.348244167E-1,-5.448373784E-1,-4.343867272E-2,-2.920062075E0,2.970773840E0
3.448644168E-1,-5.758954490E-1,1.019055668E-1,-3.008291296E0,3.064613652E0
