"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
5.790374940E-3,1.976046795E0,-2.676293408E0,8.163272922E-1,3.425448524E0
1.582637499E-2,3.146452231E0,-2.899229615E0,1.612440906E0,4.572270736E0
2.586337505E-2,3.656214831E0,-2.775811265E0,1.694871444E0,4.893426640E0
3.589937498E-2,3.756605676E0,-2.036388745E0,1.658590786E0,4.583654517E0
4.593637504E-2,3.955534385E0,-1.065023553E0,1.346220832E0,4.311941322E0
5.597337498E-2,3.697207029E0,-8.703171194E-2,5.138774313E-2,3.698588248E0
6.600937503E-2,3.206181539E0,1.149105345E0,-1.409454961E0,3.686001417E0
7.604637498E-2,2.856042665E0,1.889342966E0,-1.456594044E0,3.721325403E0
8.608337503E-2,3.046316909E0,1.552412367E0,-8.661726860E-1,3.527078960E0
9.611937497E-2,3.174927002E0,7.674014461E-1,-5.917416593E-1,3.319521749E0
1.061560416E-1,2.952695970E0,4.262737155E-2,-7.476074517E-1,3.046169313E0
1.161920417E-1,2.401499123E0,-2.634825540E-1,-6.521914172E-1,2.502393802E0
1.262290416E-1,1.787845827E0,-4.420956963E-1,-7.386097562E-1,1.984284677E0
1.362660417E-1,1.231255509E0,1.336837220E-1,-8.818618619E-1,1.520375549E0
1.463020417E-1,4.606344397E-1,1.034000566E0,-1.079239304E0,1.564000874E0
1.563390417E-1,-4.474925302E-2,2.014195638E0,-1.012761213E0,2.254921693E0
1.663760417E-1,-2.944989632E-1,2.838696899E0,-1.278870263E0,3.127369322E0
1.764120416E-1,-7.493830318E-1,3.286556781E0,-1.570773793E0,3.718919294E0
1.864490417E-1,-1.425108396E0,3.498344686E0,-2.046684523E0,4.296308534E0
1.964860416E-1,-1.838761481E0,3.492655345E0,-2.674094270E0,4.767647776E0
2.065220417E-1,-2.071548345E0,3.257316610E0,-2.817544012E0,4.779118988E0
2.165590416E-1,-2.033160790E0,2.755707952E0,-2.335552325E0,4.145174758E0
2.265950417E-1,-2.040108744E0,2.174094182E0,-1.352431891E0,3.273805312E0
2.366320416E-1,-1.709587862E0,1.789877150E0,3.433892874E-1,2.498853152E0
2.466690417E-1,-1.200623189E0,1.267481641E0,2.472327908E0,3.026617095E0
2.567050416E-1,-6.560353768E-1,9.702337557E-1,4.778934031E0,4.920360396E0
2.667420417E-1,-2.641325816E-1,9.502836406E-1,5.772551386E0,5.856206496E0
2.767790416E-1,-6.420666710E-1,6.021790123E-1,5.305772839E0,5.378298484E0
2.868150417E-1,-1.407119144E0,2.179467773E-1,3.922739106E0,4.173172316E0
2.968520416E-1,-1.780082479E0,1.858455634E-1,2.395262775E0,2.990069559E0
3.068880417E-1,-1.599118464E0,2.856347305E-1,5.414415713E-1,1.712286785E0
3.169250416E-1,-1.606817493E0,5.662174666E-1,-8.861371998E-1,1.920339504E0
3.269620417E-1,-1.966221573E0,1.027593772E0,-2.010100833E0,2.993740402E0
3.369980417E-1,-1.075524129E0,1.281710256E0,-3.967207181E0,4.305608686E0
3.470350417E-1,-6.313908977E-1,1.440589630E0,-5.459235352E0,5.681302983E0
3.570720417E-1,-1.604234046E0,1.682750897E0,-4.396144888E0,4.973058147E0
3.671080417E-1,-1.003480732E0,1.766616341E0,-3.357240847E0,3.924152518E0
3.771450417E-1,6.487949158E-1,1.368035624E0,-3.236790544E0,3.573411442E0
3.871820417E-1,3.481898807E0,6.457624036E-1,-4.339882979E0,5.601358109E0
3.972180417E-1,5.564168900E0,-1.331182963E-1,-5.579327806E0,7.880773743E0
4.072550416E-1,4.938633184E0,-4.519991255E-1,-5.079269246E0,7.098829271E0
4.172910417E-1,1.607375025E0,-9.179333353E-1,-3.120483577E0,3.628177757E0
4.273280416E-1,-2.342964109E0,-1.882433896E0,-2.091386486E0,3.661548255E0
4.373650417E-1,-4.036930550E0,-2.638054372E0,-2.549196575E0,5.454772435E0
4.474010416E-1,-3.312860481E0,-3.056496327E0,-1.921113228E0,4.899784729E0
4.574380417E-1,-3.729792100E0,-2.893298199E0,-1.632080680E0,4.994618196E0
4.674750416E-1,-3.932692529E0,-1.457252440E0,-2.420426853E0,4.842326027E0
4.775110417E-1,-3.318075612E0,-2.527283549E-1,-4.144775426E0,5.315323200E0
4.875480416E-1,-2.511532612E0,1.455389518E-1,-4.840257289E0,5.455003967E0
4.975840417E-1,-2.170506915E0,3.231036884E-1,-3.653867759E0,4.262187919E0
5.076210416E-1,-1.963492385E0,5.331812829E-1,-2.241738281E0,3.027370996E0
5.176580417E-1,-1.676337525E0,4.462589139E-1,-1.270940269E0,2.150475222E0
5.276940416E-1,-1.388831831E0,1.429538977E-1,3.372747079E-3,1.396173717E0
5.377310417E-1,-5.864463111E-1,2.965041196E-1,1.011863008E0,1.206524229E0
5.477680416E-1,7.281145158E-1,5.730651408E-1,1.606045368E0,1.854167233E0
5.578040417E-1,1.936427816E0,5.313411641E-1,1.586626765E0,2.559191398E0
5.678410417E-1,3.196542404E0,-2.218421924E-1,1.217458200E0,3.427725451E0
5.778780417E-1,5.067214041E0,-1.262583429E0,9.016535906E-1,5.299410746E0
5.879140417E-1,5.878943814E0,-2.719846979E0,5.246367466E-1,6.498830023E0
5.979510417E-1,5.724418861E0,-4.469133343E0,-5.387975335E-2,7.262577171E0
6.079870417E-1,4.572464753E0,-6.048228893E0,-2.045027129E-1,7.584874951E0
6.180240416E-1,2.354418951E0,-6.362205078E0,-5.580816507E-2,6.784103228E0
6.280610417E-1,-1.350326016E0,-6.413437797E0,-2.471735001E-1,6.558708673E0
6.380970416E-1,-4.314734982E0,-6.030168598E0,-5.026570630E-1,7.431859485E0
6.481340417E-1,-6.279064103E0,-4.682811652E0,1.553267230E0,7.985487466E0
6.581710416E-1,-6.940895240E0,-3.200907351E0,3.804891983E0,8.538093324E0
6.682070417E-1,-5.769830092E0,-1.013706635E0,4.849756384E0,7.605174384E0
6.782440416E-1,-5.749839631E0,-1.609504580E-2,4.748619726E0,7.457231667E0
6.882800417E-1,-4.454261534E0,4.524616402E-1,5.463423128E0,7.063579803E0
6.983170416E-1,-2.680539072E0,1.206632591E0,5.641774900E0,6.361672417E0
7.083540417E-1,-1.535404571E0,1.703313800E0,5.505863389E0,5.964333722E0
7.183900416E-1,-1.581793895E-1,2.148781586E0,4.689208506E0,5.160519299E0
7.284270417E-1,1.086624264E0,2.189876402E0,3.052106530E0,3.910455884E0
7.384640416E-1,1.997716138E0,1.931940517E0,1.125165675E0,2.998209753E0
7.485000417E-1,2.738575318E0,2.157068844E0,-6.842952624E-1,3.552604788E0
7.585370416E-1,3.192711309E0,2.555041451E0,-3.378220657E0,5.304150934E0
7.685730417E-1,2.706671740E0,2.628202983E0,-5.849696041E0,6.960780603E0
7.786100417E-1,3.022219656E0,2.504758905E0,-4.107251797E0,5.681297928E0
7.886470417E-1,4.140881473E0,2.042220173E0,-2.091312227E0,5.068643748E0
7.986830417E-1,3.389143841E0,1.937843866E0,-4.192754754E-1,3.926490385E0
8.087200416E-1,3.093092296E0,1.802635190E0,1.543985652E0,3.898795361E0
8.187570417E-1,2.643159284E0,1.753177101E0,3.294028938E0,4.572805221E0
8.287930416E-1,2.130790873E0,1.934368281E0,4.309116977E0,5.181750622E0
8.388300417E-1,1.431542379E0,2.132480718E0,4.315907933E0,5.022335003E0
8.488670416E-1,8.306085317E-1,2.451238756E0,4.007553262E0,4.770635714E0
8.589030417E-1,3.302258894E-1,2.726757803E0,3.590783611E0,4.520838882E0
8.689400416E-1,2.427340016E-2,3.049741039E0,2.583951547E0,3.997288481E0
8.789760417E-1,3.498374507E-2,3.704446759E0,9.040780655E-1,3.813332768E0
8.890130416E-1,-6.198487133E-3,4.744652975E0,-1.857744320E0,5.095388526E0
8.990500417E-1,1.991117994E-1,4.081037267E0,-3.005719399E0,5.072362348E0
9.090860416E-1,2.568374857E-1,3.682706226E0,-3.013420182E0,4.765395244E0
9.191230417E-1,-2.228738167E0,4.537636982E0,2.156391152E0,5.496130093E0
9.291600416E-1,-6.823894209E0,1.823112724E0,2.451974920E0,7.476727439E0
9.391960417E-1,-8.698401620E0,-1.313477594E0,5.546142519E-1,8.814477358E0
9.492330416E-1,-7.144584167E0,-3.848889942E0,-1.319103785E0,8.221865451E0
9.592690417E-1,-4.927068561E0,-4.691460269E0,-3.824968106E0,7.804882131E0
9.693060416E-1,-1.867025021E0,-5.164885347E0,-4.821935332E0,7.308411826E0
9.793430417E-1,1.409373831E0,-5.209952177E0,-4.269851170E0,6.881973939E0
9.893790417E-1,2.458945971E0,-4.095614961E0,-2.586069994E0,5.432148305E0
9.994160417E-1,5.997699594E-1,-2.565102171E0,-1.110291235E0,2.858709460E0
1.009453042E0,-1.599169334E0,-1.714155707E0,-9.780792573E-1,2.540140032E0
1.019489042E0,-2.302532075E0,-2.460096118E0,-1.052691776E0,3.530139776E0
1.029526042E0,-2.016926727E0,-2.934989432E0,-1.245921203E0,3.772860457E0
1.039562042E0,-4.792841341E-1,-2.647635620E0,-1.739432928E0,3.203952960E0
1.049599042E0,1.504023441E0,-3.547285296E0,-1.183307171E0,4.030575064E0
1.059636042E0,2.438399293E0,-3.864477450E0,-3.157016981E-1,4.580354204E0
1.069672042E0,1.849373885E0,-2.872526550E0,4.006268044E-1,3.439781154E0
1.079709042E0,5.824619088E-1,-1.825912371E0,1.254997251E0,2.290902870E0
1.089746042E0,1.454132366E-1,-1.199368011E0,2.165785581E0,2.479970931E0
1.099782042E0,7.006869082E-1,-8.102153438E-1,2.907851627E0,3.098872719E0
1.109819042E0,8.463730636E-1,-8.751644611E-1,3.013359078E0,3.250014328E0
1.119855042E0,3.569296847E-1,-1.885822942E0,2.519507337E0,3.167277094E0
1.129892042E0,-2.231626399E-1,-3.355747468E0,1.964759330E0,3.895012434E0
1.139929042E0,-6.527795009E-1,-4.496107133E0,2.170618305E0,5.035144909E0
1.149965042E0,-7.123924492E-1,-4.798467824E0,2.555879942E0,5.483185091E0
1.160002042E0,-5.827858445E-1,-4.194965587E0,2.536835561E0,4.936892775E0
1.170039042E0,-3.460867542E-1,-2.969441811E0,1.991083495E0,3.591903979E0
1.180075042E0,5.512140960E-2,-1.449372733E0,1.114558825E0,1.829196836E0
1.190112042E0,1.205518843E0,3.033079398E-1,5.224802935E-1,1.348427619E0
1.200148042E0,1.992063050E0,1.619252474E0,-4.986154675E-1,2.615131192E0
1.210185042E0,2.996216796E0,2.020582552E0,-9.824867423E-1,3.745043276E0
1.220222042E0,4.073994881E0,1.543257966E0,2.520828223E-1,4.363785649E0
1.230258042E0,4.744953521E0,9.757266301E-1,1.320697736E0,5.021042610E0
1.240295042E0,5.502283139E0,8.819981021E-1,1.242415359E0,5.709346400E0
1.250332042E0,5.576387826E0,6.244200665E-1,1.089816917E0,5.716091542E0
1.260368042E0,4.825456232E0,5.099087799E-1,6.804216282E-1,4.899796772E0
1.270405042E0,3.523333347E0,6.739465678E-1,5.362129180E-1,3.627065776E0
1.280441042E0,2.576630541E0,1.274287800E0,-1.213494591E-1,2.877074909E0
1.290478042E0,1.751070934E0,1.912489169E0,-1.406780591E0,2.950067096E0
1.300515042E0,3.488568726E-1,2.308681884E0,-2.807148832E0,3.651273439E0
1.310551042E0,-6.321699661E-1,2.676603895E0,-3.135123836E0,4.170473444E0
1.320588042E0,-1.113589796E0,2.887764394E0,-2.684835606E0,4.097268317E0
1.330625042E0,-1.107178470E0,2.932084535E0,-1.920797478E0,3.675925303E0
1.340661042E0,-1.177615199E0,2.798455192E0,-1.748982893E0,3.503865034E0
1.350698042E0,-1.463299923E0,2.641963820E0,-2.233856235E0,3.756505447E0
1.360734042E0,-1.650304697E0,2.577470201E0,-2.140682023E0,3.734886578E0
1.370771042E0,-1.877962530E0,2.556914899E0,-9.700600934E-1,3.317464944E0
1.380808042E0,-1.795921125E0,2.187980735E0,-9.371771067E-3,2.830667803E0
1.390844042E0,-1.337945560E0,1.648211394E0,1.371905311E0,2.527612174E0
1.400881042E0,-9.101696947E-1,1.254775642E0,2.818908752E0,3.217004404E0
1.410918042E0,-4.028048191E-1,9.456696028E-1,3.487815020E0,3.636123806E0
1.420954042E0,-4.303470321E-2,6.268776512E-1,3.708058584E0,3.760920903E0
1.430991042E0,3.713964272E-1,3.554352826E-1,3.864671577E0,3.898712088E0
1.441027042E0,4.660536392E-1,1.821799439E-1,3.735553361E0,3.768919532E0
1.451064042E0,1.665375457E-1,3.053088570E-1,2.574700960E0,2.598082617E0
1.461101042E0,-2.605919098E-1,7.097584248E-1,8.031992698E-1,1.103083964E0
1.471137042E0,-7.320275456E-2,1.169034995E0,-8.246596476E-1,1.432503053E0
1.481174042E0,3.685166004E-1,1.446834456E0,-2.769958202E0,3.146713026E0
1.491211042E0,6.885546666E-1,1.749239586E0,-4.083805339E0,4.495710479E0
1.501247042E0,1.096970108E0,2.224567932E0,-4.350737751E0,5.008089943E0
1.511284042E0,1.289669193E0,1.793781336E0,-5.606681081E0,6.026256786E0
1.521320042E0,2.413991700E0,1.201108727E0,-5.780136395E0,6.378087083E0
1.531357042E0,4.902045694E0,1.004545802E0,-5.522336165E0,7.452205108E0
1.541394042E0,5.647872376E0,-7.083667874E-2,-5.368747351E0,7.792748446E0
1.551430042E0,3.147108581E0,-1.111739883E0,-2.996873438E0,4.485700435E0
1.561467042E0,2.090526507E-1,-1.988467889E0,-6.674877334E-1,2.107901191E0
1.571504042E0,-7.227877023E-1,-3.193383738E0,-7.697473490E-1,3.363425745E0
1.581540042E0,-7.595552136E-1,-4.081793312E0,-1.719018252E0,4.493660481E0
1.591577042E0,-1.445784004E0,-4.185508300E0,-2.406092988E0,5.039648260E0
1.601613042E0,-2.935265128E0,-3.325246637E0,-2.979068667E0,5.343023179E0
1.611650042E0,-3.919495071E0,-1.774142293E0,-3.985659825E0,5.864768258E0
1.621687042E0,-3.162306957E0,-2.310386932E-1,-4.883014469E0,5.822146895E0
1.631723042E0,-2.346649902E0,7.167920405E-1,-4.499955186E0,5.125441763E0
1.641760042E0,-2.048879567E0,1.034158441E0,-3.360778413E0,4.069671080E0
1.651796042E0,-2.263676450E0,7.961633152E-1,-2.175958275E0,3.239274843E0
1.661833042E0,-2.047919747E0,2.170913297E-1,-1.138718424E0,2.353249580E0
1.671870042E0,-1.632430782E0,-3.508206600E-1,-5.040884614E-2,1.670462944E0
1.681906042E0,-8.715098783E-1,-5.333175230E-1,1.102894800E0,1.503440716E0
1.691943042E0,9.167105363E-1,-2.925671893E-1,1.764038304E0,2.009424023E0
1.701980042E0,2.650350774E0,-1.460219318E-1,2.206149788E0,3.451489319E0
1.712016042E0,4.346560500E0,-2.124357766E-1,2.589385657E0,5.063855766E0
1.722053042E0,6.113780859E0,-4.312017488E-1,1.803220496E0,6.388728785E0
1.732089042E0,6.901640543E0,-1.140706404E0,7.163763034E-1,7.031859519E0
1.742126042E0,7.101358041E0,-2.404107274E0,-5.158962556E-1,7.514996124E0
