"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.366250264E-4,-1.944007416E0,-6.973997498E-1,3.520529022E0,4.081624167E0
1.030262501E-2,-1.739981689E0,-5.920188904E-1,3.535647583E0,3.984824523E0
2.036962501E-2,-1.393601990E0,-2.764750671E-1,2.994073792E0,3.314067416E0
3.043562500E-2,-8.689430237E-1,1.713935852E-1,1.810185699E0,2.015244404E0
4.050262499E-2,-1.916015625E-2,9.110055542E-1,7.840695190E-1,1.202107833E0
5.056862504E-2,6.674620056E-1,1.790576477E0,1.391805725E0,2.364062780E0
6.063562504E-2,1.187779999E0,1.762734375E0,2.221829681E0,3.074830229E0
7.070162502E-2,1.222208405E0,1.906285858E0,2.846331024E0,3.637213144E0
8.076862502E-2,1.009500732E0,3.285966797E0,4.639751587E0,5.774423288E0
9.083462501E-2,1.129700775E0,4.568200378E0,8.004754028E0,9.285513750E0
1.009016250E-1,2.058519287E0,5.351820831E0,1.165581161E1,1.298989732E1
1.109676250E-1,3.093167725E0,6.385421448E0,1.515463577E1,1.673332839E1
1.210346250E-1,3.885320435E0,8.076305237E0,1.773931091E1,1.987474711E1
1.311006250E-1,4.153862000E0,1.018332367E1,1.901810165E1,2.196913382E1
1.411668333E-1,4.321513367E0,1.322230408E1,2.002969803E1,2.438634056E1
1.512328333E-1,6.017785950E0,1.724129654E1,2.170321793E1,2.836381008E1
1.612998333E-1,1.049826874E1,2.016786072E1,2.623489426E1,3.471636400E1
1.713668333E-1,1.362047607E1,2.035257660E1,2.806798233E1,3.724991778E1
1.814328334E-1,1.770128998E1,2.002730301E1,3.140364578E1,4.123854388E1
1.914998334E-1,2.041245209E1,1.933050201E1,3.611300262E1,4.576554891E1
2.015658334E-1,2.101764359E1,1.694386505E1,3.998051010E1,4.824186038E1
2.116328334E-1,1.878593445E1,1.249302063E1,4.077894974E1,4.660375134E1
2.216988333E-1,1.435589676E1,9.439071350E0,3.696233643E1,4.076030120E1
2.317658333E-1,9.709558868E0,9.161548462E0,2.960543518E1,3.247601108E1
2.418318333E-1,7.285499725E0,1.030786469E1,2.051214478E1,2.408482227E1
2.518988333E-1,6.023623810E0,1.293654831E1,1.263672180E1,1.906108769E1
2.619648334E-1,7.472161560E0,1.544443314E1,6.027815094E0,1.818511116E1
2.720318334E-1,9.823921051E0,1.618314697E1,1.820514221E0,1.901888385E1
2.820978333E-1,1.102562210E1,1.539892776E1,-4.992118835E-1,1.894572594E1
2.921648333E-1,1.051383636E1,1.338651260E1,-1.760938110E0,1.711257952E1
3.022308333E-1,8.098010101E0,1.046189438E1,-2.429148560E0,1.345101351E1
3.122978333E-1,5.172044678E0,7.004384308E0,-2.730322266E0,9.125026321E0
3.223638334E-1,1.854643250E0,3.361409912E0,-1.985920258E0,4.322343976E0
3.324308334E-1,-1.896705780E0,-1.534309387E-1,-3.957769775E-1,1.943623751E0
3.424978334E-1,-5.216951294E0,-2.373464355E0,1.162033539E0,5.848096767E0
3.525638334E-1,-7.062463531E0,-3.396736450E0,1.958227844E0,8.077800811E0
3.626308333E-1,-7.154821472E0,-4.128714294E0,2.084565125E0,8.519575329E0
3.726968333E-1,-6.391558685E0,-4.202510834E0,1.904788971E0,7.882977912E0
3.827638333E-1,-5.500910797E0,-3.858077087E0,1.333277435E0,6.849993221E0
3.928298333E-1,-4.716990967E0,-3.507057037E0,1.978884888E-1,5.881208439E0
4.028968334E-1,-4.221072235E0,-3.744613037E0,-1.254241791E0,5.780371967E0
4.129628334E-1,-4.538262634E0,-3.765569458E0,-2.712060242E0,6.490809798E0
4.230298334E-1,-4.719236298E0,-3.037483521E0,-4.282594299E0,7.059611271E0
4.330958333E-1,-4.026476898E0,-2.462529144E0,-5.763315125E0,7.449319917E0
4.431628333E-1,-2.887495422E0,-2.181862793E0,-6.642137604E0,7.564135576E0
4.532288333E-1,-1.935026093E0,-2.023641815E0,-6.647227020E0,7.212841273E0
4.632958333E-1,-1.518292694E0,-1.880240021E0,-6.071973267E0,6.535240974E0
4.733618334E-1,-1.320703583E0,-1.833088074E0,-5.348228302E0,5.805860471E0
4.834288334E-1,-1.058898010E0,-2.051034851E0,-4.611161041E0,5.156628269E0
4.934948334E-1,-8.170010376E-1,-2.337539063E0,-3.634142761E0,4.397564459E0
5.035618333E-1,-6.198609924E-1,-2.439177704E0,-2.537672882E0,3.574017232E0
5.136288333E-1,-4.658312988E-1,-2.610720978E0,-1.346899109E0,2.974390699E0
5.236948333E-1,-4.357438660E-1,-2.864892426E0,-2.896476746E-1,2.912280395E0
5.337618333E-1,-5.929170227E-1,-2.998115387E0,5.956114197E-1,3.113679404E0
5.438278333E-1,-8.425978088E-1,-3.063978424E0,1.419797516E0,3.480482702E0
5.538948334E-1,-1.048868866E0,-3.016976166E0,2.187550964E0,3.871388679E0
5.639608334E-1,-9.901908875E-1,-2.851570129E0,3.011587372E0,4.263987417E0
5.740278334E-1,-8.907975769E-1,-2.691852264E0,3.658092957E0,4.628307792E0
5.840938333E-1,-9.659413147E-1,-2.460134125E0,3.926035767E0,4.732764454E0
5.941608333E-1,-8.099656677E-1,-2.040107574E0,3.971241760E0,4.537493186E0
6.042268333E-1,-1.121168518E-1,-1.730251923E0,4.105512543E0,4.456632713E0
6.142938333E-1,1.230141907E0,-1.348545685E0,4.350702667E0,4.718096891E0
6.243598334E-1,2.714754639E0,-5.316943359E-1,4.479135590E0,5.264527258E0
6.344268334E-1,4.259093170E0,4.778063965E-1,4.431235199E0,6.164739976E0
6.444928334E-1,5.566025391E0,1.842967529E0,4.534819794E0,7.412270808E0
6.545598333E-1,6.668033752E0,3.094963989E0,5.091961212E0,8.942569273E0
6.646258333E-1,7.601791992E0,3.823199615E0,5.757327576E0,1.027379762E1
6.746928333E-1,7.413184204E0,4.418511658E0,6.811884613E0,1.099455853E1
6.847598333E-1,6.601122894E0,5.359155579E0,8.651708679E0,1.213043425E1
6.948258334E-1,5.515430603E0,7.045399017E0,1.158845169E1,1.464069106E1
7.048928334E-1,4.694238281E0,1.044273422E1,1.495674728E1,1.883589287E1
7.149588334E-1,6.659800873E0,1.451860840E1,1.894550262E1,2.478053686E1
7.250258334E-1,1.225920685E1,1.625649445E1,2.477857269E1,3.207085014E1
7.350918333E-1,1.967164261E1,1.688174423E1,3.312312012E1,4.206076435E1
7.451588333E-1,2.532942719E1,1.768407578E1,4.211671783E1,5.223144971E1
7.552248333E-1,2.796813995E1,1.747017059E1,4.856201477E1,5.870002548E1
7.652918333E-1,2.738106079E1,1.614362915E1,5.092515060E1,6.003091051E1
7.753578334E-1,2.234104156E1,1.413061523E1,4.885555435E1,5.554873190E1
7.854248334E-1,1.502156250E1,1.227582230E1,4.261832474E1,4.682589835E1
7.954908333E-1,1.042851379E1,1.158605667E1,3.447091736E1,3.783166336E1
8.055578333E-1,9.726324005E0,1.229393463E1,2.664968170E1,3.091840459E1
8.156238333E-1,1.095586716E1,1.343695770E1,2.010888336E1,2.655089542E1
8.256908333E-1,1.201072357E1,1.441861633E1,1.480960327E1,2.390561287E1
8.357568334E-1,1.200623291E1,1.475541595E1,1.074241104E1,2.184654031E1
8.458238334E-1,1.091111023E1,1.395772476E1,8.152496796E0,1.950214375E1
8.558898334E-1,9.363179169E0,1.192629913E1,7.024442596E0,1.671073095E1
8.659568334E-1,7.542964325E0,9.263486481E0,6.782545624E0,1.373722744E1
8.760238333E-1,5.609734497E0,6.566544800E0,6.633455658E0,1.088996629E1
8.860898333E-1,3.683090973E0,4.023483124E0,6.259533234E0,8.302730386E0
8.961568333E-1,1.694176941E0,1.795516205E0,5.632786560E0,6.149991738E0
9.062228333E-1,-1.646575928E-3,-2.472857666E-1,4.528981934E0,4.535728201E0
9.162898334E-1,-1.150507507E0,-2.073039093E0,2.931204529E0,3.770028991E0
9.263558334E-1,-1.606459351E0,-3.163371735E0,9.930349731E-1,3.684257162E0
9.364228334E-1,-2.374961243E0,-4.634961548E0,-5.999523926E-1,5.242447170E0
9.464888333E-1,-2.897524567E0,-5.564678192E0,-2.615061951E0,6.797046491E0
9.565558333E-1,-2.732417908E0,-6.083948364E0,-4.280798035E0,7.925008968E0
9.666218333E-1,-2.372117157E0,-6.335874481E0,-5.581593018E0,8.770657094E0
9.766888333E-1,-2.896327057E0,-6.769971771E0,-6.256389771E0,9.662486283E0
9.867548334E-1,-3.465742950E0,-6.578968964E0,-7.268435211E0,1.039828626E1
9.968218334E-1,-3.132236481E0,-6.078559570E0,-8.056995392E0,1.056763770E1
1.006887833E0,-2.289938049E0,-5.601501617E0,-8.568930817E0,1.049033898E1
1.016954833E0,-1.403631134E0,-5.016518097E0,-8.888516235E0,1.030249266E1
1.027020833E0,-6.976991272E-1,-4.224964142E0,-8.842711487E0,9.825001400E0
1.037087833E0,-3.620970154E-1,-3.425027618E0,-8.682394867E0,9.340551861E0
1.047154833E0,-9.430389404E-2,-2.723885651E0,-8.413104858E0,8.843572786E0
1.057220833E0,-2.321672058E-1,-2.373164978E0,-7.714058533E0,8.074188050E0
1.067287833E0,-4.652325439E-1,-2.039359131E0,-7.004084930E0,7.309762835E0
1.077353833E0,-6.876699829E-1,-1.775158539E0,-5.995781708E0,6.290745276E0
1.087420833E0,-1.044827271E0,-1.747166748E0,-4.701872406E0,5.123656877E0
1.097486833E0,-1.534010010E0,-1.674268341E0,-3.536096649E0,4.202420814E0
1.107553833E0,-2.130519562E0,-1.672023010E0,-2.528990936E0,3.705478337E0
1.117619833E0,-2.881058807E0,-1.429377594E0,-1.703607330E0,3.639491461E0
1.127686833E0,-3.381617889E0,-9.575587463E-1,-1.136885834E0,3.693882470E0
1.137753000E0,-3.234473877E0,-5.547463989E-1,-7.948471069E-1,3.376588034E0
1.147820000E0,-2.484982452E0,-1.954934692E-1,-5.804928589E-1,2.559360749E0
1.157886000E0,-1.714534607E0,-1.694476318E-1,-3.841012573E-1,1.765184181E0
1.167953000E0,-1.712289276E0,-5.358856201E-1,8.831634521E-3,1.794209007E0
1.178019000E0,-2.514471130E0,-7.602690125E-1,7.496411133E-1,2.731764235E0
1.188086000E0,-2.899769897E0,-6.454577637E-1,2.010918274E0,3.587349089E0
1.198152000E0,-1.652862854E0,-1.571731567E-2,4.074826355E0,4.397318782E0
1.208219000E0,2.094594269E0,1.287322998E0,6.630761261E0,7.071882391E0
1.218286000E0,8.002508698E0,3.839365997E0,9.442663879E0,1.295935098E1
1.228352000E0,1.349683319E1,6.890171814E0,1.235830078E1,1.955419576E1
1.238419000E0,1.549173477E1,8.902886353E0,1.511272293E1,2.340191501E1
1.248485000E0,1.428180084E1,1.054287598E1,1.789708282E1,2.520769015E1
1.258552000E0,1.321317307E1,1.299148407E1,2.175126801E1,2.857418871E1
1.268618000E0,1.608704681E1,1.594095062E1,2.721355911E1,3.540458701E1
1.278685000E0,2.374616959E1,1.869716904E1,3.349824005E1,4.511758844E1
1.288751000E0,3.341875534E1,2.019136185E1,3.953159363E1,5.556303804E1
1.298818000E0,4.116185349E1,1.872965149E1,4.418451782E1,6.322475498E1
1.308884000E0,4.270095291E1,1.562765213E1,4.569412857E1,6.446354223E1
1.318951000E0,3.895379517E1,1.418854477E1,4.353157562E1,6.011415005E1
1.329017000E0,3.406840439E1,1.355341553E1,3.766272995E1,5.256265288E1
1.339084000E0,3.079516113E1,1.317245773E1,3.068528961E1,4.542513171E1
1.349150000E0,2.801065155E1,1.253852600E1,2.543061676E1,3.985633580E1
1.359217000E0,2.560844696E1,1.030112869E1,2.100971008E1,3.468881269E1
1.369283000E0,2.174453201E1,8.362360382E0,1.804722061E1,2.946957610E1
1.379350000E0,1.633313507E1,7.880213013E0,1.559546906E1,2.391835516E1
1.389417000E0,1.167826492E1,6.932084656E0,1.254361542E1,1.848723768E1
1.399483000E0,7.730524292E0,6.117478638E0,9.529932404E0,1.371146098E1
1.409550000E0,4.683610382E0,5.740712128E0,7.145989838E0,1.029354908E1
1.419616000E0,3.114722900E0,4.409680023E0,4.522695007E0,7.042836558E0
1.429683000E0,1.780547333E0,3.628753967E0,2.442470856E0,4.722697115E0
1.439749000E0,8.509803772E-1,2.650538177E0,9.068142700E-1,2.927769177E0
1.449816000E0,5.810916138E-1,9.846524048E-1,-3.585044861E-1,1.198220885E0
1.459882000E0,4.174818420E-1,-5.553451538E-1,-1.370250549E0,1.536322198E0
1.469949000E0,2.547702026E-1,-1.780247955E0,-2.224673767E0,2.860657968E0
1.480015000E0,6.015989685E-1,-2.605332184E0,-2.788251801E0,3.863162592E0
1.490082000E0,1.368903351E0,-3.184477844E0,-2.968926086E0,4.563914727E0
1.500148000E0,1.948498077E0,-3.591032410E0,-2.806064758E0,4.956425925E0
1.510215000E0,2.257904663E0,-3.915108490E0,-2.338736572E0,5.088801107E0
1.520281000E0,2.397115173E0,-4.079915771E0,-1.666185150E0,5.016776536E0
1.530348000E0,2.194137268E0,-4.251908112E0,-1.080153809E0,4.905068113E0
1.540414000E0,1.782493286E0,-4.350103912E0,-7.601193237E-1,4.762191486E0
1.550481000E0,1.350192261E0,-4.467609558E0,-8.834628296E-1,4.750059039E0
1.560548000E0,5.912704468E-1,-4.670886841E0,-1.387315063E0,4.908301917E0
1.570614000E0,-4.215234375E-1,-4.671186218E0,-2.130818939E0,5.151509686E0
1.580681000E0,-1.207688599E0,-4.800517273E0,-3.044219513E0,5.811260645E0
1.590747000E0,-2.090552673E0,-5.085075531E0,-4.215084686E0,6.927867100E0
1.600814000E0,-3.185525665E0,-5.194647675E0,-5.542973328E0,8.237505177E0
1.610880000E0,-4.298610992E0,-5.191803589E0,-6.506968689E0,9.368752451E0
1.620947000E0,-5.083728333E0,-5.281018066E0,-6.906637573E0,1.007149880E1
1.631013000E0,-5.343737640E0,-5.495821381E0,-6.820865936E0,1.026078928E1
1.641080000E0,-4.843328247E0,-5.467679901E0,-6.319109344E0,9.658389872E0
1.651146000E0,-4.601580963E0,-5.762117615E0,-4.759352875E0,8.776558924E0
1.661213000E0,-4.756658478E0,-5.770200806E0,-3.546275482E0,8.276296696E0
1.671279000E0,-4.086202698E0,-5.516179047E0,-2.623893585E0,7.349156503E0
1.681346000E0,-3.630999298E0,-5.473368073E0,-1.825304260E0,6.817158470E0
1.691412000E0,-3.190764771E0,-5.335804138E0,-1.507814484E0,6.397287717E0
1.701479000E0,-3.013832703E0,-5.071004791E0,-1.334774323E0,6.048131914E0
1.711545000E0,-2.787054291E0,-4.648134155E0,-1.428629150E0,5.604801869E0
1.721612000E0,-2.527494049E0,-4.362827454E0,-1.543141022E0,5.272928387E0
1.731678000E0,-2.450554047E0,-3.885170746E0,-1.522933044E0,4.839327631E0
1.741745000E0,-2.228715363E0,-3.019520874E0,-1.275946655E0,3.963927136E0
1.751812000E0,-1.616039429E0,-2.156415710E0,-9.518705750E-1,2.857931025E0
1.761878000E0,-5.224136353E-1,-1.258882141E0,-6.137237549E-1,1.494776605E0
1.771945000E0,1.038390656E0,-5.523513794E-2,-1.058299255E-1,1.045230141E0
1.782011000E0,2.905009003E0,1.861379242E0,7.806266785E-1,3.537398479E0
1.792078000E0,5.272186432E0,5.496569824E0,2.126927032E0,7.907720797E0
1.802144000E0,7.253466339E0,1.043659698E1,3.711082764E0,1.324037257E1
1.812211000E0,7.369026031E0,1.508832367E1,5.648204498E0,1.771615844E1
1.822277000E0,7.152576141E0,2.007804749E1,8.202642517E0,2.283792198E1
1.832344000E0,8.322692871E0,2.579750381E1,1.112770981E1,2.930195122E1
1.842410000E0,1.174128387E1,3.165167999E1,1.395473099E1,3.652972913E1
1.852477000E0,1.718621109E1,3.630595139E1,1.699475922E1,4.361547659E1
1.862543000E0,2.363360367E1,3.683120911E1,2.145742905E1,4.873916749E1
1.872610000E0,2.913286789E1,3.330529129E1,2.916624847E1,5.299657036E1
1.882676000E0,3.143927170E1,2.917762482E1,3.909375412E1,5.803518938E1
1.892743000E0,3.098272110E1,2.465792358E1,4.651367432E1,6.108571110E1
1.902809000E0,2.771935730E1,1.804632248E1,4.903847397E1,5.915069275E1
1.912876000E0,2.087169708E1,1.183364182E1,4.668686417E1,5.249120025E1
