"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.710087321483826E9,"2024-03-10 12:15:21.484 UTC-04:00"
"PAUSE",6.055469124997035E1,1.710087382037906E9,"2024-03-10 12:16:22.038 UTC-04:00"
"START",6.055469124997035E1,1.710087420364813E9,"2024-03-10 12:17:00.365 UTC-04:00"
"PAUSE",1.211155436249683E2,1.710087480925054E9,"2024-03-10 12:18:00.925 UTC-04:00"
"START",1.211155436249683E2,1.710087537965192E9,"2024-03-10 12:18:57.965 UTC-04:00"
"PAUSE",1.816650939166430E2,1.710087598514131E9,"2024-03-10 12:19:58.514 UTC-04:00"
"START",1.816650939166430E2,1.710087637804102E9,"2024-03-10 12:20:37.804 UTC-04:00"
"PAUSE",2.422230759999948E2,1.710087698361473E9,"2024-03-10 12:21:38.361 UTC-04:00"
"START",2.422230759999948E2,1.710087742123596E9,"2024-03-10 12:22:22.124 UTC-04:00"
"PAUSE",3.027770473749842E2,1.710087802676956E9,"2024-03-10 12:23:22.677 UTC-04:00"
