"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.768333070E-4,-6.506968689E-1,9.552535400E0,4.794529724E0,1.070802756E1
1.034483331E-2,-7.503895569E-1,9.468260651E0,4.768483887E0,1.062776942E1
2.041383332E-2,-9.136999512E-1,9.320966949E0,4.606371002E0,1.043714167E1
3.048183332E-2,-1.078058167E0,9.157057800E0,4.376598816E0,1.020629875E1
4.055083334E-2,-1.178499298E0,9.028325500E0,4.168830872E0,1.001392394E1
5.061883334E-2,-1.159189453E0,8.930129700E0,4.027375031E0,9.864617898E0
6.068783329E-2,-1.050216064E0,8.846154327E0,3.945644989E0,9.742972572E0
7.075583329E-2,-9.196875000E-1,8.805289307E0,3.877985687E0,9.665284158E0
8.082483331E-2,-8.032296753E-1,8.706345062E0,3.764371948E0,9.519249887E0
9.089283331E-2,-7.093748474E-1,8.644224243E0,3.688928833E0,9.425180177E0
1.009618333E-1,-5.522016907E-1,8.675509186E0,3.718417511E0,9.454946596E0
1.110298333E-1,-4.323010254E-1,8.660839691E0,3.761827240E0,9.452426806E0
1.210988333E-1,-3.718267822E-1,8.646020508E0,3.817361755E0,9.458550446E0
1.311668333E-1,-2.865042114E-1,8.681197357E0,3.865711212E0,9.507312732E0
1.412358333E-1,-2.136058044E-1,8.651708679E0,3.851640472E0,9.472741147E0
1.513038333E-1,-1.758842468E-1,8.596623230E0,3.735032959E0,9.374611322E0
1.613728333E-1,-1.954934692E-1,8.565787354E0,3.517834625E0,9.262078122E0
1.714408333E-1,-2.610571289E-1,8.506360931E0,3.221600647E0,9.099727350E0
1.815098333E-1,-3.556604004E-1,8.439899139E0,2.925216980E0,8.939535009E0
1.915778333E-1,-4.123924255E-1,8.412356415E0,2.705473938E0,8.846321111E0
2.016468333E-1,-3.959266663E-1,8.378377075E0,2.584525452E0,8.776886245E0
2.117158333E-1,-3.498225403E-1,8.361911316E0,2.601589966E0,8.764257357E0
2.217838333E-1,-3.429368591E-1,8.339458008E0,2.779270477E0,8.797073942E0
2.318528333E-1,-4.179309082E-1,8.291856995E0,2.991529083E0,8.824896879E0
2.419208333E-1,-5.616320801E-1,8.293353882E0,3.180286560E0,8.899964708E0
2.519898333E-1,-6.637197876E-1,8.297844543E0,3.265160065E0,8.941812919E0
2.620578333E-1,-7.846682739E-1,8.301886139E0,3.239413605E0,8.945994538E0
2.721268333E-1,-9.093589783E-1,8.365204468E0,3.131338348E0,8.978243670E0
2.821948333E-1,-9.175918579E-1,8.490194550E0,3.032244415E0,9.062002235E0
2.922638333E-1,-8.436456299E-1,8.644074554E0,2.991080017E0,9.185767389E0
3.023318333E-1,-7.773335266E-1,8.757388916E0,2.966830444E0,9.278911085E0
3.124008333E-1,-6.975494385E-1,8.874146118E0,3.048560486E0,9.409078891E0
3.224688333E-1,-6.062393188E-1,8.983718262E0,3.300486603E0,9.589991227E0
3.325378333E-1,-4.917274475E-1,9.043144684E0,3.667822723E0,9.771038081E0
3.426058333E-1,-4.799020386E-1,9.069190521E0,4.005969543E0,9.926142990E0
3.526748333E-1,-5.659730530E-1,9.016649780E0,4.277055817E0,9.995674325E0
3.627428333E-1,-6.951544189E-1,8.934620361E0,4.543501740E0,1.004759119E1
3.728118333E-1,-8.204438782E-1,8.825197906E0,4.781057739E0,1.007053918E1
3.828798333E-1,-8.692424011E-1,8.752149811E0,4.958738251E0,1.009677145E1
3.929488333E-1,-8.370593262E-1,8.727002106E0,4.990172882E0,1.008776781E1
4.030168333E-1,-7.381150818E-1,8.761729889E0,4.823419647E0,1.002886343E1
4.130858333E-1,-5.920188904E-1,8.895701294E0,4.555027771E0,1.001160656E1
4.231538333E-1,-4.257147217E-1,9.069789276E0,4.304897919E0,1.004860471E1
4.332228333E-1,-2.411485291E-1,9.303153992E0,4.152065735E0,1.019050915E1
4.432908333E-1,-5.777984619E-2,9.514514465E0,3.981719971E0,1.031423375E1
4.533598333E-1,1.472937012E-1,9.594448242E0,3.708088989E0,1.028713062E1
4.634278333E-1,2.951861572E-1,9.566157074E0,3.444038086E0,1.017152370E1
4.734968333E-1,4.186793518E-1,9.592053223E0,3.320095825E0,1.015902622E1
4.835648333E-1,5.471122742E-1,9.629026337E0,3.328777771E0,1.020285458E1
4.936338333E-1,7.409591675E-1,9.673932953E0,3.480113068E0,1.030753056E1
5.037018333E-1,1.019679565E0,9.669591980E0,3.700454865E0,1.040356293E1
5.137708333E-1,1.305435333E0,9.678722992E0,3.924389191E0,1.052533471E1
5.238388333E-1,1.506018219E0,9.729168091E0,4.179758148E0,1.069556828E1
5.339078333E-1,1.601070557E0,9.755513306E0,4.515809326E0,1.086857859E1
