"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
8.159166609E-4,-1.551478683E1,-4.661306763E0,-9.434431000E0,1.874686319E1
1.073891667E-2,-1.356045090E1,-4.049828339E0,-8.704848175E0,1.661509313E1
2.066291668E-2,-1.012704071E1,-3.240461426E0,-7.481891327E0,1.300139383E1
3.058591665E-2,-5.920787659E0,-2.079176331E0,-6.014941864E0,8.692423502E0
4.050891666E-2,-1.577569427E0,-8.747808838E-1,-4.714296570E0,5.047629051E0
5.043191666E-2,2.237397308E0,2.230361938E-2,-3.404669952E0,4.074091512E0
6.035491667E-2,4.956193542E0,7.277865601E-1,-1.616787872E0,5.263794328E0
7.027791667E-2,6.143524475E0,1.184786224E0,2.540217590E-1,6.261879784E0
8.020091668E-2,6.023025055E0,1.180594940E0,1.648970947E0,6.355292315E0
9.012391666E-2,4.986430664E0,6.927593994E-1,2.526745605E0,5.632836737E0
1.000469167E-1,3.275787964E0,-2.698887634E-1,2.862048340E0,4.358319335E0
1.099699167E-1,1.585502930E0,-1.061891785E0,2.638114014E0,3.255929860E0
1.198929167E-1,3.245251465E-1,-1.531764679E0,2.050585785E0,2.580023578E0
1.298159167E-1,-4.593946838E-1,-1.772913208E0,1.423090668E0,2.319364518E0
1.397389167E-1,-6.792874146E-1,-1.863923950E0,9.017248535E-1,2.179163049E0
1.496629167E-1,-5.616320801E-1,-1.600621490E0,5.656736755E-1,1.788129318E0
1.595859167E-1,-3.427871704E-2,-1.103056183E0,3.579057312E-1,1.160174334E0
1.695089167E-1,1.407223663E0,-6.001020813E-1,3.496728516E-1,1.569290301E0
1.794319167E-1,3.721261597E0,4.617897034E-1,3.980223083E-1,3.770869841E0
1.893549167E-1,7.333849182E0,2.208657074E0,5.505551147E-1,7.678972642E0
1.992779167E-1,1.167991150E1,3.797902222E0,1.800755310E-1,1.228319263E1
2.092009167E-1,1.623942993E1,4.625231781E0,-1.097068634E0,1.692085734E1
2.191239167E-1,2.021695862E1,4.551734619E0,-2.353106689E0,2.085619368E1
2.290469167E-1,2.299817505E1,3.567381592E0,-3.382066956E0,2.351766663E1
2.389699167E-1,2.443144455E1,2.500550079E0,-2.818189545E0,2.472024324E1
2.488929167E-1,2.552686661E1,2.428699493E0,2.423460388E-1,2.564328824E1
2.588169167E-1,2.808190338E1,3.359314270E0,4.010310516E0,2.856502897E1
2.687399167E-1,3.141756683E1,5.368136902E0,7.323370972E0,3.270339679E1
2.786629167E-1,3.490202087E1,7.077731781E0,8.867859192E0,3.669992200E1
2.885859167E-1,3.893194061E1,8.433312836E0,7.760012970E0,4.058367365E1
2.985089167E-1,4.221611115E1,9.359287262E0,4.640500031E0,4.348943020E1
3.084319167E-1,4.105138321E1,9.162296906E0,1.484463043E0,4.208761550E1
3.183549167E-1,3.428709961E1,7.096143494E0,-2.177671509E0,3.508137263E1
3.282779167E-1,2.296389633E1,4.908742218E0,-4.682412872E0,2.394496346E1
3.382009167E-1,1.248344055E1,4.904401245E0,-1.625320129E0,1.351040729E1
3.481239167E-1,6.430028687E0,3.953129425E0,2.084415436E0,7.830535669E0
3.580469167E-1,1.323098602E0,2.801274719E0,3.457510071E0,4.642424566E0
3.679699167E-1,-1.553918610E0,1.674717407E0,3.830534363E0,4.460082392E0
3.778939167E-1,-1.925595703E0,4.999603271E-2,3.611988831E0,4.093517036E0
3.878169167E-1,-2.375559998E0,-1.206341400E0,1.632654877E0,3.124757082E0
3.977399167E-1,-2.061513062E0,-1.370849304E0,-1.974543915E0,3.166684005E0
4.076629167E-1,-1.341360626E0,-1.286125488E0,-6.173761597E0,6.447379262E0
4.175859167E-1,-2.042053528E0,-1.238973541E0,-1.041893372E1,1.068921035E1
4.275089167E-1,-3.455264740E0,-5.888754272E-1,-1.390383682E1,1.433883911E1
4.374319167E-1,-4.521946564E0,-4.381388855E-1,-1.559487030E1,1.624315074E1
4.473549167E-1,-4.523892517E0,-5.854325867E-1,-1.481289642E1,1.549936241E1
4.572779167E-1,-4.448898468E0,-4.897814941E-1,-1.128099106E1,1.213644687E1
4.672009167E-1,-3.874692535E0,-7.168592834E-1,-6.375541992E0,7.494975995E0
4.771239167E-1,-2.395169220E0,-7.104226685E-1,-2.011067963E0,3.207168582E0
4.870479167E-1,-7.755372620E-1,-1.797761536E-1,1.694326630E0,1.872036388E0
4.969709167E-1,9.593550110E-1,1.707948303E-1,4.508923645E0,4.613016946E0
5.068939167E-1,2.494712219E0,6.825805664E-1,6.385271759E0,6.889209006E0
5.168169167E-1,3.746259613E0,1.425934753E0,7.370822296E0,8.390278442E0
5.267399167E-1,4.468358002E0,1.406624908E0,6.905589752E0,8.344578281E0
5.366629167E-1,3.842659149E0,1.087638245E0,4.738246765E0,6.196770828E0
5.465859167E-1,2.459984436E0,3.957769775E-1,7.879614258E-1,2.613244353E0
5.565089167E-1,1.721719666E0,-1.089733887E-1,-9.491761780E-1,1.969042717E0
5.664319167E-1,1.458267517E0,6.532415771E-1,-9.484277344E-1,1.858166805E0
5.763549167E-1,2.543061676E0,1.886227570E0,-9.607022095E-1,3.308771051E0
5.862779167E-1,5.906417542E0,3.320844269E0,-8.508306885E-1,6.829179138E0
5.962009167E-1,1.040516235E1,4.609215088E0,-7.461982727E-1,1.140478317E1
6.061249167E-1,1.428509399E1,5.227429504E0,-7.927514648E-1,1.523214970E1
6.160479167E-1,1.810559921E1,5.253924408E0,-1.134191437E0,1.888657816E1
6.259710417E-1,2.218102432E1,4.289929047E0,-1.766177216E0,2.266099541E1
6.358940417E-1,2.570155334E1,2.374811554E0,-3.404220886E0,2.603455961E1
6.458170417E-1,2.798101318E1,1.432071991E0,-5.380411377E0,2.852957686E1
6.557400417E-1,2.786874664E1,8.851094055E-1,-6.680757294E0,2.867198940E1
6.656630417E-1,2.525308594E1,-3.183879089E-1,-6.816375275E0,2.615879760E1
6.755860417E-1,2.290925995E1,-2.292782135E0,-4.410727844E0,2.344238813E1
6.855090417E-1,2.384720947E1,-5.170248413E0,-5.075944519E-1,2.440652618E1
6.954320417E-1,2.601365433E1,-8.103847961E0,3.740122375E0,2.750220134E1
7.053560417E-1,2.684053482E1,-8.942104797E0,7.928712158E0,2.938094662E1
7.152790417E-1,2.696821930E1,-6.436016235E0,1.136137390E1,2.996311022E1
7.252020417E-1,2.893093781E1,-1.762884064E0,1.468251755E1,3.249127951E1
7.351250417E-1,3.236210266E1,3.870501251E0,1.733245697E1,3.691477392E1
7.450480417E-1,3.345647690E1,8.761580200E0,1.746163834E1,3.874286963E1
7.549710417E-1,2.957235397E1,1.078911392E1,1.461066696E1,3.470447648E1
7.648940417E-1,2.268861877E1,9.778265991E0,1.043090881E1,2.681775096E1
7.748170417E-1,1.485989868E1,6.696025543E0,6.233188019E0,1.745009971E1
7.847400417E-1,6.576124878E0,3.099604340E0,2.409988403E0,7.659047563E0
7.946630417E-1,-1.638193359E0,2.421963501E-1,-1.518292694E0,2.246675157E0
8.045860417E-1,-8.387358398E0,-2.067799988E0,-5.175038452E0,1.006998514E1
8.145100417E-1,-1.267998184E1,-3.968697052E0,-7.766748962E0,1.539009049E1
8.244330417E-1,-1.505284744E1,-4.922064514E0,-9.639803925E0,1.854024689E1
8.343560417E-1,-1.580712891E1,-5.171296234E0,-1.050141220E1,1.966945061E1
8.442790417E-1,-1.494776596E1,-5.053640900E0,-1.026580215E1,1.882449700E1
