"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
6.688333524E-4,-1.509610748E0,-1.184531754E1,7.842192078E-1,1.196684887E1
1.059283334E-2,-1.634002075E0,-9.857451324E0,1.138233032E0,1.005658410E1
2.051608334E-2,-1.596280518E0,-9.889035645E0,1.912572784E0,1.019799353E1
3.043908335E-2,-2.111658783E0,-1.032986893E1,2.406545563E0,1.081465471E1
4.036208335E-2,-2.416275330E0,-9.839638367E0,3.208278351E0,1.062778997E1
5.028508336E-2,-2.359094238E0,-1.045845154E1,2.859653320E0,1.109604215E1
6.020808333E-2,-1.749262390E0,-1.305390427E1,1.152303772E0,1.322089783E1
7.013108334E-2,-2.849025421E0,-1.290945465E1,2.019899597E0,1.337351710E1
8.005408334E-2,-3.150199127E0,-1.198722244E1,2.607278137E0,1.266551048E1
8.997708335E-2,-2.593656464E0,-1.121168518E1,2.992427216E0,1.189048187E1
9.990108333E-2,-2.035167847E0,-9.090446320E0,3.099903717E0,9.817714882E0
1.098240833E-1,-1.323547668E0,-6.604865112E0,2.871478729E0,7.322664247E0
1.197470833E-1,-1.382974091E0,-5.432503052E0,2.541415100E0,6.154957145E0
1.296700833E-1,-1.970951385E0,-6.277495880E0,1.759590912E0,6.810856339E0
1.395930834E-1,-2.642305298E0,-8.044870605E0,1.004561005E0,8.527066504E0
1.495160834E-1,-2.672392731E0,-9.542356567E0,2.938389587E-1,9.913858638E0
1.594390833E-1,-2.682421875E0,-9.774523773E0,1.121168518E-1,1.013653157E1
1.693630833E-1,-2.188299408E0,-1.057266403E1,7.831713867E-1,1.082512062E1
1.792860834E-1,-2.871778107E0,-1.067100952E1,8.333171082E-1,1.108205627E1
1.892090834E-1,-2.646047516E0,-1.037238052E1,8.629554749E-1,1.073929874E1
1.991320833E-1,-2.339634705E0,-9.938881989E0,1.212179260E0,1.028224899E1
2.090550833E-1,-2.245929565E0,-9.730215912E0,1.434766388E0,1.008860029E1
2.189780833E-1,-1.850002899E0,-9.463171234E0,1.401984558E0,9.743699566E0
2.289010833E-1,-1.079555054E0,-9.294472046E0,1.030756531E0,9.413559834E0
2.388240834E-1,-9.684860229E-2,-9.442813568E0,5.269042969E-1,9.457998513E0
2.487480833E-1,9.183403015E-1,-9.841434631E0,5.134323120E-2,9.884321962E0
2.586710833E-1,1.907034302E0,-1.031594788E1,-2.757266235E-1,1.049435970E1
2.685940833E-1,2.378553772E0,-1.070364166E1,-3.477268982E-1,1.097024963E1
2.785170834E-1,2.221679993E0,-1.064616119E1,-2.562670898E-1,1.087852393E1
2.884400834E-1,1.657802582E0,-1.016985168E1,-1.058299255E-1,1.030462967E1
2.983630833E-1,1.127455444E0,-9.595645752E0,-7.185058594E-2,9.661921946E0
3.082860833E-1,4.731660461E-1,-8.972042542E0,-3.562591553E-1,8.991571279E0
3.182090833E-1,-4.366419983E-1,-8.348888397E0,-9.656419373E-1,8.415881300E0
3.281330834E-1,-1.574575653E0,-7.431595917E0,-1.538350983E0,7.750769646E0
3.380560834E-1,-2.814896393E0,-6.129902802E0,-2.148332520E0,7.079172457E0
3.479790833E-1,-3.824696503E0,-4.659211121E0,-2.765798492E0,6.632208750E0
3.579020833E-1,-4.067341919E0,-3.164868622E0,-2.564616852E0,5.756467951E0
3.678250833E-1,-3.879482574E0,-8.322692871E-1,-1.045875092E0,4.103280629E0
3.777480834E-1,-3.974684601E0,1.480271759E0,2.354753265E0,4.851204500E0
3.876710834E-1,-3.662433929E0,3.416046295E0,9.629176025E0,1.085374707E1
3.975940833E-1,-2.102827148E0,2.977757721E0,1.597328339E1,1.638397709E1
4.075180833E-1,-2.026036835E0,-4.140390015E-1,1.860720612E1,1.872176202E1
4.174410834E-1,-1.716779938E0,-5.987548828E0,1.847158813E1,1.949352822E1
4.273640834E-1,1.368903351E0,-1.365550323E1,1.712573685E1,2.194624176E1
4.372870833E-1,2.201472015E0,-2.382715118E1,1.492785736E1,2.820320085E1
4.472100833E-1,-7.324269104E-1,-4.214949966E1,7.269033966E0,4.277798062E1
4.571330833E-1,-5.954168243E0,-5.787444946E1,-2.114353180E0,5.821833482E1
4.670560833E-1,-1.046743286E1,-4.936584320E1,-7.075336761E0,5.095698201E1
4.769790834E-1,-5.172344055E0,-3.435595642E1,-6.738237762E0,3.539051755E1
4.869030833E-1,-5.143454132E0,-2.738450363E1,-9.092092896E-1,2.787817822E1
