"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
-1.679416659E-3,1.038989410E0,-6.911277924E0,2.275268555E-1,6.992641132E0
8.243583346E-3,1.472637634E0,-5.802832947E0,1.766326904E-2,5.986805810E0
1.816658335E-2,1.842069397E0,-6.441554718E0,2.730322266E-1,6.705325752E0
2.808958336E-2,2.001936951E0,-7.919581146E0,9.759704590E-1,8.226787673E0
3.801258333E-2,1.771566010E0,-9.011410675E0,1.072819061E0,9.246345722E0
4.793658335E-2,9.657916260E-1,-8.741671600E0,8.210426331E-1,8.833101768E0
5.785958335E-2,6.427633667E-1,-8.042774963E0,7.289840698E-1,8.101283332E0
6.778258336E-2,7.378157043E-1,-6.741680603E0,7.191046143E-1,6.819951672E0
7.770558336E-2,1.289867706E0,-6.088738403E0,4.369413757E-1,6.239183585E0
8.762858334E-2,1.750759277E0,-6.365512848E0,3.902384949E-1,6.613410463E0
9.755158334E-2,1.577270050E0,-7.476951599E0,6.192622375E-1,7.666555403E0
1.074745833E-1,1.441203003E0,-8.784033508E0,9.571096802E-1,8.952785584E0
1.173975834E-1,1.739382935E0,-9.773176575E0,1.465602264E0,1.003436213E1
1.273205834E-1,1.966760101E0,-9.570198669E0,1.810485077E0,9.936533806E0
1.372445833E-1,2.551144867E0,-1.274120453E1,1.738185425E0,1.310984064E1
1.471675833E-1,3.635340271E0,-2.085163879E1,1.044078827E0,2.119190034E1
1.570905834E-1,3.963607635E0,-1.872935211E1,2.019749908E0,1.925040794E1
1.670135834E-1,3.654650116E0,-1.234423004E1,1.917961578E0,1.301595403E1
1.769365834E-1,3.353326721E0,-1.152169052E1,2.313289490E0,1.222069805E1
1.868595833E-1,3.355272675E0,-1.056323364E1,2.017953644E0,1.126551804E1
1.967825833E-1,4.106560364E0,-9.992470551E0,1.265767822E0,1.087729166E1
2.067055833E-1,4.769382019E0,-9.388775940E0,1.200054474E0,1.059887962E1
2.166295834E-1,4.329746246E0,-7.247029724E0,1.046174469E0,8.506504770E0
2.265525833E-1,3.959715729E0,-4.338428192E0,6.721023560E-1,5.912108711E0
2.364755833E-1,4.268523560E0,-1.771416321E0,5.863307190E-1,4.658539779E0
2.463985833E-1,4.634811859E0,-1.356628876E0,4.861889648E-1,4.853689585E0
2.563215834E-1,4.866080933E0,-1.223256226E0,5.430706787E-1,5.046783649E0
2.662445834E-1,5.683231659E0,-8.723858643E-1,1.209035797E0,5.875537996E0
2.761675834E-1,6.734345856E0,-2.312690735E0,2.016606445E0,7.400449587E0
2.860905833E-1,7.464826813E0,-6.533164215E0,2.168989563E0,1.015432862E1
2.960135833E-1,7.596702576E0,-1.355102051E1,1.364562378E0,1.559493755E1
3.059375834E-1,6.941215668E0,-1.741209137E1,1.989363098E-1,1.874569221E1
3.158605834E-1,6.557713165E0,-8.772806854E0,4.186793518E-1,1.096088657E1
3.257835833E-1,6.808292084E0,6.147715759E-1,1.313219147E0,6.960986260E0
3.357065833E-1,6.780599670E0,-4.724176025E-1,2.021396484E0,7.091244886E0
3.456295833E-1,7.323520660E0,-1.557211761E0,6.786886597E-1,7.517943976E0
3.555525834E-1,7.676935730E0,-2.359094238E0,-2.574645996E-1,8.035356610E0
3.654755834E-1,5.193300476E0,-1.158920013E1,-3.010240173E-1,1.270317067E1
3.753985833E-1,1.875749359E0,-2.600557114E1,-2.145638123E0,2.616126772E1
3.853215833E-1,-2.686014404E0,-2.750111115E1,-8.271798706E-1,2.764434868E1
3.952455833E-1,-4.882397003E0,-1.746627869E1,9.743238831E-1,1.816199325E1
4.051685834E-1,-8.601113892E-1,-1.418001251E1,2.707868958E0,1.446184984E1
4.150915834E-1,3.466641083E0,-1.209290268E1,1.841171265E0,1.271400044E1
4.250145833E-1,5.973029022E0,-8.048912201E0,-1.093775482E0,1.008257944E1
4.349375833E-1,8.054899750E0,-6.658603363E0,-3.711531830E0,1.109026047E1
4.448605833E-1,5.485043793E0,-5.774691467E0,-3.320993958E0,8.629123236E0
4.547835834E-1,3.157683563E0,-1.104104004E0,-3.616180115E0,4.926131318E0
4.647065834E-1,4.411027222E0,-1.130149841E0,5.284011841E-1,4.584060168E0
4.746305833E-1,5.459896088E0,-5.242398376E0,6.274202728E0,9.831522054E0
4.845535833E-1,5.935606842E0,-1.155117920E1,1.032986893E1,1.659419662E1
4.944765833E-1,2.826422424E0,-1.596879272E1,1.148576523E1,1.987243839E1
5.043995834E-1,7.578739929E-1,-1.402239029E1,7.605234833E0,1.597001563E1
5.143225834E-1,-4.719835052E0,-6.556515656E0,5.559588776E0,9.806822514E0
5.242455833E-1,-5.447621613E0,-5.170098724E0,5.191653900E0,9.130157297E0
5.341685833E-1,-2.612068176E0,-5.420527954E0,3.497626648E0,6.959771234E0
5.440915833E-1,2.098785553E0,-5.825435944E0,4.161346436E0,7.460389325E0
5.540145834E-1,4.245621185E0,-9.336085510E0,7.950566711E0,1.297687570E1
5.639385833E-1,5.432652740E0,-1.160536652E1,9.952653351E0,1.622509034E1
5.738615833E-1,8.443491669E0,-1.612716339E1,1.197464859E1,2.178922118E1
5.837845833E-1,1.327589264E1,-2.355262207E1,1.370879242E1,3.031346766E1
5.937075833E-1,2.050001999E1,-3.094634674E1,1.305614960E1,3.934959007E1
6.036305834E-1,2.152194489E1,-3.098167328E1,7.826774139E0,3.852682941E1
6.135535834E-1,1.641007507E1,-2.714844452E1,2.223176880E0,3.180048929E1
6.234765833E-1,1.266171982E1,-2.510369659E1,1.222956848E0,2.814267853E1
6.333995833E-1,1.074720108E1,-2.204346039E1,2.063758392E0,2.461047695E1
6.433235834E-1,1.151749924E1,-1.884566025E1,2.098785553E0,2.218595501E1
6.532465834E-1,1.146840134E1,-1.688219330E1,9.023236084E-1,2.042906918E1
6.631695833E-1,9.459878082E0,-1.519520142E1,1.249900818E0,1.794284513E1
6.730925833E-1,7.570357361E0,-1.356958191E1,1.978735199E0,1.566394767E1
6.830155833E-1,5.937552795E0,-1.158545792E1,1.925296326E0,1.315994431E1
6.929385834E-1,5.211113434E0,-8.789721680E0,3.594026184E-1,1.022467998E1
7.028615834E-1,5.211861877E0,-5.828429718E0,-1.175655212E0,7.906722607E0
7.127845834E-1,5.441484375E0,-3.513044586E0,-1.566193085E0,6.663647293E0
7.227075833E-1,5.068909149E0,-1.926793213E0,-6.923103333E-1,5.466778361E0
7.326315833E-1,4.238286438E0,-4.577481079E-1,4.064048767E-1,4.282262274E0
7.425545834E-1,2.616858215E0,1.224453735E0,1.500030670E0,3.255353419E0
7.524775834E-1,7.819738770E-1,2.905308380E0,2.149380341E0,3.697585128E0
7.624005833E-1,-9.794132996E-1,4.439019012E0,2.445464630E0,5.161825013E0
7.723235833E-1,-2.396516418E0,5.974376221E0,2.516566772E0,6.911553406E0
7.822465833E-1,-3.267854462E0,7.363038483E0,2.055824890E0,8.313821291E0
7.921695834E-1,-3.821553040E0,7.968679047E0,1.120719452E0,8.908430023E0
8.020925834E-1,-3.625161438E0,7.142996063E0,-1.061293030E-1,8.010958222E0
8.120155834E-1,-2.163002014E0,5.033133545E0,-1.239422607E0,5.616687582E0
8.219395833E-1,-1.097368011E0,3.441044312E0,-1.938468933E0,4.099105306E0
8.318625833E-1,-5.544470215E-1,2.391127625E0,-2.148482208E0,3.262035962E0
8.417855834E-1,1.567240906E-1,1.344354401E0,-1.966460724E0,2.387219926E0
8.517085834E-1,8.012837219E-1,1.995350647E-1,-1.455872498E0,1.673748659E0
8.616315833E-1,1.267564087E0,-9.511221313E-1,-4.514611816E-1,1.647777055E0
8.715545833E-1,1.488654327E0,-1.919159088E0,5.209167480E-1,2.484072779E0
8.814775833E-1,1.311572571E0,-2.690205688E0,1.149160309E0,3.205931794E0
8.914005834E-1,1.068178711E0,-3.248394928E0,1.376687164E0,3.686236959E0
9.013235834E-1,8.671467590E-1,-3.522474976E0,1.228944397E0,3.830153755E0
9.112472083E-1,6.309379578E-1,-3.512296143E0,1.034498749E0,3.715440023E0
9.211702083E-1,1.523831177E-1,-3.615431671E0,1.006806335E0,3.756091823E0
9.310932083E-1,-8.741821289E-2,-3.723357239E0,9.264234924E-1,3.837875918E0
9.410162084E-1,-8.217910767E-2,-3.589385834E0,9.593550110E-1,3.716289293E0
9.509392084E-1,-2.281256104E-1,-3.373983765E0,1.316063232E0,3.628750497E0
9.608622083E-1,-1.969903564E-1,-3.333118744E0,1.654210052E0,3.726244310E0
9.707852083E-1,1.029858398E-1,-3.791615295E0,1.841470642E0,4.216392624E0
9.807082083E-1,1.033450928E0,-5.097200317E0,2.188748474E0,5.642702524E0
9.906312083E-1,2.570604401E0,-7.807763672E0,2.511028290E0,8.595024352E0
1.000555208E0,4.067790985E0,-1.153501282E1,3.425326996E0,1.270182307E1
1.010478208E0,4.362378387E0,-1.609048965E1,5.239853668E0,1.747541899E1
1.020401208E0,5.608087921E0,-2.100282440E1,5.634882202E0,2.245709644E1
