"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
3.263791645E-3,1.029858398E-1,3.339555359E0,1.012584320E1,1.066282967E1
1.318479166E-2,-1.667532349E-1,3.503015442E0,1.043674667E1,1.101020458E1
2.310579165E-2,-3.472778320E-1,3.740721130E0,1.070124664E1,1.134152883E1
3.302679164E-2,-3.818559265E-1,3.964505768E0,1.112082413E1,1.181252933E1
4.294779166E-2,-2.383044434E-1,4.067042542E0,1.181448166E1,1.249718372E1
5.286779164E-2,1.481918335E-2,3.961961060E0,1.260319153E1,1.321127517E1
6.278879166E-2,2.639012146E-1,3.761827240E0,1.335298233E1,1.387527027E1
7.270979165E-2,3.823049927E-1,3.632496185E0,1.405322617E1,1.452013606E1
8.263079164E-2,4.026626587E-1,3.781436462E0,1.460946945E1,1.509629082E1
9.255179166E-2,6.083349609E-1,4.088897095E0,1.495360382E1,1.551449058E1
1.024727917E-1,1.003812561E0,4.481081543E0,1.515463577E1,1.583511026E1
1.123937917E-1,1.655257874E0,4.835245056E0,1.528980469E1,1.612133992E1
1.223147917E-1,2.422711945E0,4.821773071E0,1.531854492E1,1.624120831E1
1.322357917E-1,3.039279785E0,4.353247375E0,1.544982193E1,1.633661477E1
1.421567917E-1,2.850671997E0,3.069516907E0,1.606998230E1,1.660700443E1
1.520777917E-1,1.961520996E0,1.497336273E0,1.665152298E1,1.683338344E1
1.619987916E-1,1.120420074E0,-1.722917175E-1,1.652039566E1,1.655924208E1
1.719187917E-1,4.340972900E-2,-1.501228180E0,1.550430862E1,1.557687890E1
1.818397917E-1,-1.119372253E0,-2.189347229E0,1.390563309E1,1.412136208E1
1.917607917E-1,-1.858834534E0,-2.239343262E0,1.191761719E1,1.226782473E1
2.016817917E-1,-2.166145477E0,-1.946851501E0,9.746382294E0,1.017223598E1
2.116027916E-1,-2.394271088E0,-1.552870789E0,7.544910278E0,8.066573798E0
2.215237917E-1,-2.217937775E0,-1.091530151E0,5.885910187E0,6.383934897E0
2.314447917E-1,-2.082768860E0,-4.475692749E-1,4.803361359E0,5.254571792E0
2.413657916E-1,-2.207908630E0,-1.347198486E-3,4.308640137E0,4.841409109E0
2.512867917E-1,-2.357896729E0,1.730401611E-1,4.440515900E0,5.030685971E0
2.612077917E-1,-2.508034515E0,2.775228882E-1,4.911137238E0,5.521460409E0
2.711287916E-1,-2.535128174E0,2.570155334E-1,5.662724304E0,6.209619826E0
2.810487917E-1,-2.461631012E0,2.098635864E-1,6.332731018E0,6.797584285E0
2.909697916E-1,-2.199526062E0,2.865042114E-1,6.804100800E0,7.156520611E0
3.008907917E-1,-1.817221069E0,5.298980713E-1,7.181316376E0,7.426600115E0
3.108117917E-1,-1.384920044E0,8.017327881E-1,7.477101288E0,7.646425483E0
3.207327916E-1,-9.493258667E-1,1.090482330E0,7.844437408E0,7.976563770E0
