"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.387041673E-3,-5.620512085E0,8.271798706E-1,-4.331991577E-1,5.697547204E0
1.130904167E-2,-5.795198822E0,1.019230499E0,-3.369493103E-1,5.893784441E0
2.123104167E-2,-5.936504974E0,9.686357117E-1,-1.796264648E-1,6.017691594E0
3.115304167E-2,-6.627767487E0,8.384065247E-1,-4.176315308E-2,6.680716393E0
4.107404168E-2,-7.570207672E0,8.735833740E-1,1.142124939E-1,7.621301503E0
5.099604168E-2,-7.999365234E0,1.175206146E0,3.842509460E-1,8.094356208E0
6.091804168E-2,-7.480693817E0,1.487456818E0,7.321275330E-1,7.662200630E0
7.083904167E-2,-7.596702576E0,1.305135956E0,8.910969543E-1,7.759337837E0
8.076104167E-2,-8.001610565E0,8.806187439E-1,8.493338013E-1,8.094604926E0
9.068304166E-2,-8.789272614E0,4.990621948E-1,8.617579651E-1,8.845507500E0
1.006040417E-1,-9.548344116E0,1.462458801E-1,8.693920898E-1,9.588957494E0
1.105260417E-1,-9.841734009E0,-4.698728943E-1,6.722520447E-1,9.875850933E0
1.204480417E-1,-9.925559692E0,-1.255139923E0,5.749543762E-1,1.002111191E1
1.303700417E-1,-9.659413147E0,-2.108814697E0,2.707868958E-1,9.890636345E0
1.402910417E-1,-9.913584595E0,-2.972817993E0,-2.487826538E-1,1.035271458E1
1.502130417E-1,-1.042342438E1,-3.329077148E0,-5.713618469E-1,1.095705183E1
1.601350417E-1,-1.116333572E1,-3.188669128E0,-6.268963623E-1,1.162672242E1
1.700560417E-1,-1.128144012E1,-2.372266846E0,4.266128540E-2,1.152824190E1
1.799780417E-1,-1.133562744E1,-1.570234680E0,1.146316223E0,1.150113591E1
1.899000417E-1,-1.167751648E1,-7.457492065E-1,2.305954742E0,1.192635570E1
1.998210417E-1,-1.185953796E1,3.053649902E-2,2.962339783E0,1.222395313E1
2.097430417E-1,-1.242206818E1,5.530998230E-1,3.020119629E0,1.279589074E1
2.196650417E-1,-1.333936066E1,7.173083496E-1,2.636617126E0,1.361634400E1
2.295860417E-1,-1.359398117E1,8.234376526E-1,1.523382111E0,1.370383401E1
2.395080417E-1,-1.391476410E1,8.220904541E-1,-3.950285339E-1,1.394462406E1
2.494300417E-1,-1.392000320E1,6.074368286E-1,-3.062182159E0,1.426577822E1
2.593520417E-1,-1.284898041E1,2.725831604E-1,-4.705165558E0,1.368609448E1
2.692730417E-1,-1.211146408E1,-2.152523804E-1,-3.671864319E0,1.265766500E1
2.791950417E-1,-1.198677338E1,-5.465135193E-1,-2.214494934E0,1.220186055E1
2.891170417E-1,-1.205368423E1,-2.863545227E-1,1.886077881E-1,1.205856026E1
2.990380417E-1,-1.263747025E1,3.167413330E-1,2.677033081E0,1.292178337E1
3.089600417E-1,-1.341270813E1,4.752616882E-1,3.421285400E0,1.385033598E1
3.188820417E-1,-1.436487808E1,1.983375549E-1,3.159030762E0,1.470947094E1
