"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
-4.254166561E-4,-5.253175964E0,-8.910221100E0,2.498304749E0,1.064093156E1
9.495583334E-3,-7.747289429E0,-1.111723160E1,3.496578827E0,1.399426295E1
1.941658335E-2,-8.345445557E0,-1.198812057E1,3.203338623E0,1.495402537E1
2.933858335E-2,-8.233927460E0,-1.172047714E1,4.553680573E0,1.503007494E1
3.925958334E-2,-7.849826202E0,-1.309940964E1,4.092339935E0,1.581017237E1
4.918058333E-2,-5.789810028E0,-1.385713394E1,3.288810883E0,1.537394999E1
5.910158335E-2,-2.896177368E0,-1.600561615E1,2.353256378E0,1.643488385E1
6.902258334E-2,-1.920805664E0,-1.869986343E1,2.542013855E0,1.896934952E1
7.894358333E-2,2.701881409E-1,-1.810634766E1,1.867965546E0,1.820445337E1
8.886458335E-2,9.171427917E-1,-1.547496964E1,1.043031006E0,1.553717316E1
9.878558334E-2,-9.562115479E-1,-1.436742279E1,7.054829407E-1,1.441647961E1
1.087075833E-1,-1.670077057E0,-1.303204971E1,1.398092651E0,1.321280213E1
1.186285834E-1,-1.858684845E0,-1.203182968E1,2.148332520E0,1.236264403E1
1.285495833E-1,-1.046174469E0,-1.054661819E1,1.694925385E0,1.073305215E1
1.384705833E-1,-4.140390015E-1,-9.587861938E0,1.853894806E0,9.774223795E0
1.483915834E-1,7.450007629E-1,-9.189689941E0,2.318079529E0,9.506782845E0
1.583125833E-1,2.226470032E0,-8.363857269E0,2.176623688E0,8.924627046E0
1.682335833E-1,2.481689301E0,-7.819589081E0,2.668201447E0,8.626937703E0
1.781545834E-1,3.455264740E0,-6.596931610E0,4.289479980E0,8.594067698E0
1.880765833E-1,3.684587860E0,-5.802533569E0,5.578150177E0,8.852194243E0
1.979975833E-1,3.167563019E0,-5.965694275E0,5.458099823E0,8.684112927E0
2.079185833E-1,4.010160828E-1,-7.266489258E0,5.380710754E0,9.050675569E0
2.178395833E-1,-2.456840973E0,-9.584119720E0,4.666845245E0,1.093941785E1
2.277605833E-1,-7.983797607E0,-1.598316284E1,6.140979767E0,1.889217169E1
2.376815833E-1,-2.247276764E0,-1.445514038E1,6.953490143E0,1.619729488E1
2.476025833E-1,3.525019684E0,-9.664502563E0,3.781735840E0,1.096037862E1
2.575235833E-1,1.648521881E0,-7.816146240E0,3.571273499E0,8.750072048E0
2.674455833E-1,4.460723877E-2,-7.158414001E0,3.885170746E0,8.144902243E0
2.773665834E-1,-8.488847351E-1,-5.977819061E0,3.037633209E0,6.758856526E0
2.872875833E-1,-1.880090332E0,-5.070555725E0,2.071242828E0,5.790968992E0
2.972085833E-1,-3.788771210E0,-4.963079224E0,1.321002960E0,6.382161975E0
3.071295834E-1,-4.365222473E0,-5.169350281E0,1.663790131E0,6.967463467E0
3.170505833E-1,-3.584146729E0,-4.982089691E0,1.974992981E0,6.447319035E0
3.269715833E-1,-1.895807648E0,-4.321513367E0,1.173260193E0,4.862725974E0
3.368925833E-1,-2.549498291E0,-6.075416107E0,1.133592682E0,6.685480894E0
3.468145833E-1,-2.884351959E0,-9.375603333E0,1.707050171E0,9.956678380E0
3.567355833E-1,-2.539020081E0,-1.303264847E1,2.277962952E0,1.347166153E1
3.666565833E-1,-1.365310822E0,-1.461081665E1,1.774709473E0,1.478139474E1
3.765775833E-1,-1.335971832E0,-1.361344070E1,1.356179810E0,1.374590165E1
3.864985833E-1,-2.435285797E0,-1.261771133E1,1.438358917E0,1.293082103E1
