"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
8.839541668E-3,9.462123413E0,-3.187321930E0,-3.246448975E0,1.049905860E1
1.876154167E-2,9.864187317E0,-2.951113129E0,-3.584895172E0,1.090241870E1
2.868354166E-2,9.516460419E0,-3.047961731E0,-4.162693634E0,1.082502231E1
3.860554166E-2,9.416318665E0,-3.548520813E0,-4.353397064E0,1.096408332E1
4.852754166E-2,9.394613800E0,-3.801794128E0,-4.237088928E0,1.098477718E1
5.845054166E-2,9.111402740E0,-4.092639313E0,-3.695664825E0,1.065013122E1
6.837254166E-2,1.020398071E1,-4.912484436E0,-3.728746033E0,1.192297248E1
7.829454166E-2,1.170730453E1,-5.858367462E0,-4.590354309E0,1.387273590E1
8.821708334E-2,1.208437042E1,-5.735922089E0,-5.040468292E0,1.429472390E1
9.813908333E-2,1.143487106E1,-4.916376343E0,-4.977000275E0,1.340513201E1
1.080610833E-1,1.027463379E1,-4.809797974E0,-5.342240753E0,1.253960894E1
1.179830833E-1,1.014066238E1,-5.413941650E0,-5.909710693E0,1.292549722E1
1.279050833E-1,1.121901993E1,-5.695057068E0,-6.180796967E0,1.401792903E1
1.378280833E-1,1.398077682E1,-5.396278381E0,-5.482050018E0,1.595728089E1
1.477500833E-1,1.537482788E1,-4.619393921E0,-5.565726013E0,1.699121651E1
1.576720833E-1,1.585203552E1,-3.520529022E0,-5.934858398E0,1.728883163E1
1.675940834E-1,1.516825745E1,-3.551813965E0,-5.883365479E0,1.665248948E1
1.775160833E-1,1.456366470E1,-4.910388794E0,-6.568790131E0,1.671410337E1
1.874380833E-1,1.405187897E1,-4.461322632E0,-4.779111786E0,1.549834222E1
1.973600833E-1,1.391970383E1,-4.191733246E0,-3.613934784E0,1.497962973E1
2.072830833E-1,1.807147018E1,-5.530998230E0,-1.687291260E0,1.897411204E1
2.172050833E-1,1.723381210E1,-5.830375671E0,-2.895728302E0,1.842234519E1
2.271270833E-1,1.623673553E1,-4.734205170E0,-1.609602814E0,1.698926428E1
2.370490833E-1,1.431398392E1,-3.380420380E0,-1.200653229E0,1.475665767E1
2.469710833E-1,1.359622650E1,-3.235072632E0,-2.160756683E0,1.414185064E1
2.568930833E-1,1.197285233E1,-3.558250580E0,-1.228645020E0,1.255069355E1
2.668150833E-1,1.040186920E1,-3.735332336E0,9.415420532E-1,1.109225369E1
2.767370833E-1,9.335337067E0,-4.530927887E0,3.177741852E0,1.085245912E1
2.866600833E-1,6.968009949E0,-6.248605957E0,5.606740723E0,1.091026034E1
2.965820833E-1,4.963528290E0,-8.204289093E0,8.107590179E0,1.255706937E1
3.065040833E-1,4.315825195E0,-9.119785309E0,8.422684937E0,1.314300014E1
3.164260833E-1,2.998714142E0,-9.056167603E0,6.671476593E0,1.164109351E1
3.263480833E-1,1.271905060E0,-8.830287323E0,4.608316956E0,1.004132969E1
3.362700833E-1,2.035018158E0,-7.478747864E0,3.325484619E0,8.433968014E0
3.461920834E-1,4.327650604E0,-5.575306091E0,2.036964111E0,7.345870987E0
3.561140833E-1,6.723119202E0,-3.863765259E0,1.872605896E-1,7.756550799E0
3.660370833E-1,8.030051422E0,-3.338657227E0,-1.318009186E0,8.795766375E0
3.759590834E-1,8.515941010E0,-3.575315094E0,-2.868035889E0,9.671078490E0
3.858810833E-1,8.632548523E0,-3.769161987E0,-3.748055878E0,1.013782023E1
3.958030833E-1,7.959847412E0,-3.579805756E0,-3.586841125E0,9.436080189E0
4.057250833E-1,6.668033752E0,-2.686313782E0,-1.834285583E0,7.419134684E0
4.156470833E-1,4.386478271E0,-7.771838379E-1,1.049317932E-1,4.456031533E0
4.255690833E-1,3.131637726E0,-3.279679871E-1,7.435038757E-1,3.235354055E0
4.354910833E-1,2.576142883E0,-9.009764099E-1,1.613644409E0,3.170507676E0
4.454140833E-1,8.916957092E-1,-7.500901794E-1,2.006427612E0,2.320238841E0
4.553360833E-1,-4.328997803E-1,-3.652404785E-2,2.081122284E0,2.125983581E0
4.652580833E-1,-1.237027588E0,1.978884888E-1,1.533411255E0,1.980087671E0
4.751800833E-1,-1.214125214E0,-2.363584900E-1,1.091679840E0,1.649766724E0
4.851020833E-1,4.173321533E-1,-1.167871399E0,5.998027039E-1,1.377625861E0
4.950240833E-1,2.627336426E0,-1.964664459E0,-7.334747314E-3,3.280679340E0
5.049460833E-1,2.780318298E0,-2.822979584E0,-1.384770355E0,4.197257737E0
5.148680834E-1,2.694995728E0,-2.699935455E0,-3.402574310E0,5.111767343E0
5.247910833E-1,2.554587708E0,-9.156459045E-1,-4.411027222E0,5.178946508E0
5.347130833E-1,2.736160126E0,-1.390608215E-1,-4.797224121E0,5.524424804E0
5.446350834E-1,3.629203033E0,-3.546125793E-1,-4.295018463E0,5.634185685E0
5.545570833E-1,4.471202087E0,-7.144642639E-1,-2.897374878E0,5.375582617E0
5.644790833E-1,5.057682495E0,-1.160386963E0,-2.252964935E0,5.657075315E0
5.744010833E-1,5.507497101E0,-1.493743744E0,-1.894161072E0,6.012623459E0
5.843230833E-1,6.042783966E0,-1.913470917E0,-1.967358856E0,6.636799671E0
5.942450833E-1,8.208181000E0,-3.049608307E0,-3.239712982E0,9.336492187E0
6.041680833E-1,9.161698151E0,-3.762725372E0,-4.605622559E0,1.092275489E1
6.140900833E-1,7.182962952E0,-3.590583344E0,-4.766687622E0,9.338552157E0
6.240120833E-1,4.610562286E0,-4.064946899E0,-3.789519653E0,7.220909714E0
6.339340833E-1,3.462449799E0,-4.936284943E0,-1.804347839E0,6.293738060E0
6.438560833E-1,4.138144684E0,-5.840404816E0,-1.615141296E0,7.337796075E0
6.537780833E-1,4.988825684E0,-5.891598358E0,-1.456022186E0,7.856164046E0
6.637000833E-1,9.267228699E0,-7.210655365E0,-3.649411011E0,1.229606763E1
6.736230833E-1,1.608839401E1,-9.149423676E0,-5.027145996E0,1.917864887E1
6.835450833E-1,1.911135773E1,-8.863069153E0,-6.410419464E0,2.202025129E1
6.934670833E-1,1.700224365E1,-7.562723236E0,-7.169041901E0,1.994157049E1
7.033890833E-1,1.549757263E1,-6.218967590E0,-7.957003326E0,1.849768140E1
7.133110833E-1,1.538874893E1,-6.094426575E0,-1.024963577E1,1.946819618E1
7.232330834E-1,1.520777527E1,-7.138954468E0,-1.161629379E1,2.042496955E1
7.331550833E-1,1.620081024E1,-8.588839417E0,-1.206266556E1,2.194862901E1
7.430770833E-1,1.481020203E1,-9.230405273E0,-1.153875504E1,2.092093051E1
7.530000834E-1,1.128578110E1,-8.965605927E0,-9.028774567E0,1.700793094E1
7.629220833E-1,8.691525879E0,-8.362360382E0,-4.970264282E0,1.304512247E1
7.728440833E-1,5.876479797E0,-7.169640656E0,-1.298100586E0,9.360653133E0
7.827660833E-1,4.639601898E0,-7.149133301E0,1.091230774E-1,8.523374952E0
7.926880833E-1,4.797074432E0,-8.845555573E0,4.002676392E-1,1.007055066E1
8.026100833E-1,3.551813965E0,-8.815767517E0,2.693498840E0,9.878667692E0
8.125320833E-1,2.960244141E0,-8.247249756E0,4.618944855E0,9.905292801E0
8.224540833E-1,3.137475586E0,-8.167016602E0,5.091512146E0,1.012261869E1
8.323770833E-1,3.945944366E0,-8.764573975E0,4.145629120E0,1.046778270E1
8.422990833E-1,3.991150360E0,-8.703201599E0,2.168839874E0,9.817273841E0
8.522210833E-1,3.757785645E0,-8.269104309E0,7.448510742E-1,9.113388072E0
8.621430833E-1,3.495081940E0,-7.313341827E0,7.246430969E-1,8.137915831E0
8.720650833E-1,3.673660583E0,-6.416706390E0,2.534230042E-1,7.398251564E0
8.819870833E-1,4.253704376E0,-6.369554443E0,8.532257080E-3,7.659327485E0
8.919090834E-1,1.459315338E1,-1.017524048E1,7.856711884E0,1.944797074E1
9.018310833E-1,1.022448807E1,-1.172242310E1,8.704399109E-1,1.557924983E1
9.117540833E-1,6.523284760E0,-1.120869141E1,-5.035229187E0,1.391192079E1
9.216760834E-1,9.129964142E0,-1.244182709E1,-1.964215393E0,1.555678143E1
9.315980833E-1,1.063253952E1,-1.298370026E1,-8.918453979E-1,1.680543832E1
9.415200833E-1,1.043569885E1,-1.164593216E1,-1.394051056E0,1.569951989E1
9.514420833E-1,1.011311966E1,-1.010398865E1,-1.484612732E0,1.437253808E1
9.613640833E-1,1.011820908E1,-8.690927124E0,-1.528022461E0,1.342554363E1
9.712860833E-1,9.721683655E0,-6.907086639E0,-1.664388885E0,1.204114485E1
