"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.343916665E-3,-5.362598419E0,-2.129082550E1,-6.735992432E-1,2.196612046E1
1.126491665E-2,-2.254162445E0,-1.752839951E1,-1.921853485E0,1.777693895E1
2.118591667E-2,-3.383713531E0,-9.228159943E0,1.414558411E0,9.930228028E0
3.110691666E-2,4.868026886E0,-9.727222137E0,5.885760498E-1,1.089325287E1
4.102791665E-2,5.696853333E0,-1.031549881E1,1.649569702E-1,1.178519683E1
5.094991665E-2,1.895059204E-1,-1.070274353E0,5.676645355E0,5.779766619E0
6.087091667E-2,4.729415131E0,-7.244934082E-2,3.315605164E0,5.776318376E0
7.079191666E-2,1.661050827E1,-2.105192230E1,-5.230722656E0,2.732128981E1
8.071291665E-2,1.815709213E1,-1.917392761E1,-6.142626343E0,2.711183050E1
9.063391667E-2,6.911128235E0,-1.112291977E1,-5.550607452E0,1.422294909E1
1.005549167E-1,2.362088013E0,-8.643625488E0,-3.345393219E0,9.564694305E0
1.104759166E-1,3.742966461E0,-8.256231079E0,-2.589614868E-1,9.068749121E0
1.203969167E-1,4.484075317E0,-9.782906342E0,2.303559723E0,1.100538847E1
1.303189167E-1,4.608466644E0,-1.029873367E1,3.020718384E0,1.168018063E1
1.402399167E-1,3.367696838E0,-8.801846466E0,2.344424744E0,9.711344427E0
1.501609167E-1,2.179318085E0,-7.866591339E0,1.473236389E0,8.294764136E0
1.600819167E-1,1.516346741E0,-7.791297913E0,3.445834351E-1,7.944958675E0
1.700029167E-1,4.981640625E-1,-7.257507935E0,-2.888992310E-1,7.280319472E0
1.799239167E-1,-2.396516418E-1,-7.592960358E0,-1.691482544E-1,7.598624286E0
1.898449167E-1,-1.371298370E0,-7.995623016E0,1.808239746E-1,8.114378839E0
1.997659167E-1,-1.672921143E0,-8.068521423E0,1.374142456E-1,8.241273311E0
2.096879166E-1,-1.533560944E0,-9.158704376E0,-2.538720703E-1,9.289678468E0
2.196089167E-1,-9.128018188E-1,-1.077339661E1,1.218466187E-1,1.081268367E1
2.295299167E-1,-6.010002136E-1,-1.433254532E1,2.405497742E-1,1.434715724E1
2.394509166E-1,3.821553040E-1,-1.608345428E1,-8.741821289E-2,1.608823130E1
2.493719167E-1,1.193318481E0,-1.704535400E1,6.144721985E-1,1.709811914E1
2.592929167E-1,1.511257324E0,-1.707139984E1,8.913963318E-1,1.716132800E1
2.692139167E-1,3.754193115E-1,-9.940827942E0,1.348096619E0,1.003884278E1
2.791349167E-1,-1.390308838E0,-2.874023438E0,3.624263306E0,4.829933115E0
2.890569167E-1,-2.797682190E0,-2.140548706E-1,5.951324158E0,6.579597583E0
2.989779167E-1,-7.345225525E-1,-1.167721710E0,6.293213196E0,6.442641516E0
3.088989167E-1,2.935844879E0,-9.792636108E-1,6.002368011E0,6.753263220E0
3.188199167E-1,5.892346802E0,-1.900148621E0,4.652924194E0,7.744676828E0
3.287409167E-1,6.270610199E0,-5.013374634E0,3.689826965E0,8.835683365E0
3.386619167E-1,6.318211212E0,-6.429429932E0,3.517984314E0,9.676444378E0
3.485829167E-1,7.024143219E0,-6.926246796E0,4.255949707E0,1.074358369E1
3.585039167E-1,8.194559326E0,-7.509583740E0,5.157973938E0,1.225354421E1
3.684259166E-1,9.068142700E0,-8.648265839E0,6.083499298E0,1.392956129E1
3.783469167E-1,9.331744537E0,-1.049722092E1,6.842720490E0,1.562356959E1
3.882679167E-1,9.450896759E0,-1.261187347E1,6.731202393E0,1.713732440E1
3.981889167E-1,8.797056427E0,-1.399754196E1,5.382656708E0,1.738655734E1
4.081099167E-1,7.260801086E0,-1.416908524E1,4.169729004E0,1.645809372E1
4.180309167E-1,6.278693390E0,-1.309402084E1,3.598067780E0,1.496066390E1
4.279519167E-1,5.956263885E0,-1.036339920E1,2.816842346E0,1.228054247E1
4.378729167E-1,4.985831909E0,-8.339308319E0,1.764680328E0,9.875053404E0
4.477949167E-1,3.967050476E0,-8.693771210E0,3.053649902E-2,9.556154028E0
4.577159167E-1,3.844904480E0,-1.136077515E1,-9.376501465E-1,1.203036534E1
4.676369167E-1,3.257675629E0,-1.438957672E1,-2.190095673E0,1.491539097E1
4.775579167E-1,2.945874023E-1,-1.697769470E1,-1.925595703E0,1.708908476E1
4.874789166E-1,-1.562450867E0,-2.161400345E1,-1.713935852E-1,2.167108150E1
4.973999167E-1,-2.757415924E0,-2.411410446E1,4.671784973E-1,2.427574164E1
5.073209167E-1,-5.217250671E0,-1.793345718E1,-1.201551361E0,1.871556349E1
5.172419166E-1,-7.073690186E0,-9.808503113E0,-1.240470428E0,1.215658641E1
5.271639167E-1,-6.261479187E0,-6.709198151E0,-5.158273315E-1,9.191601562E0
5.370849167E-1,-5.417234802E0,-7.378157043E0,6.897656250E-1,9.179292504E0
5.470059167E-1,-4.536765747E0,-1.066606979E1,2.011217651E0,1.176402502E1
5.569269167E-1,-3.227139130E0,-1.251831802E1,3.138523407E0,1.330312152E1
5.668479167E-1,-2.406844940E0,-1.180624878E1,3.773203583E0,1.262606344E1
5.767689167E-1,-2.476749573E0,-1.088641159E1,4.364474030E0,1.198736332E1
5.866899167E-1,-1.879491577E0,-1.025816803E1,4.464466095E0,1.134433592E1
5.966109167E-1,-1.091081085E0,-9.916728058E0,4.287983093E0,1.085904012E1
6.065329167E-1,-2.607577515E-1,-9.667496338E0,3.838168488E0,1.040480742E1
6.164539166E-1,7.288343811E-1,-9.497449951E0,2.944526825E0,9.970104982E0
6.263749167E-1,6.803352356E-1,-9.046886902E0,1.272204437E0,9.161196580E0
6.362959167E-1,7.942483521E-1,-8.764274597E0,-2.564167786E-1,8.803924649E0
6.462169166E-1,1.333576813E0,-8.115523682E0,-5.908213806E-1,8.245557692E0
6.561379167E-1,2.634371796E0,-7.243886261E0,8.140072632E-1,7.750897415E0
6.660589167E-1,4.510719910E0,-5.999823303E0,3.756887512E0,8.393966735E0
6.759799167E-1,3.366050262E0,-7.088509369E0,4.471501465E0,9.031698887E0
6.859019167E-1,2.623594208E0,-8.111182709E0,3.272494812E0,9.131470517E0
6.958229167E-1,1.713786163E0,-8.039781189E0,1.721719666E0,8.398777482E0
7.057439167E-1,2.028581543E0,-7.353009338E0,7.686515808E-1,7.666336456E0
7.156649167E-1,2.566562805E0,-6.432723083E0,1.686842194E0,7.128296254E0
7.255859167E-1,2.640509033E0,-6.092330933E0,1.699715424E0,6.854036524E0
7.355069167E-1,2.251318359E0,-6.522236938E0,1.689536591E0,7.103699242E0
7.454279167E-1,1.288370819E0,-7.415579224E0,1.679657135E0,7.711806707E0
7.553490417E-1,9.674382019E-1,-8.150101776E0,2.027833099E0,8.454123415E0
7.652710417E-1,1.077758789E0,-8.784033508E0,2.045496368E0,9.083218817E0
7.751920416E-1,1.142274628E0,-9.220076752E0,2.355052643E0,9.584408150E0
7.851130417E-1,9.958790588E-1,-9.367969208E0,2.543211365E0,9.757999089E0
7.950340417E-1,5.002597046E-1,-9.068891144E0,2.665207672E0,9.465641990E0
8.049550416E-1,3.091072083E-1,-8.779093781E0,3.031645660E0,9.292949493E0
8.148760417E-1,4.647834778E-1,-8.919202423E0,2.981050873E0,9.415670972E0
